InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio
0,0.02,5,-1.0,80221,615962,63603,7.678,0.793,-6.092,40,-1
0,0.02,13,-1.0,69959,37115,34576,0.531,0.494,0.45699999999999996,35,-1
0,0.02,11,-1.0,69959,42101,39440,0.602,0.564,0.5259999999999999,35,-1
0,0.02,9,-1.0,69959,47466,44716,0.678,0.639,0.6,35,-1
0,0.02,7,-1.0,69959,59617,50307,0.852,0.719,0.586,35,-1
0,0.02,5,-1.0,69959,517769,55014,7.401,0.786,-5.829,35,-1
0,0.02,13,-1.0,59822,30594,28772,0.511,0.481,0.45099999999999996,30,-1
0,0.02,11,-1.0,59822,34791,32851,0.582,0.549,0.5160000000000001,30,-1
0,0.02,9,-1.0,59822,39247,37250,0.656,0.623,0.59,30,-1
0,0.02,7,-1.0,59822,48726,42118,0.815,0.704,0.593,30,-1
0,0.02,5,-1.0,59822,420341,46469,7.026,0.777,-5.4719999999999995,30,-1
0,0.02,13,-1.0,49965,24905,23734,0.498,0.475,0.45199999999999996,25,-1
0,0.02,11,-1.0,49965,28286,27028,0.566,0.541,0.5160000000000001,25,-1
0,0.02,9,-1.0,49965,32041,30704,0.641,0.614,0.587,25,-1
0,0.02,7,-1.0,49965,39223,34720,0.785,0.695,0.6049999999999999,25,-1
0,0.02,5,-1.0,49965,325876,38672,6.522,0.774,-4.974,25,-1
0,0.02,13,-1.0,39709,19114,18405,0.481,0.463,0.44500000000000006,20,-1
0,0.02,11,-1.0,39709,21735,20982,0.547,0.528,0.509,20,-1
0,0.02,9,-1.0,39709,24703,23889,0.622,0.602,0.582,20,-1
0,0.02,7,-1.0,39709,29706,27039,0.748,0.681,0.6140000000000001,20,-1
0,0.02,5,-1.0,39709,232791,30125,5.862,0.759,-4.344,20,-1
0,0.02,13,-1.0,30064,14042,13724,0.467,0.456,0.445,15,-1
0,0.02,11,-1.0,30064,15949,15591,0.53,0.519,0.508,15,-1
0,0.02,9,-1.0,30064,18166,17741,0.604,0.59,0.576,15,-1
0,0.02,7,-1.0,30064,21612,20138,0.719,0.67,0.6210000000000001,15,-1
0,0.02,5,-1.0,30064,149352,22475,4.968,0.748,-3.472,15,-1
0,0.02,13,-1.0,19922,8983,8836,0.451,0.444,0.437,10,-1
0,0.02,11,-1.0,19922,10343,10199,0.519,0.512,0.505,10,-1
0,0.02,9,-1.0,19922,11767,11618,0.591,0.583,0.575,10,-1
0,0.02,7,-1.0,19922,13772,13146,0.691,0.66,0.6290000000000001,10,-1
0,0.02,5,-1.0,19922,79895,14623,4.01,0.734,-2.542,10,-1
0,0.02,13,-1.0,10082,3962,3301,0.393,0.327,0.261,5,-1
0,0.02,11,-1.0,10082,4718,4068,0.468,0.403,0.338,5,-1
0,0.02,9,-1.0,10082,5506,4927,0.546,0.489,0.43199999999999994,5,-1
0,0.02,7,-1.0,10082,6518,5845,0.646,0.58,0.5139999999999999,5,-1
0,0.02,5,-1.0,10082,30141,6700,2.989,0.664,-1.6609999999999998,5,-1
0,0.02,5,-1.0,10130,30097,6799,2.971,0.671,-1.629,5,-1
