InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,7,-1.0,4578,90461,6000,19.756,1.31,-17.136,95,-1,3,-1173
0,0.05,6,-1.0,4578,90463,6616,19.756,1.445,-16.866,95,-1,3,-1133
0,0.05,5,-1.0,4578,90465,7076,19.756,1.545,-16.666,95,-1,3,-336
0,0.05,9,-1.0,3351,66109,3308,19.722,0.987,-17.748,70,-1,3,-695
0,0.05,8,-1.0,3351,66111,3840,19.723,1.146,-17.430999999999997,70,-1,3,-801
0,0.05,7,-1.0,3351,66113,4358,19.723,1.3,-17.122999999999998,70,-1,3,-871
0,0.05,6,-1.0,3351,66115,4812,19.724,1.436,-16.852,70,-1,3,-861
0,0.05,5,-1.0,3351,66117,5116,19.725,1.526,-16.673000000000002,70,-1,3,-269
0,0.05,9,-1.0,2213,42943,2152,19.396,0.972,-17.452,45,-1,3,-424
0,0.05,8,-1.0,2213,42945,2456,19.397,1.109,-17.179,45,-1,3,-476
0,0.05,7,-1.0,2213,42947,2834,19.398,1.28,-16.838,45,-1,3,-530
0,0.05,6,-1.0,2213,42949,3126,19.399,1.412,-16.575000000000003,45,-1,3,-500
0,0.05,5,-1.0,2213,42951,3350,19.4,1.513,-16.374,45,-1,3,-152
0,0.05,9,-1.0,926,19303,836,20.823,0.902,-19.019000000000002,20,-1,3,-163
0,0.05,8,-1.0,926,19305,988,20.825,1.066,-18.692999999999998,20,-1,3,-199
0,0.05,7,-1.0,926,19307,1130,20.827,1.219,-18.389000000000003,20,-1,3,-225
0,0.05,6,-1.0,926,19309,1274,20.83,1.374,-18.081999999999997,20,-1,3,-220
0,0.05,5,-1.0,926,19311,1358,20.832,1.465,-17.902,20,-1,3,-57
0,0.05,9,-1.0,4527,90886,4708,20.072,1.04,-17.991999999999997,95,-1,2,-1014
0,0.05,8,-1.0,4527,90888,5338,20.072,1.179,-17.714,95,-1,2,-1112
0,0.05,7,-1.0,4527,90890,5966,20.073,1.318,-17.437,95,-1,2,-1192
0,0.05,6,-1.0,4527,90892,6560,20.073,1.449,-17.175,95,-1,2,-1087
0,0.05,5,-1.0,4527,90894,6974,20.074,1.54,-16.994,95,-1,2,52
0,0.05,9,-1.0,3340,65936,3284,19.735,0.983,-17.769,70,-1,2,-648
0,0.05,8,-1.0,3340,65938,3722,19.736,1.114,-17.508,70,-1,2,-725
0,0.05,7,-1.0,3340,65940,4150,19.737,1.242,-17.253,70,-1,2,-766
0,0.05,6,-1.0,3340,65942,4660,19.737,1.395,-16.947,70,-1,2,-768
0,0.05,5,-1.0,3340,65944,5048,19.738,1.511,-16.716,70,-1,2,123
0,0.05,9,-1.0,2146,42990,2054,20.023,0.957,-18.108999999999998,45,-1,2,-405
0,0.05,8,-1.0,2146,42992,2386,20.024,1.111,-17.802,45,-1,2,-444
0,0.05,7,-1.0,2146,42994,2712,20.025,1.263,-17.499,45,-1,2,-479
0,0.05,6,-1.0,2146,42996,3046,20.026,1.419,-17.188,45,-1,2,-475
0,0.05,5,-1.0,2146,42998,3216,20.027,1.498,-17.031000000000002,45,-1,2,165
0,0.05,9,-1.0,942,18924,800,20.068,0.848,-18.372,20,-1,2,-173
0,0.05,8,-1.0,942,18926,962,20.07,1.02,-18.03,20,-1,2,-214
0,0.05,7,-1.0,942,18928,1090,20.072,1.156,-17.759999999999998,20,-1,2,-220
0,0.05,6,-1.0,942,18930,1204,20.074,1.277,-17.520000000000003,20,-1,2,-189
0,0.05,5,-1.0,942,18932,1340,20.076,1.421,-17.234,20,-1,2,98
0,0.05,9,-1.0,4456,89910,4562,20.173,1.024,-18.125,95,-1,1,-1056
0,0.05,8,-1.0,4456,89912,5208,20.173,1.168,-17.837,95,-1,1,-1173
0,0.05,7,-1.0,4456,89914,5764,20.174,1.293,-17.588,95,-1,1,-1214
0,0.05,6,-1.0,4456,89916,6380,20.174,1.431,-17.311999999999998,95,-1,1,-1073
0,0.05,5,-1.0,4456,89918,6892,20.175,1.546,-17.083000000000002,95,-1,1,820
0,0.05,9,-1.0,3303,66874,3128,20.24,0.947,-18.346,70,-1,1,-741
0,0.05,8,-1.0,3303,66876,3614,20.241,1.094,-18.053,70,-1,1,-818
0,0.05,7,-1.0,3303,66878,4148,20.242,1.255,-17.732,70,-1,1,-909
0,0.05,6,-1.0,3303,66880,4606,20.242,1.394,-17.454,70,-1,1,-793
0,0.05,5,-1.0,3303,66882,5008,20.243,1.516,-17.211,70,-1,1,569
0,0.05,9,-1.0,2171,43141,1882,19.862,0.866,-18.13,45,-1,1,-431
0,0.05,8,-1.0,2171,43143,2164,19.863,0.996,-17.871,45,-1,1,-509
0,0.05,7,-1.0,2171,43145,2526,19.864,1.163,-17.538,45,-1,1,-536
0,0.05,6,-1.0,2171,43147,2860,19.865,1.317,-17.230999999999998,45,-1,1,-497
0,0.05,5,-1.0,2171,43149,3104,19.866,1.429,-17.008,45,-1,1,480
0,0.05,9,-1.0,922,18768,800,20.334,0.867,-18.6,20,-1,1,-202
0,0.05,8,-1.0,922,18770,944,20.336,1.023,-18.29,20,-1,1,-247
0,0.05,7,-1.0,922,18772,1078,20.338,1.168,-18.002000000000002,20,-1,1,-258
0,0.05,6,-1.0,922,18774,1218,20.34,1.32,-17.7,20,-1,1,-239
0,0.05,5,-1.0,922,18776,1364,20.342,1.478,-17.386,20,-1,1,183
0,0.05,9,-1.0,4429,88913,4426,20.071,0.999,-18.073,95,-1,0,-1059
0,0.05,8,-1.0,4429,88915,5020,20.071,1.133,-17.805,95,-1,0,-1184
0,0.05,7,-1.0,4429,88917,5610,20.072,1.266,-17.54,95,-1,0,-1152
0,0.05,6,-1.0,4429,88919,6234,20.072,1.407,-17.258,95,-1,0,-766
0,0.05,5,-1.0,4429,88921,6804,20.072,1.536,-17.0,95,-1,0,3445
0,0.05,9,-1.0,3254,66636,3006,20.472,0.924,-18.624000000000002,70,-1,0,-767
0,0.05,8,-1.0,3254,66638,3360,20.473,1.032,-18.409,70,-1,0,-896
0,0.05,7,-1.0,3254,66640,3824,20.473,1.175,-18.122999999999998,70,-1,0,-930
0,0.05,6,-1.0,3254,66642,4316,20.474,1.326,-17.822,70,-1,0,-479
0,0.05,5,-1.0,3254,66644,4742,20.474,1.457,-17.56,70,-1,0,3077
0,0.05,9,-1.0,2145,42318,1614,19.719,0.752,-18.215,45,-1,0,-715
0,0.05,8,-1.0,2145,42320,1906,19.72,0.888,-17.944,45,-1,0,-811
0,0.05,7,-1.0,2145,42322,2140,19.721,0.997,-17.727,45,-1,0,-814
0,0.05,6,-1.0,2145,42324,2440,19.722,1.137,-17.448,45,-1,0,-415
0,0.05,5,-1.0,2145,42326,2794,19.723,1.302,-17.119,45,-1,0,2510
0,0.05,9,-1.0,924,18697,650,20.213,0.703,-18.807000000000002,20,-1,0,-308
0,0.05,8,-1.0,924,18699,732,20.215,0.791,-18.633,20,-1,0,-346
0,0.05,7,-1.0,924,18701,818,20.217,0.884,-18.448999999999998,20,-1,0,-371
0,0.05,6,-1.0,924,18703,928,20.219,1.003,-18.213,20,-1,0,-182
0,0.05,5,-1.0,924,18705,1048,20.222,1.133,-17.956000000000003,20,-1,0,1449
0,0.05,9,-1.0,4465,90572,4832,20.28,1.082,-18.116,95,-1,9,-910
0,0.05,8,-1.0,4465,90574,5428,20.281,1.215,-17.851,95,-1,9,-1014
0,0.05,7,-1.0,4465,90576,6004,20.281,1.344,-17.593,95,-1,9,-1087
0,0.05,6,-1.0,4465,90578,6532,20.282,1.463,-17.356,95,-1,9,-1032
0,0.05,5,-1.0,4465,90580,6922,20.282,1.55,-17.182,95,-1,9,-596
0,0.05,9,-1.0,3346,66615,3522,19.903,1.052,-17.799,70,-1,9,-667
