InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1,2632,1170,2290,0.444,0.359,0.274,55,-1,0,0
0,0.05,8,-1,2632,1332,2842,0.506,0.433,0.36,55,-1,0,0
0,0.05,7,-1,2632,1503,3291,0.571,0.484,0.397,55,-1,0,0
0,0.05,6,-1,2632,1677,3647,0.637,0.53,0.423,55,-1,0,0
0,0.05,5,-1,2632,2118,4102,0.804,0.523,0.242,55,-1,0,0
0,0.05,9,-1,1351,533,1014,0.394,0.357,0.32,30,-1,0,0
0,0.05,8,-1,1351,617,1158,0.456,0.403,0.35,30,-1,0,0
0,0.05,7,-1,1351,685,1286,0.507,0.447,0.387,30,-1,0,0
0,0.05,6,-1,1351,782,1468,0.578,0.509,0.44,30,-1,0,0
0,0.05,5,-1,1351,929,1646,0.687,0.533,0.379,30,-1,0,0
