InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,6,-1.0,4946,2383,7045,0.482,1.424,2.3659999999999997,105,-1,20,0
0,0.05,5,-1.0,4946,2914,8169,0.589,1.651,2.713,105,-1,20,0
0,0.05,9,-1.0,3839,1232,3689,0.321,0.961,1.601,80,-1,20,0
0,0.05,8,-1.0,3839,1398,4180,0.364,1.089,1.814,80,-1,20,0
0,0.05,7,-1.0,3839,1595,4765,0.415,1.241,2.067,80,-1,20,0
0,0.05,6,-1.0,3839,1797,5344,0.468,1.392,2.316,80,-1,20,0
0,0.05,5,-1.0,3839,2202,6206,0.573,1.616,2.6590000000000003,80,-1,20,0
0,0.05,9,-1.0,2593,815,2438,0.314,0.94,1.5659999999999998,55,-1,20,0
0,0.05,8,-1.0,2593,915,2740,0.353,1.056,1.7590000000000001,55,-1,20,0
0,0.05,7,-1.0,2593,1076,3216,0.415,1.24,2.065,55,-1,20,0
0,0.05,6,-1.0,2593,1245,3703,0.48,1.428,2.376,55,-1,20,0
0,0.05,5,-1.0,2593,1486,4216,0.573,1.625,2.677,55,-1,20,0
0,0.05,9,-1.0,1397,478,1421,0.342,1.016,1.69,30,-1,20,0
0,0.05,8,-1.0,1397,550,1641,0.393,1.174,1.9549999999999998,30,-1,20,0
0,0.05,7,-1.0,1397,625,1864,0.447,1.333,2.219,30,-1,20,0
0,0.05,6,-1.0,1397,706,2081,0.505,1.489,2.4730000000000003,30,-1,20,0
0,0.05,5,-1.0,1397,844,2372,0.604,1.697,2.79,30,-1,20,0
0,0.05,9,-1.0,5072,1605,4776,0.316,0.941,1.5659999999999998,105,-1,16,0
0,0.05,8,-1.0,5072,1835,5459,0.362,1.076,1.79,105,-1,16,0
0,0.05,7,-1.0,5072,2117,6277,0.417,1.237,2.0570000000000004,105,-1,16,0
0,0.05,6,-1.0,5072,2489,7278,0.491,1.435,2.379,105,-1,16,0
0,0.05,5,-1.0,5072,3068,8419,0.605,1.66,2.715,105,-1,16,0
0,0.05,9,-1.0,3738,1251,3720,0.335,0.995,1.655,80,-1,16,0
0,0.05,8,-1.0,3738,1410,4195,0.377,1.122,1.8670000000000002,80,-1,16,0
0,0.05,7,-1.0,3738,1609,4790,0.43,1.281,2.1319999999999997,80,-1,16,0
0,0.05,6,-1.0,3738,1842,5441,0.493,1.455,2.4170000000000003,80,-1,16,0
0,0.05,5,-1.0,3738,2249,6141,0.601,1.642,2.683,80,-1,16,0
0,0.05,9,-1.0,2631,846,2517,0.321,0.956,1.591,55,-1,16,0
0,0.05,8,-1.0,2631,955,2849,0.363,1.082,1.8010000000000002,55,-1,16,0
0,0.05,7,-1.0,2631,1096,3256,0.416,1.237,2.0580000000000003,55,-1,16,0
