InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,5,-1.0,1452,3608,1718,2.483,1.182,-0.11900000000000022,30,-1,0,0
0,0.05,9,-1.0,4959,1703,4932,0.343,0.994,1.645,105,-1,8,0
0,0.05,8,-1.0,4959,1962,5686,0.396,1.146,1.896,105,-1,8,0
0,0.05,7,-1.0,4959,2274,6530,0.458,1.317,2.1759999999999997,105,-1,8,0
0,0.05,6,-1.0,4959,2711,7657,0.547,1.544,2.541,105,-1,8,0
0,0.05,5,-1.0,4959,3479,8750,0.701,1.764,2.827,105,-1,8,0
0,0.05,9,-1.0,3805,1304,3791,0.343,0.996,1.649,80,-1,8,0
0,0.05,8,-1.0,3805,1487,4300,0.391,1.13,1.8689999999999998,80,-1,8,0
0,0.05,7,-1.0,3805,1738,5050,0.457,1.327,2.197,80,-1,8,0
0,0.05,6,-1.0,3805,2003,5725,0.526,1.504,2.482,80,-1,8,0
0,0.05,5,-1.0,3805,2586,6443,0.679,1.693,2.707,80,-1,8,0
0,0.05,9,-1.0,2551,848,2442,0.332,0.957,1.5819999999999999,55,-1,8,0
0,0.05,8,-1.0,2551,960,2778,0.376,1.089,1.802,55,-1,8,0
0,0.05,7,-1.0,2551,1124,3251,0.44,1.274,2.108,55,-1,8,0
0,0.05,6,-1.0,2551,1305,3742,0.511,1.466,2.421,55,-1,8,0
0,0.05,5,-1.0,2551,1676,4261,0.657,1.67,2.683,55,-1,8,0
0,0.05,9,-1.0,1425,467,1333,0.327,0.935,1.5430000000000001,30,-1,8,0
0,0.05,8,-1.0,1425,535,1536,0.375,1.077,1.779,30,-1,8,0
0,0.05,7,-1.0,1425,607,1746,0.426,1.224,2.022,30,-1,8,0
0,0.05,6,-1.0,1425,699,1999,0.49,1.402,2.314,30,-1,8,0
0,0.05,5,-1.0,1425,929,2287,0.651,1.604,2.5570000000000004,30,-1,8,0
0,0.05,9,-1.0,4737,1804,4972,0.381,1.049,1.7169999999999999,105,-1,4,0
0,0.05,8,-1.0,4737,2083,5733,0.44,1.21,1.98,105,-1,4,0
0,0.05,7,-1.0,4737,2477,6778,0.523,1.431,2.339,105,-1,4,0
0,0.05,6,-1.0,4737,2921,7790,0.617,1.644,2.671,105,-1,4,0
0,0.05,5,-1.0,4737,4072,8789,0.859,1.855,2.851,105,-1,4,0
0,0.05,9,-1.0,3896,1364,3746,0.35,0.961,1.572,80,-1,4,0
0,0.05,8,-1.0,3896,1573,4352,0.404,1.117,1.83,80,-1,4,0
0,0.05,7,-1.0,3896,1855,5123,0.476,1.315,2.154,80,-1,4,0
0,0.05,6,-1.0,3896,2183,5880,0.56,1.509,2.4579999999999997,80,-1,4,0
0,0.05,5,-1.0,3896,3133,6639,0.804,1.704,2.604,80,-1,4,0
0,0.05,9,-1.0,2661,928,2520,0.349,0.947,1.545,55,-1,4,0
