InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,2556,1200,2313,0.469,0.905,1.3410000000000002,55,-1,0,0
0,0.05,8,-1.0,2556,1359,2736,0.531,1.07,1.609,55,-1,0,0
0,0.05,7,-1.0,2556,1538,3184,0.601,1.245,1.8890000000000002,55,-1,0,0
0,0.05,6,-1.0,2556,1900,3593,0.743,1.405,2.067,55,-1,0,0
0,0.05,5,-1.0,2556,4210,4020,1.646,1.572,1.4980000000000002,55,-1,0,0
0,0.05,9,-1.0,1392,534,996,0.383,0.715,1.047,30,-1,0,0
0,0.05,8,-1.0,1392,603,1128,0.433,0.81,1.187,30,-1,0,0
0,0.05,7,-1.0,1392,687,1282,0.493,0.92,1.347,30,-1,0,0
0,0.05,6,-1.0,1392,902,1443,0.648,1.036,1.424,30,-1,0,0
0,0.05,5,-1.0,1392,2337,1699,1.678,1.22,0.762,30,-1,0,0
0,0.05,9,-1.0,4847,1659,4829,0.342,0.996,1.65,105,-1,8,0
0,0.05,8,-1.0,4847,1926,5599,0.397,1.155,1.913,105,-1,8,0
0,0.05,7,-1.0,4847,2285,6574,0.471,1.356,2.241,105,-1,8,0
0,0.05,6,-1.0,4847,2669,7611,0.551,1.57,2.589,105,-1,8,0
0,0.05,5,-1.0,4847,3251,8708,0.671,1.796,2.9210000000000003,105,-1,8,0
0,0.05,9,-1.0,3739,1244,3620,0.333,0.968,1.603,80,-1,8,0
0,0.05,8,-1.0,3739,1416,4135,0.379,1.106,1.8330000000000002,80,-1,8,0
0,0.05,7,-1.0,3739,1639,4791,0.438,1.281,2.1239999999999997,80,-1,8,0
0,0.05,6,-1.0,3739,1906,5538,0.51,1.481,2.452,80,-1,8,0
0,0.05,5,-1.0,3739,2361,6420,0.631,1.717,2.803,80,-1,8,0
0,0.05,9,-1.0,2678,876,2530,0.327,0.944,1.561,55,-1,8,0
0,0.05,8,-1.0,2678,983,2862,0.367,1.068,1.7690000000000001,55,-1,8,0
0,0.05,7,-1.0,2678,1117,3262,0.417,1.218,2.019,55,-1,8,0
0,0.05,6,-1.0,2678,1330,3867,0.496,1.443,2.39,55,-1,8,0
0,0.05,5,-1.0,2678,1622,4470,0.605,1.669,2.733,55,-1,8,0
0,0.05,9,-1.0,1389,454,1296,0.327,0.932,1.5370000000000001,30,-1,8,0
0,0.05,8,-1.0,1389,507,1457,0.365,1.048,1.731,30,-1,8,0
0,0.05,7,-1.0,1389,572,1658,0.412,1.193,1.9740000000000002,30,-1,8,0
0,0.05,6,-1.0,1389,659,1917,0.474,1.379,2.284,30,-1,8,0
0,0.05,5,-1.0,1389,800,2176,0.576,1.565,2.554,30,-1,8,0
0,0.05,9,-1.0,5059,1780,4881,0.352,0.965,1.5779999999999998,105,-1,4,0
0,0.05,8,-1.0,5059,2125,5847,0.42,1.156,1.892,105,-1,4,0
0,0.05,7,-1.0,5059,2502,6870,0.494,1.358,2.2220000000000004,105,-1,4,0
0,0.05,6,-1.0,5059,2993,8109,0.592,1.603,2.614,105,-1,4,0
0,0.05,5,-1.0,5059,3814,9248,0.754,1.828,2.902,105,-1,4,0
0,0.05,9,-1.0,3774,1353,3706,0.358,0.982,1.6059999999999999,80,-1,4,0
0,0.05,8,-1.0,3774,1579,4384,0.418,1.161,1.9040000000000001,80,-1,4,0
0,0.05,7,-1.0,3774,1827,5079,0.484,1.345,2.206,80,-1,4,0
0,0.05,6,-1.0,3774,2140,5866,0.567,1.554,2.5410000000000004,80,-1,4,0
0,0.05,5,-1.0,3774,2730,6706,0.723,1.776,2.829,80,-1,4,0
0,0.05,9,-1.0,2533,879,2397,0.347,0.946,1.545,55,-1,4,0
0,0.05,8,-1.0,2533,1007,2797,0.397,1.104,1.8110000000000002,55,-1,4,0
0,0.05,7,-1.0,2533,1167,3235,0.461,1.277,2.093,55,-1,4,0
0,0.05,6,-1.0,2533,1373,3818,0.542,1.507,2.4719999999999995,55,-1,4,0
0,0.05,5,-1.0,2533,1751,4348,0.691,1.716,2.741,55,-1,4,0
0,0.05,9,-1.0,1321,473,1259,0.358,0.952,1.5459999999999998,30,-1,4,0
0,0.05,8,-1.0,1321,526,1410,0.398,1.067,1.7359999999999998,30,-1,4,0
0,0.05,7,-1.0,1321,599,1628,0.453,1.231,2.0090000000000003,30,-1,4,0
0,0.05,6,-1.0,1321,689,1833,0.521,1.387,2.253,30,-1,4,0
0,0.05,5,-1.0,1321,891,2128,0.674,1.61,2.5460000000000003,30,-1,4,0
0,0.05,9,-1.0,5002,2883,6299,0.576,1.259,1.9419999999999997,105,-1,0,0
0,0.05,8,-1.0,5002,3182,7183,0.636,1.436,2.2359999999999998,105,-1,0,0
0,0.05,7,-1.0,5002,3536,8075,0.707,1.614,2.5210000000000004,105,-1,0,0
0,0.05,6,-1.0,5002,4006,9066,0.801,1.812,2.823,105,-1,0,0
0,0.05,5,-1.0,5002,6283,9993,1.256,1.997,2.7380000000000004,105,-1,0,0
0,0.05,9,-1.0,3810,2041,4161,0.536,1.092,1.6480000000000001,80,-1,0,0
0,0.05,8,-1.0,3810,2254,4825,0.591,1.266,1.941,80,-1,0,0
0,0.05,7,-1.0,3810,2523,5562,0.662,1.459,2.2560000000000002,80,-1,0,0
0,0.05,6,-1.0,3810,2897,6222,0.76,1.633,2.5060000000000002,80,-1,0,0
0,0.05,5,-1.0,3810,4738,6920,1.243,1.816,2.3890000000000002,80,-1,0,0
0,0.05,9,-1.0,2659,1242,2390,0.467,0.898,1.329,55,-1,0,0
0,0.05,8,-1.0,2659,1394,2873,0.524,1.08,1.6360000000000001,55,-1,0,0
0,0.05,7,-1.0,2659,1579,3395,0.594,1.276,1.9580000000000002,55,-1,0,0
0,0.05,6,-1.0,2659,1840,3850,0.692,1.447,2.202,55,-1,0,0
0,0.05,5,-1.0,2659,3175,4152,1.194,1.561,1.928,55,-1,0,0
0,0.05,9,-1.0,1451,586,1090,0.404,0.751,1.0979999999999999,30,-1,0,0
0,0.05,8,-1.0,1451,645,1208,0.444,0.832,1.22,30,-1,0,0
0,0.05,7,-1.0,1451,716,1326,0.493,0.913,1.3330000000000002,30,-1,0,0
0,0.05,6,-1.0,1451,857,1516,0.59,1.044,1.4980000000000002,30,-1,0,0
0,0.05,5,-1.0,1451,1608,1721,1.107,1.185,1.2630000000000001,30,-1,0,0
0,0.05,9,-1.0,5030,1657,4816,0.329,0.957,1.585,105,-1,8,0
0,0.05,8,-1.0,5030,1887,5496,0.375,1.092,1.8090000000000002,105,-1,8,0
0,0.05,7,-1.0,5030,2223,6443,0.442,1.281,2.1199999999999997,105,-1,8,0
0,0.05,6,-1.0,5030,2607,7482,0.518,1.487,2.4560000000000004,105,-1,8,0
0,0.05,5,-1.0,5030,3170,8692,0.63,1.728,2.826,105,-1,8,0
0,0.05,9,-1.0,3939,1257,3637,0.319,0.923,1.5270000000000001,80,-1,8,0
0,0.05,8,-1.0,3939,1458,4207,0.37,1.068,1.766,80,-1,8,0
0,0.05,7,-1.0,3939,1699,4894,0.431,1.242,2.053,80,-1,8,0
0,0.05,6,-1.0,3939,2000,5725,0.508,1.453,2.398,80,-1,8,0
0,0.05,5,-1.0,3939,2385,6669,0.605,1.693,2.781,80,-1,8,0
0,0.05,9,-1.0,2591,826,2366,0.319,0.913,1.5070000000000001,55,-1,8,0
0,0.05,8,-1.0,2591,950,2735,0.367,1.055,1.7429999999999999,55,-1,8,0
0,0.05,7,-1.0,2591,1095,3172,0.422,1.224,2.026,55,-1,8,0
0,0.05,6,-1.0,2591,1271,3684,0.49,1.421,2.3520000000000003,55,-1,8,0
0,0.05,5,-1.0,2591,1528,4320,0.59,1.667,2.744,55,-1,8,0
0,0.05,9,-1.0,1444,492,1402,0.34,0.97,1.5999999999999999,30,-1,8,0
0,0.05,8,-1.0,1444,563,1608,0.39,1.113,1.8359999999999999,30,-1,8,0
0,0.05,7,-1.0,1444,648,1856,0.448,1.284,2.12,30,-1,8,0
0,0.05,6,-1.0,1444,742,2140,0.513,1.481,2.4490000000000003,30,-1,8,0
0,0.05,5,-1.0,1444,852,2421,0.59,1.675,2.7600000000000002,30,-1,8,0
0,0.05,9,-1.0,5067,1847,5061,0.364,0.999,1.634,105,-1,4,0
