InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,6,-1.0,468,229,536,0.488,0.49,10,-1,4,0
0,0.05,5,-1.0,468,263,640,0.561,0.563,10,-1,4,0
0,0.05,9,-1.0,1225,497,900,0.405,0.332,26,-1,0,0
0,0.05,8,-1.0,1225,554,1008,0.452,0.37,26,-1,0,0
0,0.05,7,-1.0,1225,631,1166,0.515,0.425,26,-1,0,0
0,0.05,6,-1.0,1225,710,1362,0.579,0.476,26,-1,0,0
0,0.05,5,-1.0,1225,857,1656,0.699,0.497,26,-1,0,0
0,0.05,9,-1.0,867,329,630,0.379,0.349,18,-1,0,0
0,0.05,8,-1.0,867,367,702,0.423,0.388,18,-1,0,0
0,0.05,7,-1.0,867,413,780,0.476,0.425,18,-1,0,0
0,0.05,6,-1.0,867,485,916,0.559,0.499,18,-1,0,0
0,0.05,5,-1.0,867,576,1012,0.664,0.508,18,-1,0,0
0,0.05,9,-1.0,455,144,260,0.316,0.257,10,-1,0,0
0,0.05,8,-1.0,455,170,316,0.373,0.322,10,-1,0,0
0,0.05,7,-1.0,455,201,374,0.441,0.382,10,-1,0,0
0,0.05,6,-1.0,455,240,450,0.526,0.463,10,-1,0,0
0,0.05,5,-1.0,455,282,512,0.618,0.507,10,-1,0,0
