InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,2655,842,2526,0.317,0.317,55,-1,28,0
0,0.05,8,-1.0,2655,961,2884,0.362,0.362,55,-1,28,0
0,0.05,7,-1.0,2655,1089,3267,0.41,0.41,55,-1,28,0
0,0.05,6,-1.0,2655,1237,3709,0.466,0.465,55,-1,28,0
0,0.05,5,-1.0,2655,1434,4274,0.54,0.532,55,-1,28,0
0,0.05,9,-1.0,1417,467,1401,0.329,0.33,30,-1,28,0
0,0.05,8,-1.0,1417,520,1561,0.367,0.367,30,-1,28,0
0,0.05,7,-1.0,1417,595,1785,0.42,0.42,30,-1,28,0
0,0.05,6,-1.0,1417,670,2007,0.472,0.472,30,-1,28,0
0,0.05,5,-1.0,1417,755,2258,0.532,0.529,30,-1,28,0
0,0.05,9,-1.0,5027,1643,4927,0.327,0.327,105,-1,24,0
0,0.05,8,-1.0,5027,1874,5618,0.373,0.373,105,-1,24,0
0,0.05,7,-1.0,5027,2140,6406,0.426,0.426,105,-1,24,0
0,0.05,6,-1.0,5027,2484,7415,0.494,0.492,105,-1,24,0
0,0.05,5,-1.0,5027,2900,8485,0.577,0.557,105,-1,24,0
0,0.05,9,-1.0,3681,1186,3550,0.322,0.322,80,-1,24,0
0,0.05,8,-1.0,3681,1347,4039,0.366,0.366,80,-1,24,0
0,0.05,7,-1.0,3681,1526,4570,0.414,0.415,80,-1,24,0
0,0.05,6,-1.0,3681,1738,5191,0.472,0.471,80,-1,24,0
0,0.05,5,-1.0,3681,2022,5925,0.549,0.533,80,-1,24,0
0,0.05,9,-1.0,2673,834,2498,0.312,0.312,55,-1,24,0
0,0.05,8,-1.0,2673,947,2837,0.354,0.355,55,-1,24,0
0,0.05,7,-1.0,2673,1090,3268,0.408,0.408,55,-1,24,0
0,0.05,6,-1.0,2673,1234,3699,0.461,0.462,55,-1,24,0
0,0.05,5,-1.0,2673,1454,4301,0.544,0.533,55,-1,24,0
0,0.05,9,-1.0,1448,463,1388,0.32,0.32,30,-1,24,0
0,0.05,8,-1.0,1448,535,1605,0.369,0.37,30,-1,24,0
0,0.05,7,-1.0,1448,588,1761,0.406,0.406,30,-1,24,0
0,0.05,6,-1.0,1448,684,2049,0.472,0.473,30,-1,24,0
0,0.05,5,-1.0,1448,791,2335,0.546,0.533,30,-1,24,0
0,0.05,9,-1.0,4939,1565,4686,0.317,0.317,105,-1,20,0
0,0.05,8,-1.0,4939,1811,5417,0.367,0.367,105,-1,20,0
0,0.05,7,-1.0,4939,2087,6240,0.422,0.423,105,-1,20,0
