InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,5008,1662,4986,0.332,0.332,105,-1,28,0
0,0.05,8,-1.0,5008,1861,5582,0.372,0.371,105,-1,28,0
0,0.05,7,-1.0,5008,2108,6303,0.421,0.418,105,-1,28,0
0,0.05,6,-1.0,5008,2399,7121,0.479,0.468,105,-1,28,0
0,0.05,5,-1.0,5008,2829,7383,0.565,0.42,105,-1,28,0
0,0.05,9,-1.0,3892,1230,3692,0.316,0.316,80,-1,28,0
0,0.05,8,-1.0,3892,1411,4233,0.362,0.363,80,-1,28,0
0,0.05,7,-1.0,3892,1599,4787,0.411,0.409,80,-1,28,0
0,0.05,6,-1.0,3892,1844,5438,0.474,0.457,80,-1,28,0
0,0.05,5,-1.0,3892,2159,5581,0.555,0.403,80,-1,28,0
0,0.05,9,-1.0,2615,892,2676,0.341,0.341,55,-1,28,0
0,0.05,8,-1.0,2615,1010,3032,0.386,0.386,55,-1,28,0
0,0.05,7,-1.0,2615,1144,3420,0.437,0.435,55,-1,28,0
0,0.05,6,-1.0,2615,1279,3793,0.489,0.478,55,-1,28,0
0,0.05,5,-1.0,2615,1536,3881,0.587,0.406,55,-1,28,0
0,0.05,9,-1.0,1457,443,1330,0.304,0.305,30,-1,28,0
0,0.05,8,-1.0,1457,514,1542,0.353,0.353,30,-1,28,0
0,0.05,7,-1.0,1457,594,1777,0.407,0.405,30,-1,28,0
0,0.05,6,-1.0,1457,682,2017,0.468,0.455,30,-1,28,0
0,0.05,5,-1.0,1457,807,2054,0.553,0.387,30,-1,28,0
0,0.05,9,-1.0,4924,1711,5121,0.347,0.348,105,-1,24,0
0,0.05,8,-1.0,4924,1938,5804,0.394,0.394,105,-1,24,0
0,0.05,7,-1.0,4924,2165,6450,0.44,0.435,105,-1,24,0
0,0.05,6,-1.0,4924,2535,7358,0.515,0.487,105,-1,24,0
0,0.05,5,-1.0,4924,3238,7600,0.657,0.395,105,-1,24,0
0,0.05,9,-1.0,3877,1303,3905,0.336,0.336,80,-1,24,0
0,0.05,8,-1.0,3877,1451,4344,0.374,0.373,80,-1,24,0
0,0.05,7,-1.0,3877,1642,4908,0.423,0.421,80,-1,24,0
0,0.05,6,-1.0,3877,1903,5535,0.491,0.466,80,-1,24,0
0,0.05,5,-1.0,3877,2469,5789,0.637,0.382,80,-1,24,0
0,0.05,9,-1.0,2629,852,2549,0.324,0.324,55,-1,24,0
0,0.05,8,-1.0,2629,974,2913,0.37,0.37,55,-1,24,0
0,0.05,7,-1.0,2629,1126,3355,0.428,0.425,55,-1,24,0
0,0.05,6,-1.0,2629,1316,3810,0.5,0.47,55,-1,24,0
0,0.05,5,-1.0,2629,1696,3936,0.645,0.372,55,-1,24,0
0,0.05,9,-1.0,1497,442,1320,0.295,0.296,30,-1,24,0
0,0.05,8,-1.0,1497,502,1505,0.335,0.336,30,-1,24,0
0,0.05,7,-1.0,1497,581,1736,0.388,0.386,30,-1,24,0
0,0.05,6,-1.0,1497,684,1978,0.457,0.427,30,-1,24,0
0,0.05,5,-1.0,1497,923,2068,0.616,0.325,30,-1,24,0
0,0.05,9,-1.0,5012,1626,4853,0.324,0.325,105,-1,20,0
0,0.05,8,-1.0,5012,1816,5427,0.362,0.362,105,-1,20,0
0,0.05,7,-1.0,5012,2083,6178,0.416,0.41,105,-1,20,0
0,0.05,6,-1.0,5012,2526,7046,0.504,0.447,105,-1,20,0
0,0.05,5,-1.0,5012,3637,7453,0.726,0.314,105,-1,20,0
0,0.05,9,-1.0,3821,1230,3677,0.322,0.322,80,-1,20,0
0,0.05,8,-1.0,3821,1394,4161,0.365,0.364,80,-1,20,0
0,0.05,7,-1.0,3821,1608,4780,0.421,0.416,80,-1,20,0
0,0.05,6,-1.0,3821,1961,5482,0.513,0.459,80,-1,20,0
0,0.05,5,-1.0,3821,2783,5781,0.728,0.325,80,-1,20,0
0,0.05,9,-1.0,2659,840,2506,0.316,0.316,55,-1,20,0
0,0.05,8,-1.0,2659,950,2834,0.357,0.357,55,-1,20,0
0,0.05,7,-1.0,2659,1099,3263,0.413,0.408,55,-1,20,0
0,0.05,6,-1.0,2659,1322,3724,0.497,0.447,55,-1,20,0
0,0.05,5,-1.0,2659,1848,3859,0.695,0.312,55,-1,20,0
0,0.05,9,-1.0,1453,467,1391,0.321,0.322,30,-1,20,0
0,0.05,8,-1.0,1453,546,1624,0.376,0.376,30,-1,20,0
0,0.05,7,-1.0,1453,622,1852,0.428,0.426,30,-1,20,0
