InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,8,-1.0,3688,1421,4204,0.385,1.14,1.8949999999999998,80,-1,12,0
0,0.05,7,-1.0,3688,1617,4789,0.438,1.298,2.158,80,-1,12,0
0,0.05,6,-1.0,3688,1924,5615,0.522,1.522,2.5220000000000002,80,-1,12,0
0,0.05,5,-1.0,3688,2415,6370,0.655,1.727,2.7990000000000004,80,-1,12,0
0,0.05,9,-1.0,2506,855,2517,0.341,1.004,1.667,55,-1,12,0
0,0.05,8,-1.0,2506,983,2911,0.392,1.161,1.9300000000000002,55,-1,12,0
0,0.05,7,-1.0,2506,1111,3282,0.443,1.309,2.175,55,-1,12,0
0,0.05,6,-1.0,2506,1288,3763,0.514,1.501,2.4879999999999995,55,-1,12,0
0,0.05,5,-1.0,2506,1559,4170,0.622,1.663,2.704,55,-1,12,0
0,0.05,9,-1.0,1396,446,1297,0.319,0.928,1.5370000000000001,30,-1,12,0
0,0.05,8,-1.0,1396,514,1508,0.368,1.079,1.79,30,-1,12,0
0,0.05,7,-1.0,1396,588,1730,0.421,1.238,2.055,30,-1,12,0
0,0.05,6,-1.0,1396,672,1974,0.481,1.413,2.345,30,-1,12,0
0,0.05,5,-1.0,1396,848,2277,0.607,1.63,2.6529999999999996,30,-1,12,0
0,0.05,9,-1.0,4926,1687,4895,0.342,0.994,1.646,105,-1,8,0
0,0.05,8,-1.0,4926,1941,5633,0.394,1.143,1.892,105,-1,8,0
0,0.05,7,-1.0,4926,2245,6452,0.456,1.31,2.164,105,-1,8,0
0,0.05,6,-1.0,4926,2696,7597,0.547,1.542,2.537,105,-1,8,0
0,0.05,5,-1.0,4926,3429,8690,0.696,1.764,2.832,105,-1,8,0
0,0.05,9,-1.0,3704,1253,3619,0.338,0.977,1.6159999999999999,80,-1,8,0
0,0.05,8,-1.0,3704,1430,4159,0.386,1.123,1.8599999999999999,80,-1,8,0
0,0.05,7,-1.0,3704,1626,4722,0.439,1.274,2.109,80,-1,8,0
0,0.05,6,-1.0,3704,1944,5547,0.525,1.497,2.4690000000000003,80,-1,8,0
0,0.05,5,-1.0,3704,2506,6341,0.676,1.711,2.746,80,-1,8,0
0,0.05,9,-1.0,2647,855,2467,0.323,0.932,1.5410000000000001,55,-1,8,0
0,0.05,8,-1.0,2647,982,2853,0.371,1.077,1.783,55,-1,8,0
0,0.05,7,-1.0,2647,1133,3278,0.428,1.238,2.048,55,-1,8,0
0,0.05,6,-1.0,2647,1307,3752,0.494,1.417,2.34,55,-1,8,0
0,0.05,5,-1.0,2647,1681,4347,0.635,1.642,2.649,55,-1,8,0
0,0.05,9,-1.0,1388,448,1283,0.323,0.924,1.5250000000000001,30,-1,8,0
0,0.05,8,-1.0,1388,519,1483,0.374,1.068,1.762,30,-1,8,0
0,0.05,7,-1.0,1388,600,1726,0.432,1.243,2.0540000000000003,30,-1,8,0
0,0.05,6,-1.0,1388,689,1962,0.496,1.413,2.33,30,-1,8,0
0,0.05,5,-1.0,1388,868,2217,0.625,1.596,2.567,30,-1,8,0
0,0.05,9,-1.0,5027,1823,5030,0.363,1.0,1.637,105,-1,4,0
0,0.05,8,-1.0,5027,2176,5975,0.433,1.188,1.9429999999999998,105,-1,4,0
0,0.05,7,-1.0,5027,2579,7078,0.513,1.408,2.303,105,-1,4,0
0,0.05,6,-1.0,5027,3067,8260,0.61,1.643,2.676,105,-1,4,0
0,0.05,5,-1.0,5027,4072,9344,0.81,1.858,2.906,105,-1,4,0
0,0.05,9,-1.0,3784,1279,3530,0.338,0.933,1.528,80,-1,4,0
0,0.05,8,-1.0,3784,1494,4132,0.395,1.092,1.7890000000000001,80,-1,4,0
0,0.05,7,-1.0,3784,1748,4811,0.462,1.271,2.0799999999999996,80,-1,4,0
0,0.05,6,-1.0,3784,2072,5614,0.547,1.483,2.419,80,-1,4,0
0,0.05,5,-1.0,3784,2830,6460,0.748,1.707,2.6660000000000004,80,-1,4,0
0,0.05,9,-1.0,2586,867,2363,0.335,0.913,1.491,55,-1,4,0
0,0.05,8,-1.0,2586,988,2721,0.382,1.052,1.722,55,-1,4,0
0,0.05,7,-1.0,2586,1148,3159,0.444,1.221,1.9980000000000002,55,-1,4,0
0,0.05,6,-1.0,2586,1338,3614,0.517,1.397,2.277,55,-1,4,0
0,0.05,5,-1.0,2586,1874,4220,0.724,1.631,2.5380000000000003,55,-1,4,0
0,0.05,9,-1.0,1443,467,1272,0.323,0.881,1.439,30,-1,4,0
0,0.05,8,-1.0,1443,543,1492,0.376,1.033,1.69,30,-1,4,0
0,0.05,7,-1.0,1443,621,1720,0.43,1.191,1.9520000000000002,30,-1,4,0
0,0.05,6,-1.0,1443,737,2005,0.51,1.389,2.268,30,-1,4,0
0,0.05,5,-1.0,1443,1059,2342,0.733,1.622,2.511,30,-1,4,0
0,0.05,9,-1.0,5026,2930,6313,0.583,1.256,1.929,105,-1,0,0
0,0.05,8,-1.0,5026,3217,7163,0.64,1.425,2.21,105,-1,0,0
0,0.05,7,-1.0,5026,3583,8133,0.713,1.618,2.523,105,-1,0,0
0,0.05,6,-1.0,5026,4256,9108,0.847,1.812,2.777,105,-1,0,0
