InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,7,-1.0,5143,1485,4910,0.289,0.289,105,-1,36,0
0,0.05,6,-1.0,5143,1766,5752,0.343,0.344,105,-1,36,0
0,0.05,5,-1.0,5143,2067,6673,0.402,0.399,105,-1,36,0
0,0.05,8,-1.0,3926,863,2916,0.22,0.22,80,-1,36,0
0,0.05,7,-1.0,3926,1078,3559,0.275,0.275,80,-1,36,0
0,0.05,6,-1.0,3926,1276,4208,0.325,0.325,80,-1,36,0
0,0.05,5,-1.0,3926,1503,4890,0.383,0.379,80,-1,36,0
0,0.05,8,-1.0,2521,576,1943,0.228,0.229,55,-1,36,0
0,0.05,7,-1.0,2521,677,2288,0.268,0.269,55,-1,36,0
0,0.05,6,-1.0,2521,828,2756,0.328,0.329,55,-1,36,0
0,0.05,5,-1.0,2521,1004,3252,0.398,0.392,55,-1,36,0
0,0.05,8,-1.0,1421,258,876,0.181,0.182,30,-1,36,0
0,0.05,7,-1.0,1421,341,1132,0.24,0.241,30,-1,36,0
0,0.05,6,-1.0,1421,391,1302,0.275,0.274,30,-1,36,0
0,0.05,5,-1.0,1421,464,1544,0.326,0.326,30,-1,36,0
0,0.05,8,-1.0,4928,1036,3326,0.21,0.21,105,-1,32,0
0,0.05,7,-1.0,4928,1293,4100,0.262,0.263,105,-1,32,0
0,0.05,6,-1.0,4928,1553,4938,0.315,0.315,105,-1,32,0
0,0.05,5,-1.0,4928,1855,5818,0.376,0.372,105,-1,32,0
0,0.05,8,-1.0,3830,511,1732,0.133,0.134,80,-1,32,0
0,0.05,7,-1.0,3830,713,2370,0.186,0.186,80,-1,32,0
0,0.05,6,-1.0,3830,946,2973,0.247,0.247,80,-1,32,0
0,0.05,5,-1.0,3830,1079,3445,0.282,0.28,80,-1,32,0
0,0.05,8,-1.0,2623,126,542,0.048,0.048,55,-1,32,0
0,0.05,7,-1.0,2623,293,1061,0.112,0.112,55,-1,32,0
0,0.05,6,-1.0,2623,489,1576,0.186,0.187,55,-1,32,0
0,0.05,5,-1.0,2623,606,1840,0.231,0.229,55,-1,32,0
0,0.05,8,-1.0,1500,0,0,0.0,0.001,30,-1,32,0
0,0.05,7,-1.0,1500,0,0,0.0,0.001,30,-1,32,0
0,0.05,6,-1.0,1500,0,0,0.0,0.001,30,-1,32,0
0,0.05,5,-1.0,1500,0,0,0.0,0.001,30,-1,32,0
