InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,7,-1.0,2547,1054,3126,0.414,0.407,55,-1,20,0
0,0.05,6,-1.0,2547,1276,3570,0.501,0.442,55,-1,20,0
0,0.05,5,-1.0,2547,1828,3816,0.717,0.319,55,-1,20,0
0,0.05,9,-1.0,1435,462,1373,0.322,0.322,30,-1,20,0
0,0.05,8,-1.0,1435,536,1597,0.373,0.374,30,-1,20,0
0,0.05,7,-1.0,1435,624,1859,0.435,0.432,30,-1,20,0
0,0.05,6,-1.0,1435,724,2074,0.504,0.467,30,-1,20,0
0,0.05,5,-1.0,1435,1001,2142,0.697,0.335,30,-1,20,0
0,0.05,9,-1.0,4985,1638,4889,0.329,0.329,105,-1,16,0
0,0.05,8,-1.0,4985,1866,5574,0.374,0.374,105,-1,16,0
0,0.05,7,-1.0,4985,2220,6556,0.445,0.438,105,-1,16,0
0,0.05,6,-1.0,4985,2780,7517,0.558,0.465,105,-1,16,0
0,0.05,5,-1.0,4985,4005,7933,0.803,0.328,105,-1,16,0
0,0.05,9,-1.0,3810,1193,3557,0.313,0.313,80,-1,16,0
0,0.05,8,-1.0,3810,1382,4119,0.363,0.363,80,-1,16,0
0,0.05,7,-1.0,3810,1632,4828,0.428,0.423,80,-1,16,0
0,0.05,6,-1.0,3810,2002,5471,0.525,0.448,80,-1,16,0
0,0.05,5,-1.0,3810,2976,5823,0.781,0.303,80,-1,16,0
0,0.05,9,-1.0,2679,844,2512,0.315,0.315,55,-1,16,0
0,0.05,8,-1.0,2679,966,2875,0.36,0.36,55,-1,16,0
0,0.05,7,-1.0,2679,1087,3200,0.406,0.397,55,-1,16,0
0,0.05,6,-1.0,2679,1362,3669,0.508,0.417,55,-1,16,0
0,0.05,5,-1.0,2679,2016,3861,0.752,0.269,55,-1,16,0
0,0.05,9,-1.0,1357,478,1413,0.352,0.353,30,-1,16,0
0,0.05,8,-1.0,1357,533,1588,0.392,0.393,30,-1,16,0
0,0.05,7,-1.0,1357,623,1855,0.459,0.457,30,-1,16,0
0,0.05,6,-1.0,1357,753,2073,0.554,0.473,30,-1,16,0
0,0.05,5,-1.0,1357,1111,2176,0.818,0.314,30,-1,16,0
0,0.05,9,-1.0,4939,1663,4919,0.337,0.337,105,-1,12,0
0,0.05,8,-1.0,4939,1889,5599,0.382,0.383,105,-1,12,0
0,0.05,7,-1.0,4939,2199,6410,0.445,0.436,105,-1,12,0
0,0.05,6,-1.0,4939,2787,7237,0.564,0.445,105,-1,12,0
0,0.05,5,-1.0,4939,4419,7808,0.895,0.252,105,-1,12,0
0,0.05,9,-1.0,3767,1223,3611,0.325,0.325,80,-1,12,0
0,0.05,8,-1.0,3767,1407,4164,0.373,0.373,80,-1,12,0
0,0.05,7,-1.0,3767,1655,4831,0.439,0.428,80,-1,12,0
0,0.05,6,-1.0,3767,2145,5535,0.569,0.435,80,-1,12,0
0,0.05,5,-1.0,3767,3397,5887,0.902,0.236,80,-1,12,0
0,0.05,9,-1.0,2630,883,2605,0.336,0.336,55,-1,12,0
0,0.05,8,-1.0,2630,1006,2977,0.382,0.383,55,-1,12,0
0,0.05,7,-1.0,2630,1137,3335,0.432,0.425,55,-1,12,0
0,0.05,6,-1.0,2630,1495,3857,0.568,0.437,55,-1,12,0
0,0.05,5,-1.0,2630,2324,4083,0.883,0.241,55,-1,12,0
0,0.05,9,-1.0,1472,488,1429,0.331,0.331,30,-1,12,0
0,0.05,8,-1.0,1472,545,1597,0.37,0.369,30,-1,12,0
0,0.05,7,-1.0,1472,625,1816,0.424,0.411,30,-1,12,0
0,0.05,6,-1.0,1472,813,2043,0.552,0.399,30,-1,12,0
0,0.05,5,-1.0,1472,1287,2160,0.874,0.2,30,-1,12,0
0,0.05,9,-1.0,4996,1659,4812,0.332,0.332,105,-1,8,0
0,0.05,8,-1.0,4996,1917,5560,0.384,0.383,105,-1,8,0
0,0.05,7,-1.0,4996,2270,6434,0.454,0.436,105,-1,8,0
0,0.05,6,-1.0,4996,3107,7546,0.622,0.44,105,-1,8,0
0,0.05,5,-1.0,4996,5540,8025,1.109,0.098,105,-1,8,0
0,0.05,9,-1.0,3755,1249,3632,0.333,0.333,80,-1,8,0
0,0.05,8,-1.0,3755,1446,4220,0.385,0.385,80,-1,8,0
0,0.05,7,-1.0,3755,1691,4845,0.45,0.436,80,-1,8,0
0,0.05,6,-1.0,3755,2290,5540,0.61,0.415,80,-1,8,0
0,0.05,5,-1.0,3755,4192,5950,1.116,0.086,80,-1,8,0
0,0.05,9,-1.0,2643,835,2415,0.316,0.316,55,-1,8,0
0,0.05,8,-1.0,2643,956,2777,0.362,0.36,55,-1,8,0
0,0.05,7,-1.0,2643,1155,3269,0.437,0.415,55,-1,8,0
0,0.05,6,-1.0,2643,1567,3877,0.593,0.426,55,-1,8,0
0,0.05,5,-1.0,2643,2971,4104,1.124,0.074,55,-1,8,0
0,0.05,9,-1.0,1460,451,1287,0.309,0.309,30,-1,8,0
0,0.05,8,-1.0,1460,517,1492,0.354,0.352,30,-1,8,0
0,0.05,7,-1.0,1460,614,1738,0.42,0.401,30,-1,8,0
0,0.05,6,-1.0,1460,837,2029,0.573,0.398,30,-1,8,0
0,0.05,5,-1.0,1460,1599,2148,1.094,0.034,30,-1,8,0
0,0.05,9,-1.0,5033,1866,5169,0.371,0.37,105,-1,4,0
0,0.05,8,-1.0,5033,2197,6060,0.436,0.433,105,-1,4,0
0,0.05,7,-1.0,5033,2629,7065,0.522,0.499,105,-1,4,0
0,0.05,6,-1.0,5033,3731,8133,0.741,0.444,105,-1,4,0
0,0.05,5,-1.0,5033,8477,8177,1.684,-0.381,105,-1,4,0
0,0.05,9,-1.0,3660,1260,3499,0.344,0.344,80,-1,4,0
0,0.05,8,-1.0,3660,1515,4210,0.414,0.411,80,-1,4,0
0,0.05,7,-1.0,3660,1829,4935,0.5,0.471,80,-1,4,0
0,0.05,6,-1.0,3660,2713,5707,0.741,0.393,80,-1,4,0
0,0.05,5,-1.0,3660,6783,5954,1.853,-0.542,80,-1,4,0
0,0.05,9,-1.0,2643,841,2295,0.318,0.318,55,-1,4,0
0,0.05,8,-1.0,2643,984,2695,0.372,0.367,55,-1,4,0
0,0.05,7,-1.0,2643,1174,3130,0.444,0.411,55,-1,4,0
0,0.05,6,-1.0,2643,1807,3669,0.683,0.334,55,-1,4,0
0,0.05,5,-1.0,2643,5450,3930,2.061,-0.818,55,-1,4,0
0,0.05,9,-1.0,1471,478,1290,0.325,0.325,30,-1,4,0
0,0.05,8,-1.0,1471,553,1514,0.376,0.374,30,-1,4,0
0,0.05,7,-1.0,1471,648,1734,0.44,0.412,30,-1,4,0
0,0.05,6,-1.0,1471,1049,1999,0.713,0.289,30,-1,4,0
0,0.05,5,-1.0,1471,3206,2068,2.178,-0.966,30,-1,4,0
0,0.05,9,-1.0,4881,2943,6429,0.603,0.485,105,-1,0,0
0,0.05,8,-1.0,4881,3278,7313,0.671,0.542,105,-1,0,0
0,0.05,7,-1.0,4881,4056,8184,0.831,0.525,105,-1,0,0
0,0.05,6,-1.0,4881,8519,8953,1.745,-0.245,105,-1,0,0
0,0.05,5,-1.0,4881,25644,8460,5.253,-3.659,105,-1,0,0
0,0.05,9,-1.0,3872,1990,4101,0.514,0.393,80,-1,0,0
0,0.05,8,-1.0,3872,2275,4802,0.587,0.44,80,-1,0,0
0,0.05,7,-1.0,3872,2949,5522,0.761,0.404,80,-1,0,0
0,0.05,6,-1.0,3872,7068,6282,1.825,-0.452,80,-1,0,0
0,0.05,5,-1.0,3872,21462,6110,5.541,-3.991,80,-1,0,0
0,0.05,9,-1.0,2542,1213,2345,0.477,0.372,55,-1,0,0
0,0.05,8,-1.0,2542,1366,2713,0.537,0.397,55,-1,0,0
0,0.05,7,-1.0,2542,1853,3168,0.729,0.334,55,-1,0,0
0,0.05,6,-1.0,2542,4956,3556,1.949,-0.704,55,-1,0,0
0,0.05,5,-1.0,2542,15553,3550,6.116,-4.62,55,-1,0,0
0,0.05,9,-1.0,1423,516,948,0.362,0.304,30,-1,0,0
0,0.05,8,-1.0,1423,600,1082,0.421,0.341,30,-1,0,0
0,0.05,7,-1.0,1423,894,1240,0.628,0.257,30,-1,0,0
0,0.05,6,-1.0,1423,3150,1505,2.212,-1.097,30,-1,0,0
0,0.05,5,-1.0,1423,11863,1543,8.331,-7.005,30,-1,0,0
0,0.05,9,-1.0,4967,1600,4800,0.322,0.322,105,-1,28,0
0,0.05,8,-1.0,4967,1805,5415,0.363,0.364,105,-1,28,0
0,0.05,7,-1.0,4967,2084,6247,0.419,0.419,105,-1,28,0
0,0.05,6,-1.0,4967,2366,7051,0.476,0.468,105,-1,28,0
0,0.05,5,-1.0,4967,2796,7407,0.563,0.431,105,-1,28,0
0,0.05,9,-1.0,3815,1201,3604,0.315,0.315,80,-1,28,0
0,0.05,8,-1.0,3815,1374,4122,0.36,0.36,80,-1,28,0
0,0.05,7,-1.0,3815,1595,4779,0.418,0.417,80,-1,28,0
