InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,2626,495,1770,0.188,0.189,55,-1,44,0
0,0.05,8,-1.0,2626,613,2154,0.233,0.234,55,-1,44,0
0,0.05,7,-1.0,2626,738,2526,0.281,0.279,55,-1,44,0
0,0.05,6,-1.0,2626,800,2720,0.305,0.29,55,-1,44,0
0,0.05,5,-1.0,2626,481,1617,0.183,0.097,55,-1,44,0
0,0.05,9,-1.0,1457,262,971,0.18,0.18,30,-1,44,0
0,0.05,8,-1.0,1457,310,1123,0.213,0.213,30,-1,44,0
0,0.05,7,-1.0,1457,371,1307,0.254,0.255,30,-1,44,0
0,0.05,6,-1.0,1457,404,1420,0.277,0.266,30,-1,44,0
0,0.05,5,-1.0,1457,244,864,0.167,0.091,30,-1,44,0
0,0.05,9,-1.0,4822,1110,3715,0.23,0.23,105,-1,40,0
0,0.05,8,-1.0,4822,1283,4305,0.266,0.266,105,-1,40,0
0,0.05,7,-1.0,4822,1501,4956,0.311,0.31,105,-1,40,0
0,0.05,6,-1.0,4822,1709,5510,0.354,0.334,105,-1,40,0
0,0.05,5,-1.0,4822,1082,3306,0.224,0.116,105,-1,40,0
0,0.05,9,-1.0,3766,820,2765,0.218,0.218,80,-1,40,0
0,0.05,8,-1.0,3766,941,3183,0.25,0.25,80,-1,40,0
0,0.05,7,-1.0,3766,1078,3655,0.286,0.286,80,-1,40,0
0,0.05,6,-1.0,3766,1217,4009,0.323,0.308,80,-1,40,0
0,0.05,5,-1.0,3766,758,2312,0.201,0.099,80,-1,40,0
0,0.05,9,-1.0,2543,498,1723,0.196,0.196,55,-1,40,0
0,0.05,8,-1.0,2543,621,2091,0.244,0.244,55,-1,40,0
0,0.05,7,-1.0,2543,727,2451,0.286,0.286,55,-1,40,0
0,0.05,6,-1.0,2543,815,2685,0.32,0.298,55,-1,40,0
0,0.05,5,-1.0,2543,500,1450,0.197,0.079,55,-1,40,0
0,0.05,9,-1.0,1392,262,908,0.188,0.189,30,-1,40,0
0,0.05,8,-1.0,1392,295,1039,0.212,0.212,30,-1,40,0
0,0.05,7,-1.0,1392,366,1229,0.263,0.259,30,-1,40,0
0,0.05,6,-1.0,1392,438,1414,0.314,0.286,30,-1,40,0
0,0.05,5,-1.0,1392,264,737,0.19,0.057,30,-1,40,0
0,0.05,9,-1.0,4998,1073,3546,0.215,0.215,105,-1,36,0
0,0.05,8,-1.0,4998,1319,4317,0.264,0.264,105,-1,36,0
0,0.05,7,-1.0,4998,1525,4959,0.305,0.302,105,-1,36,0
0,0.05,6,-1.0,4998,1781,5528,0.356,0.32,105,-1,36,0
0,0.05,5,-1.0,4998,1282,3041,0.256,0.069,105,-1,36,0
0,0.05,9,-1.0,3826,744,2500,0.194,0.195,80,-1,36,0
0,0.05,8,-1.0,3826,957,3115,0.25,0.25,80,-1,36,0
0,0.05,7,-1.0,3826,1070,3490,0.28,0.277,80,-1,36,0
0,0.05,6,-1.0,3826,1245,3923,0.325,0.294,80,-1,36,0
0,0.05,5,-1.0,3826,923,1957,0.241,0.032,80,-1,36,0
0,0.05,9,-1.0,2555,454,1532,0.178,0.178,55,-1,36,0
0,0.05,8,-1.0,2555,578,1913,0.226,0.227,55,-1,36,0
0,0.05,7,-1.0,2555,655,2166,0.256,0.253,55,-1,36,0
0,0.05,6,-1.0,2555,788,2489,0.308,0.277,55,-1,36,0
0,0.05,5,-1.0,2555,582,1037,0.228,-0.023,55,-1,36,0
0,0.05,9,-1.0,1438,219,757,0.152,0.153,30,-1,36,0
0,0.05,8,-1.0,1438,263,899,0.183,0.183,30,-1,36,0
0,0.05,7,-1.0,1438,344,1120,0.239,0.238,30,-1,36,0
0,0.05,6,-1.0,1438,358,1129,0.249,0.211,30,-1,36,0
0,0.05,5,-1.0,1438,322,494,0.224,-0.041,30,-1,36,0
0,0.05,9,-1.0,4870,931,2916,0.191,0.191,105,-1,32,0
0,0.05,8,-1.0,4870,1068,3465,0.219,0.219,105,-1,32,0
0,0.05,7,-1.0,4870,1380,4261,0.283,0.279,105,-1,32,0
0,0.05,6,-1.0,4870,1504,4542,0.309,0.268,105,-1,32,0
0,0.05,5,-1.0,4870,1382,1872,0.284,-0.053,105,-1,32,0
0,0.05,9,-1.0,3739,486,1508,0.13,0.13,80,-1,32,0
0,0.05,8,-1.0,3739,554,1826,0.148,0.148,80,-1,32,0
0,0.05,7,-1.0,3739,700,2335,0.187,0.183,80,-1,32,0
0,0.05,6,-1.0,3739,960,2694,0.257,0.21,80,-1,32,0
0,0.05,5,-1.0,3739,920,758,0.246,-0.122,80,-1,32,0
0,0.05,9,-1.0,2636,50,247,0.019,0.019,55,-1,32,0
0,0.05,8,-1.0,2636,134,533,0.051,0.05,55,-1,32,0
0,0.05,7,-1.0,2636,277,1008,0.105,0.099,55,-1,32,0
0,0.05,6,-1.0,2636,450,1215,0.171,0.119,55,-1,32,0
0,0.05,5,-1.0,2636,564,250,0.214,-0.151,55,-1,32,0
0,0.05,9,-1.0,1441,0,0,0.0,0.001,30,-1,32,0
0,0.05,8,-1.0,1441,0,0,0.0,0.001,30,-1,32,0
0,0.05,7,-1.0,1441,2,0,0.001,-0.001,30,-1,32,0
0,0.05,6,-1.0,1441,39,4,0.027,-0.024,30,-1,32,0
0,0.05,5,-1.0,1441,382,76,0.265,-0.215,30,-1,32,0
0,0.05,9,-1.0,5070,1013,3646,0.2,0.2,105,-1,44,0
0,0.05,8,-1.0,5070,1197,4230,0.236,0.236,105,-1,44,0
0,0.05,7,-1.0,5070,1433,4956,0.283,0.281,105,-1,44,0
0,0.05,6,-1.0,5070,1608,5529,0.317,0.305,105,-1,44,0
0,0.05,5,-1.0,5070,969,3492,0.191,0.119,105,-1,44,0
0,0.05,9,-1.0,3879,727,2676,0.187,0.188,80,-1,44,0
0,0.05,8,-1.0,3879,865,3127,0.223,0.223,80,-1,44,0
0,0.05,7,-1.0,3879,1024,3623,0.264,0.262,80,-1,44,0
0,0.05,6,-1.0,3879,1158,4036,0.298,0.288,80,-1,44,0
0,0.05,5,-1.0,3879,731,2591,0.188,0.115,80,-1,44,0
0,0.05,9,-1.0,2633,504,1811,0.191,0.192,55,-1,44,0
0,0.05,8,-1.0,2633,600,2132,0.228,0.228,55,-1,44,0
0,0.05,7,-1.0,2633,697,2459,0.265,0.263,55,-1,44,0
0,0.05,6,-1.0,2633,811,2793,0.308,0.296,55,-1,44,0
0,0.05,5,-1.0,2633,488,1760,0.185,0.114,55,-1,44,0
0,0.05,9,-1.0,1384,251,916,0.181,0.182,30,-1,44,0
0,0.05,8,-1.0,1384,313,1094,0.226,0.227,30,-1,44,0
0,0.05,7,-1.0,1384,369,1296,0.266,0.267,30,-1,44,0
0,0.05,6,-1.0,1384,411,1411,0.297,0.277,30,-1,44,0
0,0.05,5,-1.0,1384,241,849,0.174,0.095,30,-1,44,0
0,0.05,9,-1.0,4979,1068,3636,0.214,0.215,105,-1,40,0
0,0.05,8,-1.0,4979,1275,4311,0.256,0.256,105,-1,40,0
0,0.05,7,-1.0,4979,1482,4935,0.298,0.296,105,-1,40,0
0,0.05,6,-1.0,4979,1690,5504,0.339,0.322,105,-1,40,0
0,0.05,5,-1.0,4979,1078,3306,0.216,0.12,105,-1,40,0
0,0.05,9,-1.0,3834,753,2569,0.196,0.197,80,-1,40,0
0,0.05,8,-1.0,3834,885,3011,0.231,0.231,80,-1,40,0
0,0.05,7,-1.0,3834,1054,3540,0.275,0.272,80,-1,40,0
0,0.05,6,-1.0,3834,1234,4020,0.322,0.301,80,-1,40,0
0,0.05,5,-1.0,3834,824,2375,0.215,0.099,80,-1,40,0
0,0.05,9,-1.0,2552,463,1635,0.181,0.182,55,-1,40,0
0,0.05,8,-1.0,2552,537,1900,0.21,0.211,55,-1,40,0
0,0.05,7,-1.0,2552,618,2169,0.242,0.24,55,-1,40,0
0,0.05,6,-1.0,2552,724,2431,0.284,0.262,55,-1,40,0
0,0.05,5,-1.0,2552,453,1370,0.177,0.081,55,-1,40,0
0,0.05,9,-1.0,1405,262,916,0.186,0.187,30,-1,40,0
0,0.05,8,-1.0,1405,294,1038,0.209,0.21,30,-1,40,0
0,0.05,7,-1.0,1405,343,1212,0.244,0.242,30,-1,40,0
0,0.05,6,-1.0,1405,396,1332,0.282,0.257,30,-1,40,0
0,0.05,5,-1.0,1405,260,735,0.185,0.068,30,-1,40,0
0,0.05,9,-1.0,4977,989,3310,0.199,0.199,105,-1,36,0
0,0.05,8,-1.0,4977,1246,4112,0.25,0.25,105,-1,36,0
0,0.05,7,-1.0,4977,1485,4833,0.298,0.295,105,-1,36,0
0,0.05,6,-1.0,4977,1691,5344,0.34,0.319,105,-1,36,0
0,0.05,5,-1.0,4977,1290,2984,0.259,0.069,105,-1,36,0
0,0.05,9,-1.0,3821,722,2413,0.189,0.189,80,-1,36,0
0,0.05,8,-1.0,3821,867,2891,0.227,0.227,80,-1,36,0
0,0.05,7,-1.0,3821,1026,3381,0.268,0.265,80,-1,36,0
0,0.05,6,-1.0,3821,1228,3809,0.321,0.289,80,-1,36,0
0,0.05,5,-1.0,3821,901,1902,0.236,0.029,80,-1,36,0
0,0.05,9,-1.0,2598,487,1611,0.187,0.188,55,-1,36,0
0,0.05,8,-1.0,2598,562,1872,0.216,0.217,55,-1,36,0
0,0.05,7,-1.0,2598,678,2250,0.261,0.26,55,-1,36,0
0,0.05,6,-1.0,2598,773,2451,0.297,0.269,55,-1,36,0
0,0.05,5,-1.0,2598,567,1071,0.218,0.0,55,-1,36,0
0,0.05,9,-1.0,1441,252,862,0.175,0.175,30,-1,36,0
0,0.05,8,-1.0,1441,294,1017,0.204,0.205,30,-1,36,0
0,0.05,7,-1.0,1441,354,1208,0.245,0.243,30,-1,36,0
0,0.05,6,-1.0,1441,423,1357,0.293,0.259,30,-1,36,0
0,0.05,5,-1.0,1441,325,541,0.225,-0.021,30,-1,36,0
0,0.05,9,-1.0,4922,873,2834,0.177,0.178,105,-1,32,0
0,0.05,8,-1.0,4922,1114,3551,0.226,0.226,105,-1,32,0
0,0.05,7,-1.0,4922,1363,4302,0.277,0.273,105,-1,32,0
0,0.05,6,-1.0,4922,1507,4516,0.306,0.27,105,-1,32,0
0,0.05,5,-1.0,4922,1395,1938,0.283,-0.047,105,-1,32,0
0,0.05,9,-1.0,3663,500,1602,0.136,0.137,80,-1,32,0
0,0.05,8,-1.0,3663,598,2029,0.163,0.163,80,-1,32,0
0,0.05,7,-1.0,3663,840,2672,0.229,0.225,80,-1,32,0
0,0.05,6,-1.0,3663,993,2862,0.271,0.227,80,-1,32,0
0,0.05,5,-1.0,3663,954,958,0.26,-0.101,80,-1,32,0
0,0.05,9,-1.0,2632,67,327,0.025,0.026,55,-1,32,0
0,0.05,8,-1.0,2632,206,787,0.078,0.079,55,-1,32,0
0,0.05,7,-1.0,2632,389,1278,0.148,0.144,55,-1,32,0
0,0.05,6,-1.0,2632,481,1308,0.183,0.134,55,-1,32,0
0,0.05,5,-1.0,2632,610,343,0.232,-0.144,55,-1,32,0
0,0.05,9,-1.0,1461,0,0,0.0,0.001,30,-1,32,0
0,0.05,8,-1.0,1461,0,0,0.0,0.001,30,-1,32,0
0,0.05,7,-1.0,1461,4,0,0.003,-0.002,30,-1,32,0
0,0.05,6,-1.0,1461,48,10,0.033,-0.027,30,-1,32,0
0,0.05,5,-1.0,1461,322,88,0.22,-0.17,30,-1,32,0
0,0.05,9,-1.0,5104,963,3423,0.189,0.189,105,-1,44,0
0,0.05,8,-1.0,5104,1148,4021,0.225,0.225,105,-1,44,0
0,0.05,7,-1.0,5104,1351,4701,0.265,0.265,105,-1,44,0
0,0.05,6,-1.0,5104,1502,5173,0.294,0.282,105,-1,44,0
0,0.05,5,-1.0,5104,941,3396,0.184,0.12,105,-1,44,0
0,0.05,9,-1.0,3888,729,2670,0.187,0.188,80,-1,44,0
0,0.05,8,-1.0,3888,858,3098,0.221,0.221,80,-1,44,0
0,0.05,7,-1.0,3888,1020,3617,0.262,0.26,80,-1,44,0
0,0.05,6,-1.0,3888,1135,4004,0.292,0.277,80,-1,44,0
0,0.05,5,-1.0,3888,681,2472,0.175,0.107,80,-1,44,0
0,0.05,9,-1.0,2688,496,1804,0.184,0.185,55,-1,44,0
0,0.05,8,-1.0,2688,589,2105,0.219,0.219,55,-1,44,0
0,0.05,7,-1.0,2688,683,2421,0.254,0.254,55,-1,44,0
0,0.05,6,-1.0,2688,755,2655,0.281,0.271,55,-1,44,0
0,0.05,5,-1.0,2688,446,1605,0.166,0.097,55,-1,44,0
0,0.05,9,-1.0,1403,226,856,0.161,0.162,30,-1,44,0
0,0.05,8,-1.0,1403,273,1010,0.194,0.195,30,-1,44,0
0,0.05,7,-1.0,1403,333,1208,0.237,0.236,30,-1,44,0
0,0.05,6,-1.0,1403,369,1337,0.263,0.252,30,-1,44,0
0,0.05,5,-1.0,1403,212,754,0.151,0.076,30,-1,44,0
0,0.05,9,-1.0,5120,1039,3593,0.203,0.203,105,-1,40,0
0,0.05,8,-1.0,5120,1233,4219,0.241,0.241,105,-1,40,0
0,0.05,7,-1.0,5120,1420,4856,0.277,0.277,105,-1,40,0
0,0.05,6,-1.0,5120,1664,5500,0.325,0.307,105,-1,40,0
0,0.05,5,-1.0,5120,1152,3419,0.225,0.113,105,-1,40,0
0,0.05,9,-1.0,3659,784,2690,0.214,0.214,80,-1,40,0
0,0.05,8,-1.0,3659,901,3091,0.246,0.246,80,-1,40,0
0,0.05,7,-1.0,3659,1054,3594,0.288,0.287,80,-1,40,0
0,0.05,6,-1.0,3659,1220,4048,0.333,0.317,80,-1,40,0
0,0.05,5,-1.0,3659,802,2304,0.219,0.104,80,-1,40,0
0,0.05,9,-1.0,2655,521,1808,0.196,0.197,55,-1,40,0
0,0.05,8,-1.0,2655,615,2117,0.232,0.232,55,-1,40,0
0,0.05,7,-1.0,2655,707,2430,0.266,0.265,55,-1,40,0
0,0.05,6,-1.0,2655,807,2693,0.304,0.281,55,-1,40,0
0,0.05,5,-1.0,2655,570,1521,0.215,0.076,55,-1,40,0
0,0.05,9,-1.0,1409,263,924,0.187,0.187,30,-1,40,0
0,0.05,8,-1.0,1409,315,1095,0.223,0.223,30,-1,40,0
0,0.05,7,-1.0,1409,364,1259,0.258,0.257,30,-1,40,0
0,0.05,6,-1.0,1409,431,1432,0.306,0.286,30,-1,40,0
0,0.05,5,-1.0,1409,301,818,0.213,0.082,30,-1,40,0
0,0.05,9,-1.0,4919,1060,3523,0.215,0.216,105,-1,36,0
0,0.05,8,-1.0,4919,1301,4233,0.264,0.265,105,-1,36,0
0,0.05,7,-1.0,4919,1512,4898,0.307,0.307,105,-1,36,0
0,0.05,6,-1.0,4919,1735,5412,0.353,0.321,105,-1,36,0
0,0.05,5,-1.0,4919,1248,2829,0.254,0.057,105,-1,36,0
0,0.05,9,-1.0,3878,779,2605,0.201,0.201,80,-1,36,0
0,0.05,8,-1.0,3878,970,3152,0.25,0.25,80,-1,36,0
0,0.05,7,-1.0,3878,1101,3612,0.284,0.283,80,-1,36,0
0,0.05,6,-1.0,3878,1225,3887,0.316,0.288,80,-1,36,0
0,0.05,5,-1.0,3878,951,1992,0.245,0.038,80,-1,36,0
0,0.05,9,-1.0,2541,481,1602,0.189,0.19,55,-1,36,0
0,0.05,8,-1.0,2541,601,2001,0.236,0.237,55,-1,36,0
0,0.05,7,-1.0,2541,674,2236,0.265,0.263,55,-1,36,0
0,0.05,6,-1.0,2541,777,2486,0.306,0.281,55,-1,36,0
0,0.05,5,-1.0,2541,603,1038,0.237,-0.013,55,-1,36,0
0,0.05,9,-1.0,1451,237,797,0.163,0.164,30,-1,36,0
0,0.05,8,-1.0,1451,266,908,0.183,0.184,30,-1,36,0
0,0.05,7,-1.0,1451,354,1168,0.244,0.243,30,-1,36,0
0,0.05,6,-1.0,1451,387,1236,0.267,0.23,30,-1,36,0
0,0.05,5,-1.0,1451,309,516,0.213,-0.025,30,-1,36,0
0,0.05,9,-1.0,4904,892,2822,0.182,0.182,105,-1,32,0
0,0.05,8,-1.0,4904,1030,3318,0.21,0.21,105,-1,32,0
0,0.05,7,-1.0,4904,1315,4105,0.268,0.265,105,-1,32,0
0,0.05,6,-1.0,4904,1465,4401,0.299,0.258,105,-1,32,0
0,0.05,5,-1.0,4904,1442,1875,0.294,-0.063,105,-1,32,0
0,0.05,9,-1.0,3785,492,1579,0.13,0.13,80,-1,32,0
0,0.05,8,-1.0,3785,579,1927,0.153,0.153,80,-1,32,0
0,0.05,7,-1.0,3785,781,2483,0.206,0.204,80,-1,32,0
0,0.05,6,-1.0,3785,952,2693,0.251,0.205,80,-1,32,0
0,0.05,5,-1.0,3785,1020,849,0.269,-0.126,80,-1,32,0
0,0.05,9,-1.0,2597,61,313,0.023,0.024,55,-1,32,0
0,0.05,8,-1.0,2597,162,641,0.062,0.063,55,-1,32,0
0,0.05,7,-1.0,2597,296,1040,0.114,0.11,55,-1,32,0
0,0.05,6,-1.0,2597,459,1303,0.177,0.135,55,-1,32,0
0,0.05,5,-1.0,2597,606,308,0.233,-0.153,55,-1,32,0
0,0.05,9,-1.0,1424,0,0,0.0,0.001,30,-1,32,0
0,0.05,8,-1.0,1424,0,0,0.0,0.001,30,-1,32,0
0,0.05,7,-1.0,1424,3,0,0.002,-0.001,30,-1,32,0
0,0.05,6,-1.0,1424,51,0,0.036,-0.034,30,-1,32,0
0,0.05,5,-1.0,1424,360,67,0.253,-0.214,30,-1,32,0
0,0.05,9,-1.0,4962,1032,3601,0.208,0.208,105,-1,44,0
0,0.05,8,-1.0,4962,1191,4192,0.24,0.24,105,-1,44,0
0,0.05,7,-1.0,4962,1389,4839,0.28,0.278,105,-1,44,0
0,0.05,6,-1.0,4962,1522,5266,0.307,0.293,105,-1,44,0
0,0.05,5,-1.0,4962,1001,3609,0.202,0.136,105,-1,44,0
0,0.05,9,-1.0,3735,710,2566,0.19,0.19,80,-1,44,0
0,0.05,8,-1.0,3735,858,3036,0.23,0.23,80,-1,44,0
0,0.05,7,-1.0,3735,1033,3572,0.276,0.277,80,-1,44,0
0,0.05,6,-1.0,3735,1122,3870,0.3,0.288,80,-1,44,0
0,0.05,5,-1.0,3735,724,2552,0.194,0.123,80,-1,44,0
0,0.05,9,-1.0,2568,481,1737,0.187,0.188,55,-1,44,0
0,0.05,8,-1.0,2568,559,2010,0.218,0.218,55,-1,44,0
0,0.05,7,-1.0,2568,655,2327,0.255,0.255,55,-1,44,0
0,0.05,6,-1.0,2568,752,2607,0.293,0.281,55,-1,44,0
0,0.05,5,-1.0,2568,444,1597,0.173,0.107,55,-1,44,0
0,0.05,9,-1.0,1467,227,883,0.155,0.155,30,-1,44,0
0,0.05,8,-1.0,1467,282,1059,0.192,0.193,30,-1,44,0
0,0.05,7,-1.0,1467,349,1258,0.238,0.236,30,-1,44,0
0,0.05,6,-1.0,1467,401,1403,0.273,0.252,30,-1,44,0
0,0.05,5,-1.0,1467,259,897,0.176,0.101,30,-1,44,0
0,0.05,9,-1.0,4978,1038,3542,0.208,0.209,105,-1,40,0
0,0.05,8,-1.0,4978,1239,4192,0.249,0.249,105,-1,40,0
0,0.05,7,-1.0,4978,1464,4898,0.294,0.292,105,-1,40,0
0,0.05,6,-1.0,4978,1682,5485,0.338,0.319,105,-1,40,0
0,0.05,5,-1.0,4978,1131,3388,0.227,0.13,105,-1,40,0
0,0.05,9,-1.0,3753,786,2694,0.209,0.21,80,-1,40,0
0,0.05,8,-1.0,3753,914,3131,0.243,0.243,80,-1,40,0
0,0.05,7,-1.0,3753,1056,3599,0.281,0.28,80,-1,40,0
0,0.05,6,-1.0,3753,1221,4041,0.325,0.303,80,-1,40,0
0,0.05,5,-1.0,3753,816,2415,0.217,0.112,80,-1,40,0
0,0.05,9,-1.0,2656,489,1736,0.184,0.184,55,-1,40,0
0,0.05,8,-1.0,2656,597,2075,0.225,0.224,55,-1,40,0
0,0.05,7,-1.0,2656,715,2434,0.269,0.266,55,-1,40,0
0,0.05,6,-1.0,2656,805,2706,0.303,0.286,55,-1,40,0
0,0.05,5,-1.0,2656,532,1539,0.2,0.088,55,-1,40,0
0,0.05,9,-1.0,1394,282,978,0.202,0.203,30,-1,40,0
0,0.05,8,-1.0,1394,317,1108,0.227,0.228,30,-1,40,0
0,0.05,7,-1.0,1394,404,1357,0.29,0.287,30,-1,40,0
0,0.05,6,-1.0,1394,446,1468,0.32,0.295,30,-1,40,0
0,0.05,5,-1.0,1394,310,835,0.222,0.08,30,-1,40,0
0,0.05,9,-1.0,5011,1007,3369,0.201,0.201,105,-1,36,0
0,0.05,8,-1.0,5011,1230,4056,0.245,0.246,105,-1,36,0
0,0.05,7,-1.0,5011,1424,4664,0.284,0.281,105,-1,36,0
0,0.05,6,-1.0,5011,1644,5212,0.328,0.3,105,-1,36,0
0,0.05,5,-1.0,5011,1267,2902,0.253,0.071,105,-1,36,0
0,0.05,9,-1.0,3747,765,2586,0.204,0.204,80,-1,36,0
0,0.05,8,-1.0,3747,935,3110,0.249,0.25,80,-1,36,0
0,0.05,7,-1.0,3747,1107,3619,0.295,0.292,80,-1,36,0
0,0.05,6,-1.0,3747,1280,3964,0.342,0.303,80,-1,36,0
0,0.05,5,-1.0,3747,935,1971,0.249,0.034,80,-1,36,0
