InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,8,-1.0,3806,1379,4131,0.362,1.085,1.8079999999999998,80,-1,20,0
0,0.05,7,-1.0,3806,1549,4640,0.407,1.219,2.031,80,-1,20,0
0,0.05,6,-1.0,3806,1789,5319,0.47,1.397,2.324,80,-1,20,0
0,0.05,5,-1.0,3806,2158,6062,0.567,1.592,2.617,80,-1,20,0
0,0.05,9,-1.0,2723,891,2653,0.327,0.974,1.621,55,-1,20,0
0,0.05,8,-1.0,2723,1012,3026,0.372,1.111,1.85,55,-1,20,0
0,0.05,7,-1.0,2723,1144,3426,0.42,1.258,2.096,55,-1,20,0
0,0.05,6,-1.0,2723,1292,3837,0.474,1.409,2.3440000000000003,55,-1,20,0
0,0.05,5,-1.0,2723,1502,4254,0.551,1.562,2.573,55,-1,20,0
0,0.05,9,-1.0,1400,484,1444,0.345,1.031,1.7169999999999999,30,-1,20,0
0,0.05,8,-1.0,1400,542,1622,0.387,1.158,1.9289999999999998,30,-1,20,0
0,0.05,7,-1.0,1400,598,1790,0.427,1.278,2.129,30,-1,20,0
0,0.05,6,-1.0,1400,685,2032,0.489,1.45,2.411,30,-1,20,0
0,0.05,5,-1.0,1400,833,2342,0.595,1.672,2.7489999999999997,30,-1,20,0
0,0.05,9,-1.0,5042,1599,4758,0.317,0.943,1.569,105,-1,16,0
0,0.05,8,-1.0,5042,1785,5329,0.354,1.057,1.7599999999999998,105,-1,16,0
0,0.05,7,-1.0,5042,2044,6079,0.405,1.205,2.005,105,-1,16,0
0,0.05,6,-1.0,5042,2406,7053,0.477,1.399,2.321,105,-1,16,0
0,0.05,5,-1.0,5042,3030,8173,0.601,1.621,2.641,105,-1,16,0
0,0.05,9,-1.0,3654,1222,3636,0.334,0.995,1.656,80,-1,16,0
0,0.05,8,-1.0,3654,1371,4079,0.375,1.116,1.8570000000000002,80,-1,16,0
0,0.05,7,-1.0,3654,1560,4642,0.427,1.27,2.113,80,-1,16,0
0,0.05,6,-1.0,3654,1797,5282,0.492,1.445,2.398,80,-1,16,0
0,0.05,5,-1.0,3654,2202,6030,0.602,1.65,2.698,80,-1,16,0
0,0.05,9,-1.0,2638,829,2464,0.314,0.934,1.554,55,-1,16,0
0,0.05,8,-1.0,2638,963,2866,0.365,1.086,1.8070000000000002,55,-1,16,0
0,0.05,7,-1.0,2638,1093,3253,0.414,1.233,2.052,55,-1,16,0
0,0.05,6,-1.0,2638,1277,3768,0.484,1.428,2.372,55,-1,16,0
0,0.05,5,-1.0,2638,1551,4322,0.588,1.638,2.6879999999999997,55,-1,16,0
0,0.05,9,-1.0,1360,447,1333,0.328,0.979,1.63,30,-1,16,0
0,0.05,8,-1.0,1360,503,1499,0.37,1.101,1.8319999999999999,30,-1,16,0
0,0.05,7,-1.0,1360,570,1696,0.419,1.246,2.073,30,-1,16,0
0,0.05,6,-1.0,1360,669,1975,0.492,1.451,2.41,30,-1,16,0
0,0.05,5,-1.0,1360,827,2273,0.608,1.67,2.7319999999999998,30,-1,16,0
0,0.05,9,-1.0,4993,1633,4810,0.327,0.963,1.599,105,-1,12,0
0,0.05,8,-1.0,4993,1882,5560,0.377,1.113,1.849,105,-1,12,0
0,0.05,7,-1.0,4993,2182,6429,0.437,1.287,2.137,105,-1,12,0
0,0.05,6,-1.0,4993,2571,7440,0.515,1.49,2.465,105,-1,12,0
0,0.05,5,-1.0,4993,3288,8603,0.658,1.723,2.7880000000000003,105,-1,12,0
0,0.05,9,-1.0,3686,1275,3747,0.346,1.016,1.686,80,-1,12,0
0,0.05,8,-1.0,3686,1427,4208,0.387,1.141,1.895,80,-1,12,0
0,0.05,7,-1.0,3686,1605,4717,0.435,1.279,2.1229999999999998,80,-1,12,0
0,0.05,6,-1.0,3686,1882,5452,0.51,1.479,2.4480000000000004,80,-1,12,0
0,0.05,5,-1.0,3686,2357,6240,0.639,1.692,2.745,80,-1,12,0
