InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,5019,1689,4856,0.336,0.967,1.5979999999999999,105,-1,8,0
0,0.05,8,-1.0,5019,1946,5612,0.388,1.118,1.8480000000000003,105,-1,8,0
0,0.05,7,-1.0,5019,2309,6633,0.46,1.321,2.182,105,-1,8,0
0,0.05,6,-1.0,5019,2724,7672,0.543,1.528,2.513,105,-1,8,0
0,0.05,5,-1.0,5019,3541,8882,0.705,1.769,2.8329999999999997,105,-1,8,0
0,0.05,9,-1.0,3849,1249,3591,0.324,0.933,1.542,80,-1,8,0
0,0.05,8,-1.0,3849,1425,4123,0.37,1.071,1.7719999999999998,80,-1,8,0
0,0.05,7,-1.0,3849,1656,4798,0.43,1.246,2.062,80,-1,8,0
0,0.05,6,-1.0,3849,1968,5617,0.511,1.459,2.407,80,-1,8,0
0,0.05,5,-1.0,3849,2568,6520,0.667,1.694,2.721,80,-1,8,0
0,0.05,9,-1.0,2616,833,2396,0.318,0.916,1.514,55,-1,8,0
0,0.05,8,-1.0,2616,973,2812,0.372,1.075,1.778,55,-1,8,0
0,0.05,7,-1.0,2616,1103,3211,0.421,1.227,2.0330000000000004,55,-1,8,0
0,0.05,6,-1.0,2616,1298,3746,0.496,1.431,2.366,55,-1,8,0
0,0.05,5,-1.0,2616,1647,4224,0.629,1.614,2.599,55,-1,8,0
0,0.05,9,-1.0,1353,440,1262,0.325,0.932,1.5390000000000001,30,-1,8,0
0,0.05,8,-1.0,1353,506,1459,0.374,1.078,1.782,30,-1,8,0
0,0.05,7,-1.0,1353,580,1687,0.428,1.246,2.064,30,-1,8,0
0,0.05,6,-1.0,1353,679,1933,0.501,1.428,2.355,30,-1,8,0
0,0.05,5,-1.0,1353,893,2202,0.66,1.626,2.5919999999999996,30,-1,8,0
0,0.05,9,-1.0,5099,1909,5238,0.374,1.027,1.6799999999999997,105,-1,4,0
0,0.05,8,-1.0,5099,2211,6062,0.434,1.189,1.9440000000000002,105,-1,4,0
0,0.05,7,-1.0,5099,2582,7059,0.506,1.384,2.2619999999999996,105,-1,4,0
0,0.05,6,-1.0,5099,3113,8267,0.61,1.621,2.632,105,-1,4,0
0,0.05,5,-1.0,5099,4369,9279,0.857,1.819,2.7809999999999997,105,-1,4,0
0,0.05,9,-1.0,3752,1333,3698,0.355,0.985,1.615,80,-1,4,0
0,0.05,8,-1.0,3752,1525,4251,0.406,1.133,1.8599999999999999,80,-1,4,0
0,0.05,7,-1.0,3752,1772,4933,0.472,1.314,2.156,80,-1,4,0
0,0.05,6,-1.0,3752,2093,5698,0.558,1.518,2.4779999999999998,80,-1,4,0
0,0.05,5,-1.0,3752,3011,6490,0.802,1.729,2.656,80,-1,4,0
0,0.05,9,-1.0,2603,889,2431,0.341,0.934,1.5270000000000001,55,-1,4,0
0,0.05,8,-1.0,2603,1032,2845,0.396,1.093,1.79,55,-1,4,0
0,0.05,7,-1.0,2603,1207,3342,0.464,1.283,2.102,55,-1,4,0
0,0.05,6,-1.0,2603,1431,3856,0.55,1.481,2.412,55,-1,4,0
0,0.05,5,-1.0,2603,2081,4396,0.799,1.688,2.577,55,-1,4,0
0,0.05,9,-1.0,1483,482,1293,0.325,0.871,1.417,30,-1,4,0
0,0.05,8,-1.0,1483,559,1520,0.377,1.024,1.671,30,-1,4,0
0,0.05,7,-1.0,1483,638,1763,0.43,1.188,1.946,30,-1,4,0
0,0.05,6,-1.0,1483,767,2028,0.517,1.367,2.217,30,-1,4,0
0,0.05,5,-1.0,1483,1139,2363,0.768,1.592,2.4160000000000004,30,-1,4,0
0,0.05,9,-1.0,4920,2893,6297,0.588,1.28,1.972,105,-1,0,0
0,0.05,8,-1.0,4920,3153,7045,0.641,1.432,2.223,105,-1,0,0
