InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,9,-1.0,3768,1250,3624,0.332,0.332,80,-1,8,0
0,0.05,8,-1.0,3768,1419,4126,0.376,0.377,80,-1,8,0
0,0.05,7,-1.0,3768,1628,4714,0.432,0.43,80,-1,8,0
0,0.05,6,-1.0,3768,1960,5533,0.52,0.496,80,-1,8,0
0,0.05,5,-1.0,3768,2715,6342,0.72,0.466,80,-1,8,0
0,0.05,9,-1.0,2546,836,2407,0.328,0.329,55,-1,8,0
0,0.05,8,-1.0,2546,983,2853,0.386,0.386,55,-1,8,0
0,0.05,7,-1.0,2546,1109,3230,0.435,0.433,55,-1,8,0
0,0.05,6,-1.0,2546,1283,3639,0.504,0.478,55,-1,8,0
0,0.05,5,-1.0,2546,1755,4113,0.689,0.444,55,-1,8,0
0,0.05,9,-1.0,1403,448,1284,0.319,0.32,30,-1,8,0
0,0.05,8,-1.0,1403,519,1497,0.37,0.37,30,-1,8,0
0,0.05,7,-1.0,1403,598,1734,0.426,0.424,30,-1,8,0
0,0.05,6,-1.0,1403,723,2048,0.515,0.493,30,-1,8,0
0,0.05,5,-1.0,1403,997,2297,0.71,0.445,30,-1,8,0
0,0.05,9,-1.0,4984,1846,5059,0.37,0.371,105,-1,4,0
0,0.05,8,-1.0,4984,2159,5877,0.433,0.433,105,-1,4,0
0,0.05,7,-1.0,4984,2512,6863,0.504,0.5,105,-1,4,0
0,0.05,6,-1.0,4984,3001,7925,0.602,0.559,105,-1,4,0
0,0.05,5,-1.0,4984,4388,8958,0.88,0.455,105,-1,4,0
0,0.05,9,-1.0,3887,1371,3747,0.353,0.353,80,-1,4,0
0,0.05,8,-1.0,3887,1577,4352,0.406,0.405,80,-1,4,0
0,0.05,7,-1.0,3887,1815,4990,0.467,0.465,80,-1,4,0
0,0.05,6,-1.0,3887,2167,5760,0.557,0.515,80,-1,4,0
