InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,5,-1.0,1186,558,1650,0.47,0.428,26,-1,32,0
0,0.05,9,-1.0,877,215,677,0.245,0.246,18,-1,32,0
0,0.05,8,-1.0,877,252,780,0.287,0.288,18,-1,32,0
0,0.05,7,-1.0,877,294,916,0.335,0.336,18,-1,32,0
0,0.05,6,-1.0,877,354,1090,0.403,0.402,18,-1,32,0
0,0.05,5,-1.0,877,392,1141,0.446,0.391,18,-1,32,0
0,0.05,9,-1.0,452,104,334,0.23,0.232,10,-1,32,0
0,0.05,8,-1.0,452,123,390,0.272,0.274,10,-1,32,0
0,0.05,7,-1.0,452,138,435,0.305,0.307,10,-1,32,0
0,0.05,6,-1.0,452,153,479,0.338,0.34,10,-1,32,0
0,0.05,5,-1.0,452,167,508,0.369,0.333,10,-1,32,0
0,0.05,9,-1.0,1210,316,950,0.261,0.262,26,-1,28,0
0,0.05,8,-1.0,1210,384,1153,0.317,0.318,26,-1,28,0
0,0.05,7,-1.0,1210,438,1318,0.362,0.363,26,-1,28,0
0,0.05,6,-1.0,1210,519,1558,0.429,0.426,26,-1,28,0
0,0.05,5,-1.0,1210,599,1697,0.495,0.443,26,-1,28,0
0,0.05,9,-1.0,811,212,640,0.261,0.262,18,-1,28,0
0,0.05,8,-1.0,811,240,724,0.296,0.297,18,-1,28,0
0,0.05,7,-1.0,811,288,865,0.355,0.356,18,-1,28,0
0,0.05,6,-1.0,811,331,994,0.408,0.406,18,-1,28,0
0,0.05,5,-1.0,811,404,1113,0.498,0.417,18,-1,28,0
0,0.05,9,-1.0,478,134,404,0.28,0.282,10,-1,28,0
0,0.05,8,-1.0,478,150,452,0.313,0.315,10,-1,28,0
0,0.05,7,-1.0,478,178,539,0.372,0.374,10,-1,28,0
0,0.05,6,-1.0,478,207,620,0.432,0.43,10,-1,28,0
0,0.05,5,-1.0,478,225,636,0.47,0.415,10,-1,28,0
0,0.05,9,-1.0,1198,347,1001,0.289,0.29,26,-1,24,0
0,0.05,8,-1.0,1198,387,1131,0.323,0.324,26,-1,24,0
0,0.05,7,-1.0,1198,444,1297,0.37,0.37,26,-1,24,0
0,0.05,6,-1.0,1198,535,1558,0.446,0.443,26,-1,24,0
0,0.05,5,-1.0,1198,633,1726,0.528,0.46,26,-1,24,0
0,0.05,9,-1.0,872,251,728,0.288,0.289,18,-1,24,0
0,0.05,8,-1.0,872,288,840,0.33,0.331,18,-1,24,0
0,0.05,7,-1.0,872,336,967,0.385,0.386,18,-1,24,0
0,0.05,6,-1.0,872,398,1148,0.456,0.448,18,-1,24,0
0,0.05,5,-1.0,872,472,1257,0.541,0.452,18,-1,24,0
0,0.05,9,-1.0,452,156,453,0.344,0.347,10,-1,24,0
0,0.05,8,-1.0,452,168,491,0.371,0.373,10,-1,24,0
0,0.05,7,-1.0,452,191,555,0.422,0.424,10,-1,24,0
0,0.05,6,-1.0,452,207,606,0.457,0.459,10,-1,24,0
0,0.05,5,-1.0,452,231,642,0.51,0.459,10,-1,24,0
0,0.05,9,-1.0,1263,372,1038,0.294,0.295,26,-1,20,0
0,0.05,8,-1.0,1263,434,1222,0.343,0.344,26,-1,20,0
0,0.05,7,-1.0,1263,504,1427,0.399,0.4,26,-1,20,0
0,0.05,6,-1.0,1263,575,1637,0.455,0.454,26,-1,20,0
0,0.05,5,-1.0,1263,666,1751,0.527,0.455,26,-1,20,0
0,0.05,9,-1.0,800,243,671,0.303,0.305,18,-1,20,0
0,0.05,8,-1.0,800,279,779,0.348,0.35,18,-1,20,0
0,0.05,7,-1.0,800,319,904,0.398,0.4,18,-1,20,0
0,0.05,6,-1.0,800,382,1066,0.477,0.471,18,-1,20,0
0,0.05,5,-1.0,800,449,1194,0.561,0.487,18,-1,20,0
0,0.05,9,-1.0,466,129,360,0.276,0.278,10,-1,20,0
0,0.05,8,-1.0,466,151,428,0.323,0.325,10,-1,20,0
0,0.05,7,-1.0,466,186,525,0.398,0.4,10,-1,20,0
