InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,5,-1.0,4969,3311,8798,0.666,1.77,2.874,105,-1,12,0
0,0.05,9,-1.0,3900,1242,3661,0.318,0.938,1.5579999999999998,80,-1,12,0
0,0.05,8,-1.0,3900,1437,4257,0.368,1.091,1.814,80,-1,12,0
0,0.05,7,-1.0,3900,1664,4916,0.427,1.26,2.093,80,-1,12,0
0,0.05,6,-1.0,3900,1919,5618,0.492,1.44,2.388,80,-1,12,0
0,0.05,5,-1.0,3900,2441,6462,0.626,1.656,2.686,80,-1,12,0
0,0.05,9,-1.0,2728,848,2494,0.311,0.914,1.5170000000000001,55,-1,12,0
0,0.05,8,-1.0,2728,983,2900,0.36,1.063,1.766,55,-1,12,0
0,0.05,7,-1.0,2728,1140,3374,0.418,1.236,2.054,55,-1,12,0
0,0.05,6,-1.0,2728,1329,3900,0.487,1.429,2.371,55,-1,12,0
0,0.05,5,-1.0,2728,1682,4484,0.616,1.643,2.67,55,-1,12,0
0,0.05,9,-1.0,1357,449,1328,0.331,0.978,1.625,30,-1,12,0
0,0.05,8,-1.0,1357,501,1480,0.369,1.09,1.8110000000000002,30,-1,12,0
0,0.05,7,-1.0,1357,576,1704,0.424,1.255,2.086,30,-1,12,0
0,0.05,6,-1.0,1357,672,1958,0.495,1.442,2.389,30,-1,12,0
0,0.05,5,-1.0,1357,847,2221,0.624,1.635,2.646,30,-1,12,0
0,0.05,9,-1.0,4921,1629,4725,0.331,0.96,1.589,105,-1,8,0
0,0.05,8,-1.0,4921,1899,5501,0.386,1.118,1.85,105,-1,8,0
0,0.05,7,-1.0,4921,2233,6445,0.454,1.309,2.1639999999999997,105,-1,8,0
0,0.05,6,-1.0,4921,2644,7485,0.537,1.521,2.505,105,-1,8,0
0,0.05,5,-1.0,4921,3458,8612,0.703,1.75,2.797,105,-1,8,0
0,0.05,9,-1.0,3647,1252,3609,0.343,0.989,1.635,80,-1,8,0
0,0.05,8,-1.0,3647,1431,4139,0.392,1.135,1.8780000000000001,80,-1,8,0
0,0.05,7,-1.0,3647,1623,4701,0.445,1.289,2.133,80,-1,8,0
0,0.05,6,-1.0,3647,1875,5395,0.514,1.479,2.444,80,-1,8,0
0,0.05,5,-1.0,3647,2399,6143,0.658,1.684,2.71,80,-1,8,0
0,0.05,9,-1.0,2585,800,2295,0.309,0.887,1.465,55,-1,8,0
0,0.05,8,-1.0,2585,921,2655,0.356,1.027,1.698,55,-1,8,0
0,0.05,7,-1.0,2585,1101,3205,0.426,1.239,2.052,55,-1,8,0
0,0.05,6,-1.0,2585,1305,3752,0.505,1.451,2.3970000000000002,55,-1,8,0
0,0.05,5,-1.0,2585,1708,4386,0.66,1.696,2.7319999999999998,55,-1,8,0
0,0.05,9,-1.0,1435,438,1240,0.305,0.864,1.423,30,-1,8,0
0,0.05,8,-1.0,1435,510,1463,0.355,1.019,1.6829999999999998,30,-1,8,0
0,0.05,7,-1.0,1435,587,1697,0.409,1.182,1.9549999999999998,30,-1,8,0
0,0.05,6,-1.0,1435,676,1939,0.471,1.35,2.229,30,-1,8,0
0,0.05,5,-1.0,1435,879,2232,0.612,1.554,2.496,30,-1,8,0
0,0.05,9,-1.0,5031,1904,5238,0.378,1.041,1.7039999999999997,105,-1,4,0
0,0.05,8,-1.0,5031,2231,6130,0.443,1.218,1.9929999999999999,105,-1,4,0
0,0.05,7,-1.0,5031,2598,7166,0.516,1.424,2.332,105,-1,4,0
0,0.05,6,-1.0,5031,3042,8256,0.605,1.641,2.677,105,-1,4,0
0,0.05,5,-1.0,5031,4013,9307,0.797,1.85,2.903,105,-1,4,0
0,0.05,9,-1.0,3796,1295,3539,0.341,0.932,1.5230000000000001,80,-1,4,0
0,0.05,8,-1.0,3796,1496,4128,0.394,1.087,1.7799999999999998,80,-1,4,0
0,0.05,7,-1.0,3796,1758,4859,0.463,1.28,2.097,80,-1,4,0
0,0.05,6,-1.0,3796,2078,5665,0.547,1.492,2.437,80,-1,4,0
0,0.05,5,-1.0,3796,2897,6560,0.763,1.728,2.693,80,-1,4,0
0,0.05,9,-1.0,2657,903,2474,0.34,0.931,1.522,55,-1,4,0
0,0.05,8,-1.0,2657,1022,2835,0.384,1.067,1.75,55,-1,4,0
0,0.05,7,-1.0,2657,1179,3263,0.444,1.228,2.012,55,-1,4,0
0,0.05,6,-1.0,2657,1369,3748,0.515,1.41,2.3049999999999997,55,-1,4,0
0,0.05,5,-1.0,2657,1904,4337,0.716,1.632,2.548,55,-1,4,0
0,0.05,9,-1.0,1388,466,1257,0.335,0.905,1.475,30,-1,4,0
0,0.05,8,-1.0,1388,533,1464,0.384,1.054,1.7240000000000002,30,-1,4,0
0,0.05,7,-1.0,1388,622,1705,0.448,1.228,2.008,30,-1,4,0
0,0.05,6,-1.0,1388,714,1922,0.514,1.384,2.2539999999999996,30,-1,4,0
0,0.05,5,-1.0,1388,995,2196,0.716,1.581,2.4459999999999997,30,-1,4,0
0,0.05,9,-1.0,5059,2941,6330,0.581,1.251,1.9209999999999998,105,-1,0,0
0,0.05,8,-1.0,5059,3266,7265,0.645,1.436,2.227,105,-1,0,0
0,0.05,7,-1.0,5059,3605,8176,0.712,1.616,2.5200000000000005,105,-1,0,0
0,0.05,6,-1.0,5059,4291,9197,0.848,1.818,2.7880000000000003,105,-1,0,0
0,0.05,5,-1.0,5059,7495,10083,1.481,1.993,2.505,105,-1,0,0
0,0.05,9,-1.0,3686,1937,3929,0.525,1.066,1.6070000000000002,80,-1,0,0
0,0.05,8,-1.0,3686,2181,4585,0.592,1.244,1.896,80,-1,0,0
0,0.05,7,-1.0,3686,2446,5370,0.663,1.456,2.2489999999999997,80,-1,0,0
0,0.05,6,-1.0,3686,2941,5981,0.798,1.622,2.446,80,-1,0,0
0,0.05,5,-1.0,3686,5481,6698,1.487,1.817,2.147,80,-1,0,0
0,0.05,9,-1.0,2656,1215,2302,0.457,0.866,1.275,55,-1,0,0
0,0.05,8,-1.0,2656,1364,2772,0.513,1.043,1.573,55,-1,0,0
