InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,8,-1.0,5062,1957,5686,0.387,1.123,1.859,105,-1,8,0
0,0.05,7,-1.0,5062,2299,6643,0.454,1.312,2.17,105,-1,8,0
0,0.05,6,-1.0,5062,2753,7831,0.544,1.547,2.55,105,-1,8,0
0,0.05,5,-1.0,5062,3571,8951,0.705,1.768,2.831,105,-1,8,0
0,0.05,9,-1.0,3818,1248,3622,0.327,0.948,1.569,80,-1,8,0
0,0.05,8,-1.0,3818,1433,4148,0.375,1.086,1.7970000000000002,80,-1,8,0
0,0.05,7,-1.0,3818,1647,4777,0.431,1.251,2.0709999999999997,80,-1,8,0
0,0.05,6,-1.0,3818,1936,5547,0.507,1.452,2.397,80,-1,8,0
0,0.05,5,-1.0,3818,2541,6433,0.665,1.684,2.703,80,-1,8,0
0,0.05,9,-1.0,2634,922,2646,0.35,1.004,1.658,55,-1,8,0
0,0.05,8,-1.0,2634,1045,3025,0.397,1.148,1.8989999999999998,55,-1,8,0
0,0.05,7,-1.0,2634,1198,3474,0.455,1.318,2.181,55,-1,8,0
0,0.05,6,-1.0,2634,1375,3951,0.522,1.499,2.476,55,-1,8,0
0,0.05,5,-1.0,2634,1757,4435,0.667,1.683,2.699,55,-1,8,0
0,0.05,9,-1.0,1385,442,1268,0.319,0.915,1.5110000000000001,30,-1,8,0
0,0.05,8,-1.0,1385,500,1438,0.361,1.038,1.715,30,-1,8,0
0,0.05,7,-1.0,1385,584,1694,0.421,1.222,2.023,30,-1,8,0
0,0.05,6,-1.0,1385,684,1966,0.494,1.418,2.3419999999999996,30,-1,8,0
0,0.05,5,-1.0,1385,896,2264,0.646,1.633,2.62,30,-1,8,0
0,0.05,9,-1.0,5019,1886,5187,0.376,1.033,1.69,105,-1,4,0
0,0.05,8,-1.0,5019,2211,6098,0.44,1.215,1.9900000000000002,105,-1,4,0
0,0.05,7,-1.0,5019,2583,7117,0.515,1.418,2.3209999999999997,105,-1,4,0
0,0.05,6,-1.0,5019,3052,8215,0.608,1.636,2.6639999999999997,105,-1,4,0
0,0.05,5,-1.0,5019,4260,9264,0.849,1.845,2.841,105,-1,4,0
0,0.05,9,-1.0,3823,1298,3582,0.339,0.937,1.5350000000000001,80,-1,4,0
0,0.05,8,-1.0,3823,1510,4186,0.395,1.095,1.795,80,-1,4,0
0,0.05,7,-1.0,3823,1755,4843,0.459,1.266,2.073,80,-1,4,0
0,0.05,6,-1.0,3823,2102,5628,0.55,1.472,2.394,80,-1,4,0
0,0.05,5,-1.0,3823,3052,6439,0.798,1.684,2.57,80,-1,4,0
0,0.05,9,-1.0,2614,881,2437,0.337,0.932,1.5270000000000001,55,-1,4,0
0,0.05,8,-1.0,2614,1006,2796,0.385,1.069,1.753,55,-1,4,0
0,0.05,7,-1.0,2614,1137,3150,0.435,1.205,1.975,55,-1,4,0
0,0.05,6,-1.0,2614,1385,3744,0.53,1.432,2.3339999999999996,55,-1,4,0
0,0.05,5,-1.0,2614,2014,4266,0.77,1.631,2.492,55,-1,4,0
0,0.05,9,-1.0,1397,483,1316,0.345,0.941,1.537,30,-1,4,0
0,0.05,8,-1.0,1397,558,1520,0.399,1.087,1.775,30,-1,4,0
0,0.05,7,-1.0,1397,629,1724,0.45,1.233,2.016,30,-1,4,0
0,0.05,6,-1.0,1397,758,1999,0.542,1.43,2.3179999999999996,30,-1,4,0
0,0.05,5,-1.0,1397,1104,2284,0.79,1.634,2.4779999999999998,30,-1,4,0
0,0.05,9,-1.0,4842,2798,6138,0.578,1.267,1.956,105,-1,0,0
0,0.05,8,-1.0,4842,3130,6989,0.646,1.443,2.24,105,-1,0,0
0,0.05,7,-1.0,4842,3518,7945,0.726,1.641,2.556,105,-1,0,0
0,0.05,6,-1.0,4842,4341,8891,0.896,1.836,2.7760000000000002,105,-1,0,0
0,0.05,5,-1.0,4842,9160,9658,1.891,1.994,2.097,105,-1,0,0
0,0.05,9,-1.0,3760,1956,4035,0.52,1.073,1.626,80,-1,0,0
0,0.05,8,-1.0,3760,2215,4704,0.589,1.251,1.9129999999999998,80,-1,0,0
0,0.05,7,-1.0,3760,2508,5384,0.667,1.432,2.197,80,-1,0,0
0,0.05,6,-1.0,3760,3152,5997,0.838,1.595,2.352,80,-1,0,0
0,0.05,5,-1.0,3760,7243,6654,1.926,1.769,1.6119999999999999,80,-1,0,0
0,0.05,9,-1.0,2539,1149,2187,0.452,0.861,1.27,55,-1,0,0
0,0.05,8,-1.0,2539,1276,2514,0.502,0.99,1.478,55,-1,0,0
0,0.05,7,-1.0,2539,1478,3051,0.582,1.201,1.8200000000000003,55,-1,0,0
0,0.05,6,-1.0,2539,1970,3477,0.776,1.369,1.962,55,-1,0,0
0,0.05,5,-1.0,2539,5013,3833,1.974,1.509,1.0439999999999998,55,-1,0,0
0,0.05,9,-1.0,1449,536,994,0.37,0.686,1.0020000000000002,30,-1,0,0
0,0.05,8,-1.0,1449,609,1116,0.42,0.77,1.12,30,-1,0,0
0,0.05,7,-1.0,1449,719,1298,0.496,0.895,1.294,30,-1,0,0
0,0.05,6,-1.0,1449,1006,1468,0.694,1.012,1.33,30,-1,0,0
0,0.05,5,-1.0,1449,2989,1714,2.061,1.182,0.30299999999999994,30,-1,0,0
