InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,5,-1.0,4938,2731,8080,0.553,0.535,105,-1,28,0
0,0.05,9,-1.0,3838,1227,3682,0.32,0.32,80,-1,28,0
0,0.05,8,-1.0,3838,1380,4140,0.359,0.36,80,-1,28,0
0,0.05,7,-1.0,3838,1564,4692,0.407,0.407,80,-1,28,0
0,0.05,6,-1.0,3838,1795,5374,0.468,0.466,80,-1,28,0
0,0.05,5,-1.0,3838,2105,6167,0.548,0.521,80,-1,28,0
0,0.05,9,-1.0,2596,867,2601,0.334,0.334,55,-1,28,0
0,0.05,8,-1.0,2596,959,2878,0.369,0.37,55,-1,28,0
0,0.05,7,-1.0,2596,1091,3273,0.42,0.42,55,-1,28,0
0,0.05,6,-1.0,2596,1250,3747,0.481,0.481,55,-1,28,0
0,0.05,5,-1.0,2596,1414,4163,0.544,0.524,55,-1,28,0
0,0.05,9,-1.0,1459,438,1315,0.3,0.301,30,-1,28,0
0,0.05,8,-1.0,1459,507,1521,0.347,0.348,30,-1,28,0
0,0.05,7,-1.0,1459,589,1767,0.403,0.404,30,-1,28,0
0,0.05,6,-1.0,1459,682,2040,0.467,0.465,30,-1,28,0
0,0.05,5,-1.0,1459,791,2326,0.542,0.52,30,-1,28,0
0,0.05,9,-1.0,4845,1602,4803,0.331,0.331,105,-1,24,0
0,0.05,8,-1.0,4845,1812,5428,0.374,0.374,105,-1,24,0
0,0.05,7,-1.0,4845,2062,6169,0.426,0.425,105,-1,24,0
0,0.05,6,-1.0,4845,2343,6990,0.483,0.481,105,-1,24,0
0,0.05,5,-1.0,4845,2791,7990,0.576,0.533,105,-1,24,0
0,0.05,9,-1.0,3818,1265,3786,0.331,0.332,80,-1,24,0
0,0.05,8,-1.0,3818,1433,4283,0.375,0.375,80,-1,24,0
0,0.05,7,-1.0,3818,1630,4879,0.427,0.427,80,-1,24,0
0,0.05,6,-1.0,3818,1880,5607,0.492,0.489,80,-1,24,0
0,0.05,5,-1.0,3818,2212,6358,0.579,0.539,80,-1,24,0
0,0.05,9,-1.0,2596,834,2494,0.321,0.322,55,-1,24,0
0,0.05,8,-1.0,2596,981,2932,0.378,0.378,55,-1,24,0
0,0.05,7,-1.0,2596,1094,3270,0.421,0.422,55,-1,24,0
0,0.05,6,-1.0,2596,1238,3688,0.477,0.472,55,-1,24,0
0,0.05,5,-1.0,2596,1457,4208,0.561,0.524,55,-1,24,0
0,0.05,9,-1.0,1394,461,1381,0.33,0.331,30,-1,24,0
0,0.05,8,-1.0,1394,519,1555,0.372,0.373,30,-1,24,0
0,0.05,7,-1.0,1394,574,1722,0.411,0.412,30,-1,24,0
0,0.05,6,-1.0,1394,661,1978,0.474,0.473,30,-1,24,0
0,0.05,5,-1.0,1394,782,2272,0.561,0.53,30,-1,24,0
0,0.05,9,-1.0,4940,1642,4908,0.332,0.333,105,-1,20,0
0,0.05,8,-1.0,4940,1845,5520,0.373,0.374,105,-1,20,0
0,0.05,7,-1.0,4940,2131,6368,0.431,0.431,105,-1,20,0
0,0.05,6,-1.0,4940,2476,7357,0.501,0.5,105,-1,20,0
0,0.05,5,-1.0,4940,3026,8498,0.612,0.555,105,-1,20,0
0,0.05,9,-1.0,3739,1257,3750,0.336,0.336,80,-1,20,0
0,0.05,8,-1.0,3739,1406,4201,0.376,0.376,80,-1,20,0
0,0.05,7,-1.0,3739,1596,4769,0.427,0.426,80,-1,20,0
0,0.05,6,-1.0,3739,1828,5455,0.489,0.487,80,-1,20,0
0,0.05,5,-1.0,3739,2195,6137,0.587,0.522,80,-1,20,0
0,0.05,9,-1.0,2610,868,2590,0.332,0.333,55,-1,20,0
0,0.05,8,-1.0,2610,967,2885,0.37,0.371,55,-1,20,0
0,0.05,7,-1.0,2610,1105,3297,0.423,0.424,55,-1,20,0
0,0.05,6,-1.0,2610,1235,3686,0.473,0.473,55,-1,20,0
0,0.05,5,-1.0,2610,1541,4329,0.59,0.531,55,-1,20,0
0,0.05,9,-1.0,1496,465,1384,0.311,0.311,30,-1,20,0
0,0.05,8,-1.0,1496,530,1579,0.354,0.355,30,-1,20,0
0,0.05,7,-1.0,1496,609,1817,0.407,0.407,30,-1,20,0
0,0.05,6,-1.0,1496,719,2127,0.48,0.474,30,-1,20,0
0,0.05,5,-1.0,1496,872,2477,0.582,0.535,30,-1,20,0
0,0.05,9,-1.0,4987,1623,4833,0.325,0.326,105,-1,16,0
0,0.05,8,-1.0,4987,1842,5485,0.369,0.369,105,-1,16,0
0,0.05,7,-1.0,4987,2111,6269,0.423,0.423,105,-1,16,0
0,0.05,6,-1.0,4987,2452,7201,0.492,0.484,105,-1,16,0
0,0.05,5,-1.0,4987,2999,8212,0.601,0.527,105,-1,16,0
0,0.05,9,-1.0,3735,1242,3686,0.332,0.333,80,-1,16,0
0,0.05,8,-1.0,3735,1371,4084,0.367,0.367,80,-1,16,0
0,0.05,7,-1.0,3735,1554,4634,0.416,0.416,80,-1,16,0
0,0.05,6,-1.0,3735,1819,5357,0.487,0.479,80,-1,16,0
0,0.05,5,-1.0,3735,2267,6172,0.607,0.519,80,-1,16,0
0,0.05,9,-1.0,2654,862,2566,0.325,0.325,55,-1,16,0
0,0.05,8,-1.0,2654,975,2902,0.367,0.368,55,-1,16,0
0,0.05,7,-1.0,2654,1114,3314,0.42,0.419,55,-1,16,0
0,0.05,6,-1.0,2654,1286,3801,0.484,0.481,55,-1,16,0
0,0.05,5,-1.0,2654,1587,4365,0.598,0.519,55,-1,16,0
0,0.05,9,-1.0,1430,489,1452,0.342,0.342,30,-1,16,0
0,0.05,8,-1.0,1430,550,1636,0.384,0.385,30,-1,16,0
0,0.05,7,-1.0,1430,631,1875,0.441,0.442,30,-1,16,0
0,0.05,6,-1.0,1430,714,2114,0.499,0.495,30,-1,16,0
0,0.05,5,-1.0,1430,862,2415,0.602,0.537,30,-1,16,0
0,0.05,9,-1.0,4774,1621,4772,0.339,0.34,105,-1,12,0
0,0.05,8,-1.0,4774,1836,5427,0.385,0.385,105,-1,12,0
0,0.05,7,-1.0,4774,2106,6202,0.441,0.441,105,-1,12,0
0,0.05,6,-1.0,4774,2487,7194,0.521,0.507,105,-1,12,0
0,0.05,5,-1.0,4774,3149,8334,0.659,0.543,105,-1,12,0
0,0.05,9,-1.0,3896,1217,3593,0.312,0.313,80,-1,12,0
0,0.05,8,-1.0,3896,1415,4169,0.363,0.363,80,-1,12,0
0,0.05,7,-1.0,3896,1600,4701,0.411,0.409,80,-1,12,0
0,0.05,6,-1.0,3896,1866,5422,0.479,0.467,80,-1,12,0
0,0.05,5,-1.0,3896,2379,6234,0.61,0.498,80,-1,12,0
0,0.05,9,-1.0,2597,850,2488,0.327,0.328,55,-1,12,0
0,0.05,8,-1.0,2597,1005,2958,0.387,0.387,55,-1,12,0
0,0.05,7,-1.0,2597,1144,3364,0.44,0.439,55,-1,12,0
0,0.05,6,-1.0,2597,1323,3843,0.509,0.494,55,-1,12,0
0,0.05,5,-1.0,2597,1615,4299,0.622,0.509,55,-1,12,0
0,0.05,9,-1.0,1447,463,1354,0.32,0.32,30,-1,12,0
0,0.05,8,-1.0,1447,506,1491,0.349,0.35,30,-1,12,0
0,0.05,7,-1.0,1447,594,1749,0.41,0.411,30,-1,12,0
