InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,6,-1.0,894,345,1025,0.385,0.378,18,-1,28,0
0,0.05,5,-1.0,894,401,1112,0.448,0.378,18,-1,28,0
0,0.05,9,-1.0,458,125,379,0.272,0.275,10,-1,28,0
0,0.05,8,-1.0,458,137,413,0.298,0.301,10,-1,28,0
0,0.05,7,-1.0,458,163,491,0.355,0.357,10,-1,28,0
0,0.05,6,-1.0,458,195,580,0.425,0.418,10,-1,28,0
0,0.05,5,-1.0,458,214,577,0.466,0.375,10,-1,28,0
0,0.05,9,-1.0,1267,391,1137,0.308,0.309,26,-1,24,0
0,0.05,8,-1.0,1267,436,1288,0.344,0.345,26,-1,24,0
0,0.05,7,-1.0,1267,497,1458,0.392,0.391,26,-1,24,0
0,0.05,6,-1.0,1267,577,1677,0.455,0.453,26,-1,24,0
0,0.05,5,-1.0,1267,690,1791,0.544,0.423,26,-1,24,0
0,0.05,9,-1.0,864,222,644,0.257,0.258,18,-1,24,0
0,0.05,8,-1.0,864,263,765,0.304,0.305,18,-1,24,0
0,0.05,7,-1.0,864,334,966,0.386,0.387,18,-1,24,0
0,0.05,6,-1.0,864,385,1129,0.445,0.444,18,-1,24,0
0,0.05,5,-1.0,864,459,1200,0.531,0.413,18,-1,24,0
0,0.05,9,-1.0,493,130,380,0.263,0.265,10,-1,24,0
0,0.05,8,-1.0,493,158,453,0.32,0.322,10,-1,24,0
0,0.05,7,-1.0,493,189,553,0.383,0.385,10,-1,24,0
0,0.05,6,-1.0,493,222,642,0.449,0.445,10,-1,24,0
0,0.05,5,-1.0,493,249,660,0.504,0.409,10,-1,24,0
0,0.05,9,-1.0,1244,362,1020,0.291,0.292,26,-1,20,0
0,0.05,8,-1.0,1244,426,1186,0.342,0.343,26,-1,20,0
0,0.05,7,-1.0,1244,490,1406,0.394,0.394,26,-1,20,0
0,0.05,6,-1.0,1244,564,1603,0.453,0.447,26,-1,20,0
0,0.05,5,-1.0,1244,687,1677,0.552,0.403,26,-1,20,0
0,0.05,9,-1.0,863,256,715,0.296,0.297,18,-1,20,0
0,0.05,8,-1.0,863,295,838,0.341,0.343,18,-1,20,0
0,0.05,7,-1.0,863,329,922,0.381,0.382,18,-1,20,0
0,0.05,6,-1.0,863,374,1051,0.433,0.428,18,-1,20,0
0,0.05,5,-1.0,863,456,1153,0.528,0.414,18,-1,20,0
0,0.05,9,-1.0,508,146,406,0.287,0.289,10,-1,20,0
0,0.05,8,-1.0,508,166,465,0.326,0.328,10,-1,20,0
0,0.05,7,-1.0,508,200,559,0.393,0.395,10,-1,20,0
0,0.05,6,-1.0,508,244,687,0.479,0.473,10,-1,20,0
0,0.05,5,-1.0,508,294,723,0.578,0.438,10,-1,20,0
0,0.05,9,-1.0,1233,341,908,0.276,0.277,26,-1,16,0
0,0.05,8,-1.0,1233,407,1120,0.33,0.331,26,-1,16,0
0,0.05,7,-1.0,1233,469,1286,0.38,0.381,26,-1,16,0
0,0.05,6,-1.0,1233,544,1506,0.441,0.435,26,-1,16,0
0,0.05,5,-1.0,1233,687,1680,0.557,0.428,26,-1,16,0
0,0.05,9,-1.0,879,274,736,0.311,0.312,18,-1,16,0
0,0.05,8,-1.0,879,317,860,0.36,0.361,18,-1,16,0
0,0.05,7,-1.0,879,370,1036,0.42,0.422,18,-1,16,0
0,0.05,6,-1.0,879,427,1181,0.485,0.486,18,-1,16,0
0,0.05,5,-1.0,879,511,1263,0.581,0.453,18,-1,16,0
0,0.05,9,-1.0,465,144,390,0.309,0.311,10,-1,16,0
0,0.05,8,-1.0,465,172,462,0.369,0.371,10,-1,16,0
0,0.05,7,-1.0,465,192,530,0.412,0.414,10,-1,16,0
