InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha,DudeWin
0,0.05,5,-1.0,4629,90116,7106,19.463,1.535,-16.393,95,-1,4,-384
0,0.05,9,-1.0,3207,65644,3204,20.463,0.999,-18.465,70,-1,4,-595
0,0.05,8,-1.0,3207,65646,3672,20.463,1.145,-18.173000000000002,70,-1,4,-691
0,0.05,7,-1.0,3207,65648,4198,20.464,1.309,-17.846,70,-1,4,-792
0,0.05,6,-1.0,3207,65650,4628,20.464,1.443,-17.578,70,-1,4,-764
0,0.05,5,-1.0,3207,65652,4896,20.465,1.526,-17.413,70,-1,4,-234
0,0.05,9,-1.0,2179,42577,2160,19.531,0.991,-17.549,45,-1,4,-389
0,0.05,8,-1.0,2179,42579,2424,19.532,1.112,-17.308,45,-1,4,-451
0,0.05,7,-1.0,2179,42581,2760,19.533,1.266,-17.001,45,-1,4,-502
0,0.05,6,-1.0,2179,42583,3118,19.533,1.43,-16.673000000000002,45,-1,4,-500
0,0.05,5,-1.0,2179,42585,3256,19.534,1.494,-16.546,45,-1,4,-148
0,0.05,9,-1.0,924,18880,912,20.411,0.986,-18.439,20,-1,4,-164
0,0.05,8,-1.0,924,18882,1050,20.413,1.135,-18.143,20,-1,4,-188
0,0.05,7,-1.0,924,18884,1230,20.415,1.33,-17.755,20,-1,4,-226
0,0.05,6,-1.0,924,18886,1364,20.417,1.475,-17.467000000000002,20,-1,4,-233
0,0.05,5,-1.0,924,18888,1412,20.419,1.526,-17.367,20,-1,4,-93
0,0.05,9,-1.0,4523,90446,4730,19.992,1.046,-17.900000000000002,95,-1,3,-1018
0,0.05,8,-1.0,4523,90448,5440,19.993,1.202,-17.589,95,-1,3,-1145
0,0.05,7,-1.0,4523,90450,6136,19.993,1.356,-17.281,95,-1,3,-1204
0,0.05,6,-1.0,4523,90452,6678,19.994,1.476,-17.042,95,-1,3,-1155
0,0.05,5,-1.0,4523,90454,7106,19.994,1.571,-16.852,95,-1,3,-382
0,0.05,9,-1.0,3414,66090,3244,19.353,0.95,-17.453000000000003,70,-1,3,-657
0,0.05,8,-1.0,3414,66092,3794,19.353,1.111,-17.131,70,-1,3,-772
0,0.05,7,-1.0,3414,66094,4306,19.354,1.261,-16.832,70,-1,3,-828
0,0.05,6,-1.0,3414,66096,4804,19.355,1.407,-16.541,70,-1,3,-827
0,0.05,5,-1.0,3414,66098,5052,19.355,1.479,-16.397,70,-1,3,-166
0,0.05,9,-1.0,2261,43376,2102,19.176,0.929,-17.317999999999998,45,-1,3,-412
0,0.05,8,-1.0,2261,43378,2514,19.177,1.111,-16.955,45,-1,3,-477
0,0.05,7,-1.0,2261,43380,2926,19.178,1.294,-16.59,45,-1,3,-535
0,0.05,6,-1.0,2261,43382,3262,19.179,1.442,-16.294999999999998,45,-1,3,-548
0,0.05,5,-1.0,2261,43384,3504,19.179,1.549,-16.081,45,-1,3,-129
0,0.05,9,-1.0,939,18636,874,19.826,0.93,-17.966,20,-1,3,-146
