InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
10000,0.1,5,0.9,1045,331,306,0.317,0.293,1
10000,0.1,4,0.9,1045,488,438,0.467,0.419,1
10000,0.1,3,0.9,1045,559,511,0.535,0.489,1
10000,0.1,2,0.9,1045,422,400,0.404,0.382,1
10000,0.1,1,0.9,1045,0,0,0,0,1
10000,0.1,5,0.9,969,285,256,0.294,0.264,0.9
10000,0.1,4,0.9,969,399,350,0.412,0.361,0.9
10000,0.1,3,0.9,969,481,419,0.496,0.432,0.9
10000,0.1,2,0.9,969,400,364,0.413,0.375,0.9
10000,0.1,1,0.9,969,0,0,0,0,0.9
10000,0.1,5,0.9,1029,250,227,0.243,0.22,0.8
10000,0.1,4,0.9,1029,376,338,0.365,0.328,0.8
10000,0.1,3,0.9,1029,448,382,0.435,0.371,0.8
10000,0.1,2,0.9,1029,393,351,0.382,0.341,0.8
10000,0.1,1,0.9,1029,0,0,0,0,0.8
10000,0.1,5,0.9,1015,216,199,0.213,0.196,0.7
10000,0.1,4,0.9,1015,325,285,0.32,0.281,0.7
10000,0.1,3,0.9,1015,384,336,0.378,0.331,0.7
10000,0.1,2,0.9,1015,379,328,0.373,0.323,0.7
10000,0.1,1,0.9,1015,0,0,0,0,0.7
10000,0.1,5,0.9,980,173,155,0.177,0.158,0.6
10000,0.1,4,0.9,980,257,234,0.262,0.239,0.6
10000,0.1,3,0.9,980,317,272,0.323,0.277,0.6
10000,0.1,2,0.9,980,349,280,0.356,0.285,0.6
10000,0.1,1,0.9,980,0,0,0,0,0.6
10000,0.1,5,0.9,1012,121,112,0.12,0.111,0.5
10000,0.1,4,0.9,1012,191,171,0.189,0.169,0.5
10000,0.1,3,0.9,1012,237,192,0.234,0.19,0.5
10000,0.1,2,0.9,1012,256,200,0.253,0.197,0.5
10000,0.1,1,0.9,1012,0,0,0,0,0.5
10000,0.1,5,0.9,1057,77,71,0.073,0.067,0.4
10000,0.1,4,0.9,1057,153,137,0.145,0.129,0.4
10000,0.1,3,0.9,1057,204,162,0.193,0.153,0.4
10000,0.1,2,0.9,1057,154,97,0.146,0.092,0.4
10000,0.1,1,0.9,1057,0,0,0,0,0.4
10000,0.1,5,0.9,954,47,46,0.049,0.048,0.3
10000,0.1,4,0.9,954,77,73,0.081,0.076,0.3
10000,0.1,3,0.9,954,133,103,0.139,0.108,0.3
10000,0.1,2,0.9,954,62,41,0.065,0.043,0.3
10000,0.1,1,0.9,954,0,0,0,0,0.3
10000,0.1,5,0.9,991,17,16,0.017,0.016,0.2
10000,0.1,4,0.9,991,45,41,0.045,0.041,0.2
10000,0.1,3,0.9,991,86,71,0.087,0.072,0.2
10000,0.1,2,0.9,991,46,16,0.046,0.016,0.2
10000,0.1,1,0.9,991,0,0,0,0,0.2
10000,0.1,5,0.9,986,6,5,0.006,0.005,0.1
10000,0.1,4,0.9,986,11,10,0.011,0.01,0.1
10000,0.1,3,0.9,986,19,15,0.019,0.015,0.1
10000,0.1,2,0.9,986,20,6,0.02,0.006,0.1
10000,0.1,1,0.9,986,0,0,0,0,0.1
