InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
10000,0.1,4,0.8,1854,360,250,0.194,0.135,0.95000000000000007
10000,0.1,4,0.8,1829,309,214,0.169,0.117,0.90000000000000013
10000,0.1,4,0.8,1721,298,187,0.173,0.109,0.85000000000000009
10000,0.1,4,0.8,1608,249,173,0.155,0.108,0.80000000000000004
10000,0.1,4,0.8,1552,249,187,0.16,0.12,0.75000000000000011
10000,0.1,4,0.8,1420,215,153,0.151,0.108,0.70000000000000007
10000,0.1,4,0.8,1290,211,147,0.164,0.114,0.65000000000000013
10000,0.1,4,0.8,1186,168,124,0.142,0.104,0.60000000000000009
10000,0.1,4,0.8,1147,149,115,0.13,0.1,0.55000000000000004
10000,0.1,4,0.8,1011,133,98,0.132,0.097,0.5
10000,0.1,4,0.8,961,88,71,0.092,0.074,0.45000000000000001
10000,0.1,4,0.8,768,80,65,0.104,0.085,0.40000000000000002
10000,0.1,4,0.8,728,73,56,0.1,0.077,0.35000000000000003
10000,0.1,4,0.8,597,48,40,0.08,0.067,0.29999999999999999
10000,0.1,4,0.8,478,37,23,0.077,0.048,0.25
10000,0.1,4,0.8,377,13,13,0.034,0.034,0.20000000000000001
10000,0.1,4,0.8,282,3,3,0.011,0.011,0.15000000000000002
10000,0.1,4,0.8,195,0,0,0.0,0.0,0.10000000000000001
10000,0.1,4,0.8,101,2,2,0.02,0.02,0.050000000000000003
10000,0.1,3,0.8,1943,463,294,0.238,0.151,0.95000000000000007
10000,0.1,3,0.8,1885,438,273,0.232,0.145,0.90000000000000013
10000,0.1,3,0.8,1688,415,251,0.246,0.149,0.85000000000000009
10000,0.1,3,0.8,1538,354,201,0.23,0.131,0.80000000000000004
10000,0.1,3,0.8,1530,389,244,0.254,0.159,0.75000000000000011
10000,0.1,3,0.8,1487,352,205,0.237,0.138,0.70000000000000007
10000,0.1,3,0.8,1317,310,188,0.235,0.143,0.65000000000000013
10000,0.1,3,0.8,1281,277,163,0.216,0.127,0.60000000000000009
10000,0.1,3,0.8,1112,244,146,0.219,0.131,0.55000000000000004
10000,0.1,3,0.8,1023,218,133,0.213,0.13,0.5
10000,0.1,3,0.8,895,185,112,0.207,0.125,0.45000000000000001
10000,0.1,3,0.8,816,132,87,0.162,0.106,0.40000000000000002
10000,0.1,3,0.8,680,123,84,0.181,0.123,0.35000000000000003
10000,0.1,3,0.8,628,114,68,0.182,0.108,0.29999999999999999
10000,0.1,3,0.8,521,73,48,0.14,0.092,0.25
10000,0.1,3,0.8,399,48,31,0.12,0.077,0.20000000000000001
10000,0.1,3,0.8,307,25,14,0.081,0.045,0.15000000000000002
10000,0.1,3,0.8,209,9,9,0.043,0.043,0.10000000000000001
10000,0.1,3,0.8,95,2,1,0.021,0.01,0.050000000000000003
