InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
100000,0.1,11,0.8,19936,20,17,0.001,0.001,0.99999999999999967
100000,0.1,10,0.8,19936,61,46,0.003,0.002,0.99999999999999967
100000,0.1,9,0.8,19936,162,127,0.008,0.006,0.99999999999999967
100000,0.1,8,0.8,19936,428,328,0.021,0.016,0.99999999999999967
100000,0.1,7,0.8,19936,1121,840,0.056,0.042,0.99999999999999967
100000,0.1,6,0.8,19936,2234,1663,0.112,0.083,0.99999999999999967
100000,0.1,5,0.8,19936,3934,2745,0.197,0.138,0.99999999999999967
100000,0.1,4,0.8,19936,5215,3311,0.262,0.166,0.99999999999999967
100000,0.1,3,0.8,19936,4634,3061,0.232,0.154,0.99999999999999967
100000,0.1,2,0.8,19936,4554,2775,0.228,0.139,0.99999999999999967
100000,0.1,1,0.8,19936,0,0,0.0,0.0,0.99999999999999967
100000,0.1,11,0.8,19890,17,12,0.001,0.001,0.98749999999999971
100000,0.1,10,0.8,19890,58,48,0.003,0.002,0.98749999999999971
100000,0.1,9,0.8,19890,155,124,0.008,0.006,0.98749999999999971
100000,0.1,8,0.8,19890,379,293,0.019,0.015,0.98749999999999971
100000,0.1,7,0.8,19890,1014,762,0.051,0.038,0.98749999999999971
100000,0.1,6,0.8,19890,2093,1551,0.105,0.078,0.98749999999999971
100000,0.1,5,0.8,19890,3719,2624,0.187,0.132,0.98749999999999971
100000,0.1,4,0.8,19890,5116,3244,0.257,0.163,0.98749999999999971
100000,0.1,3,0.8,19890,4602,3019,0.231,0.152,0.98749999999999971
100000,0.1,2,0.8,19890,4514,2765,0.227,0.139,0.98749999999999971
100000,0.1,1,0.8,19890,0,0,0.0,0.0,0.98749999999999971
100000,0.1,11,0.8,19231,17,11,0.001,0.001,0.97499999999999976
100000,0.1,10,0.8,19231,51,38,0.003,0.002,0.97499999999999976
100000,0.1,9,0.8,19231,146,122,0.008,0.006,0.97499999999999976
100000,0.1,8,0.8,19231,331,262,0.017,0.014,0.97499999999999976
100000,0.1,7,0.8,19231,880,664,0.046,0.035,0.97499999999999976
100000,0.1,6,0.8,19231,1994,1476,0.104,0.077,0.97499999999999976
100000,0.1,5,0.8,19231,3519,2494,0.183,0.13,0.97499999999999976
100000,0.1,4,0.8,19231,4916,3123,0.256,0.162,0.97499999999999976
100000,0.1,3,0.8,19231,4411,2918,0.229,0.152,0.97499999999999976
100000,0.1,2,0.8,19231,4346,2654,0.226,0.138,0.97499999999999976
100000,0.1,1,0.8,19231,0,0,0.0,0.0,0.97499999999999976
100000,0.1,11,0.8,19106,5,4,0.0,0.0,0.9624999999999998
100000,0.1,10,0.8,19106,45,34,0.002,0.002,0.9624999999999998
100000,0.1,9,0.8,19106,119,94,0.006,0.005,0.9624999999999998
100000,0.1,8,0.8,19106,305,236,0.016,0.012,0.9624999999999998
100000,0.1,7,0.8,19106,813,606,0.043,0.032,0.9624999999999998
100000,0.1,6,0.8,19106,1844,1345,0.097,0.07,0.9624999999999998
100000,0.1,5,0.8,19106,3360,2366,0.176,0.124,0.9624999999999998
100000,0.1,4,0.8,19106,4939,3111,0.259,0.163,0.9624999999999998
100000,0.1,3,0.8,19106,4510,2905,0.236,0.152,0.9624999999999998
100000,0.1,2,0.8,19106,4372,2666,0.229,0.14,0.9624999999999998
100000,0.1,1,0.8,19106,0,0,0.0,0.0,0.9624999999999998
100000,0.1,11,0.8,19090,12,11,0.001,0.001,0.94999999999999984
100000,0.1,10,0.8,19090,23,19,0.001,0.001,0.94999999999999984
100000,0.1,9,0.8,19090,104,82,0.005,0.004,0.94999999999999984
