InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
1000000,0.1,1,0.85,99712,76002,59114,0.762,0.593
1000000,0.1,4,0.8,100244,66069,48074,0.659,0.48
1000000,0.1,3,0.8,100244,68316,50072,0.681,0.5
1000000,0.1,2,0.8,100244,76982,53821,0.768,0.537
1000000,0.1,1,0.8,100244,77140,53062,0.77,0.529
1000000,0.1,4,0.75,99871,64754,39657,0.648,0.397
1000000,0.1,3,0.75,99871,68104,42300,0.682,0.424
1000000,0.1,2,0.75,99871,77603,46276,0.777,0.463
1000000,0.1,1,0.75,99871,78905,46733,0.79,0.468
1000000,0.1,4,0.7,99932,66914,32891,0.67,0.329
1000000,0.1,3,0.7,99932,71841,36053,0.719,0.361
1000000,0.1,2,0.7,99932,88981,41968,0.89,0.42
1000000,0.1,1,0.7,99932,82960,41130,0.83,0.412
1000000,0.1,4,1.0,100111,95150,95085,0.95,0.95
1000000,0.1,3,1.0,100111,91745,91529,0.916,0.914
1000000,0.1,2,1.0,100111,90690,90241,0.906,0.901
1000000,0.1,1,1.0,100111,84170,80882,0.841,0.808
1000000,0.1,4,0.95,100323,79927,77721,0.797,0.775
1000000,0.1,3,0.95,100323,80552,78443,0.803,0.782
1000000,0.1,2,0.95,100323,85326,80995,0.851,0.807
1000000,0.1,1,0.95,100323,80260,73589,0.8,0.734
1000000,0.1,4,0.9,100372,71582,65498,0.713,0.653
1000000,0.1,3,0.9,100372,72791,66976,0.725,0.667
1000000,0.1,2,0.9,100372,78010,68943,0.777,0.687
1000000,0.1,1,0.9,100372,77608,66318,0.773,0.661
1000000,0.1,4,0.85,99899,64122,53667,0.642,0.537
1000000,0.1,3,0.85,99899,65896,55684,0.66,0.557
1000000,0.1,2,0.85,99899,62671,52821,0.627,0.529
1000000,0.1,1,0.85,99899,76513,59382,0.766,0.594
1000000,0.1,4,0.8,99895,55713,41613,0.558,0.417
1000000,0.1,3,0.8,99895,58908,44796,0.59,0.448
1000000,0.1,2,0.8,99895,56110,43050,0.562,0.431
1000000,0.1,1,0.8,99895,76875,52587,0.77,0.526
1000000,0.1,4,0.75,100528,49276,31745,0.49,0.316
1000000,0.1,3,0.75,100528,55406,36623,0.551,0.364
1000000,0.1,2,0.75,100528,54165,36268,0.539,0.361
1000000,0.1,1,0.75,100528,79423,47042,0.79,0.468
1000000,0.1,4,0.7,100600,38004,20466,0.378,0.203
1000000,0.1,3,0.7,100600,49038,27096,0.487,0.269
1000000,0.1,2,0.7,100600,52303,29434,0.52,0.293
1000000,0.1,1,0.7,100600,75983,37700,0.755,0.375
1000000,0.1,3,0.8,99862,66696,49219,0.668,0.493
1000000,0.1,2,0.8,99862,73569,52203,0.737,0.523
