InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
1000000,0.1,1,0.95,100040,79743,73047,0.797,0.73
1000000,0.1,4,0.9,99785,74018,67741,0.742,0.679
1000000,0.1,3,0.9,99785,74290,68077,0.745,0.682
1000000,0.1,2,0.9,99785,81506,71582,0.817,0.717
1000000,0.1,1,0.9,99785,77193,65946,0.774,0.661
1000000,0.1,4,0.85,100137,69930,57875,0.698,0.578
1000000,0.1,3,0.85,100137,70741,58720,0.706,0.586
1000000,0.1,2,0.85,100137,80356,63187,0.802,0.631
1000000,0.1,1,0.85,100137,76242,59101,0.761,0.59
1000000,0.1,4,0.8,100101,68507,49667,0.684,0.496
1000000,0.1,3,0.8,100101,70027,51001,0.7,0.509
1000000,0.1,2,0.8,100101,81627,55905,0.815,0.558
1000000,0.1,1,0.8,100101,76915,52941,0.768,0.529
1000000,0.1,4,0.75,99445,68800,41550,0.692,0.418
1000000,0.1,3,0.75,99445,70973,43118,0.714,0.434
1000000,0.1,2,0.75,99445,84558,48260,0.85,0.485
1000000,0.1,1,0.75,99445,78753,46383,0.792,0.466
1000000,0.1,4,0.7,99984,71114,35256,0.711,0.353
1000000,0.1,3,0.7,99984,74699,37344,0.747,0.373
1000000,0.1,2,0.7,99984,89660,42206,0.897,0.422
1000000,0.1,1,0.7,99984,82506,41061,0.825,0.411
1000000,0.1,4,1.0,99748,94820,94735,0.951,0.95
1000000,0.1,3,1.0,99748,91359,91125,0.916,0.914
1000000,0.1,2,1.0,99748,90588,90154,0.908,0.904
1000000,0.1,1,1.0,99748,84209,80952,0.844,0.812
1000000,0.1,4,0.95,99650,80659,78479,0.809,0.788
1000000,0.1,3,0.95,99650,80426,78335,0.807,0.786
1000000,0.1,2,0.95,99650,84668,80412,0.85,0.807
1000000,0.1,1,0.95,99650,79580,72945,0.799,0.732
1000000,0.1,4,0.9,100129,73863,67497,0.738,0.674
1000000,0.1,3,0.9,100129,74228,67974,0.741,0.679
1000000,0.1,2,0.9,100129,81897,71767,0.818,0.717
1000000,0.1,1,0.9,100129,77734,66259,0.776,0.662
1000000,0.1,4,0.85,100008,69881,57880,0.699,0.579
