InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
100000,0.1,5,0.75,9943,1371,872,0.138,0.088
100000,0.1,4,0.75,9943,1399,922,0.141,0.093
100000,0.1,3,0.75,9943,230,157,0.023,0.016
100000,0.1,2,0.75,9943,0,0,0.0,0.0
100000,0.1,1,0.75,9943,0,0,0.0,0.0
100000,0.1,19,0.73,10084,0,0,0.0,0.0
100000,0.1,18,0.73,10084,0,0,0.0,0.0
100000,0.1,17,0.73,10084,0,0,0.0,0.0
100000,0.1,16,0.73,10084,0,0,0.0,0.0
100000,0.1,15,0.73,10084,0,0,0.0,0.0
100000,0.1,14,0.73,10084,0,0,0.0,0.0
100000,0.1,13,0.73,10084,0,0,0.0,0.0
100000,0.1,12,0.73,10084,0,0,0.0,0.0
100000,0.1,11,0.73,10084,0,0,0.0,0.0
100000,0.1,10,0.73,10084,0,0,0.0,0.0
100000,0.05,15,0.75,4956,0,0,0.0,0.0
100000,0.1,9,0.73,10084,3,2,0.0,0.0
100000,0.05,14,0.75,4956,0,0,0.0,0.0
100000,0.1,8,0.73,10084,20,13,0.002,0.001
100000,0.1,7,0.73,10084,73,49,0.007,0.005
100000,0.05,13,0.75,4956,0,0,0.0,0.0
100000,0.1,6,0.73,10084,378,226,0.037,0.022
100000,0.05,12,0.75,4956,0,0,0.0,0.0
100000,0.1,5,0.73,10084,955,570,0.095,0.057
100000,0.05,11,0.75,4956,0,0,0.0,0.0
100000,0.1,4,0.73,10084,806,474,0.08,0.047
100000,0.05,10,0.75,4956,5,3,0.001,0.001
100000,0.1,3,0.73,10084,1,0,0.0,0.0
100000,0.05,9,0.75,4956,10,5,0.002,0.001
100000,0.05,8,0.75,4956,70,41,0.014,0.008
100000,0.1,2,0.73,10084,0,0,0.0,0.0
100000,0.05,7,0.75,4956,89,50,0.018,0.01
100000,0.1,1,0.73,10084,0,0,0.0,0.0
100000,0.05,6,0.75,4956,260,133,0.052,0.027
100000,0.1,19,0.7,10142,0,0,0.0,0.0
100000,0.05,5,0.75,4956,193,100,0.039,0.02
100000,0.1,18,0.7,10142,0,0,0.0,0.0
100000,0.05,4,0.75,4956,26,8,0.005,0.002
100000,0.1,17,0.7,10142,0,0,0.0,0.0
100000,0.05,3,0.75,4956,0,0,0.0,0.0
100000,0.1,16,0.7,10142,0,0,0.0,0.0
100000,0.05,2,0.75,4956,0,0,0.0,0.0
100000,0.1,15,0.7,10142,0,0,0.0,0.0
100000,0.05,1,0.75,4956,0,0,0.0,0.0
100000,0.1,14,0.7,10142,0,0,0.0,0.0
100000,0.05,19,0.73,5033,0,0,0.0,0.0
100000,0.05,18,0.73,5033,0,0,0.0,0.0
100000,0.05,17,0.73,5033,0,0,0.0,0.0
100000,0.1,13,0.7,10142,0,0,0.0,0.0
100000,0.05,16,0.73,5033,0,0,0.0,0.0
100000,0.05,15,0.73,5033,0,0,0.0,0.0
100000,0.05,14,0.73,5033,0,0,0.0,0.0
100000,0.1,12,0.7,10142,0,0,0.0,0.0
100000,0.05,13,0.73,5033,0,0,0.0,0.0
100000,0.1,11,0.7,10142,0,0,0.0,0.0
100000,0.05,12,0.73,5033,0,0,0.0,0.0
100000,0.1,10,0.7,10142,0,0,0.0,0.0
100000,0.05,11,0.73,5033,0,0,0.0,0.0
100000,0.1,9,0.7,10142,0,0,0.0,0.0
100000,0.1,8,0.7,10142,5,2,0.0,0.0
100000,0.05,10,0.73,5033,1,0,0.0,0.0
100000,0.1,7,0.7,10142,47,30,0.005,0.003
100000,0.1,6,0.7,10142,253,140,0.025,0.014
100000,0.05,9,0.73,5033,9,3,0.002,0.001
100000,0.05,8,0.73,5033,13,7,0.003,0.001
100000,0.05,7,0.73,5033,58,24,0.012,0.005
100000,0.1,5,0.7,10142,700,383,0.069,0.038
100000,0.05,6,0.73,5033,156,68,0.031,0.014
100000,0.05,5,0.73,5033,102,53,0.02,0.011
100000,0.05,4,0.73,5033,27,8,0.005,0.002
100000,0.1,4,0.7,10142,480,244,0.047,0.024
100000,0.1,3,0.7,10142,2,2,0.0,0.0
100000,0.05,3,0.73,5033,1,1,0.0,0.0
100000,0.1,2,0.7,10142,0,0,0.0,0.0
100000,0.1,1,0.7,10142,0,0,0.0,0.0
100000,0.05,2,0.73,5033,0,0,0.0,0.0
100000,0.05,1,0.73,5033,0,0,0.0,0.0
100000,0.1,19,0.68,10127,0,0,0.0,0.0
100000,0.05,19,0.7,5098,0,0,0.0,0.0
100000,0.1,18,0.68,10127,0,0,0.0,0.0
100000,0.05,18,0.7,5098,0,0,0.0,0.0
100000,0.05,17,0.7,5098,0,0,0.0,0.0
100000,0.1,17,0.68,10127,0,0,0.0,0.0
100000,0.05,16,0.7,5098,0,0,0.0,0.0
100000,0.05,15,0.7,5098,0,0,0.0,0.0
100000,0.1,16,0.68,10127,0,0,0.0,0.0
100000,0.1,15,0.68,10127,0,0,0.0,0.0
100000,0.05,14,0.7,5098,0,0,0.0,0.0
100000,0.1,14,0.68,10127,0,0,0.0,0.0
100000,0.1,13,0.68,10127,0,0,0.0,0.0
100000,0.1,12,0.68,10127,0,0,0.0,0.0
100000,0.05,13,0.7,5098,0,0,0.0,0.0
100000,0.1,11,0.68,10127,0,0,0.0,0.0
100000,0.05,12,0.7,5098,0,0,0.0,0.0
100000,0.1,10,0.68,10127,0,0,0.0,0.0
100000,0.05,11,0.7,5098,0,0,0.0,0.0
100000,0.05,10,0.7,5098,0,0,0.0,0.0
100000,0.05,9,0.7,5098,0,0,0.0,0.0
100000,0.05,8,0.7,5098,7,4,0.001,0.001
100000,0.1,9,0.68,10127,0,0,0.0,0.0
100000,0.05,7,0.7,5098,39,15,0.008,0.003
100000,0.05,6,0.7,5098,67,28,0.013,0.005
100000,0.05,5,0.7,5098,85,37,0.017,0.007
100000,0.1,8,0.68,10127,1,0,0.0,0.0
100000,0.05,4,0.7,5098,29,15,0.006,0.003
100000,0.1,7,0.68,10127,29,15,0.003,0.001
100000,0.05,3,0.7,5098,0,0,0.0,0.0
100000,0.1,6,0.68,10127,142,65,0.014,0.006
100000,0.05,2,0.7,5098,0,0,0.0,0.0
100000,0.1,5,0.68,10127,461,209,0.046,0.021
100000,0.05,1,0.7,5098,0,0,0.0,0.0
100000,0.1,4,0.68,10127,409,181,0.04,0.018
100000,0.05,19,0.68,5017,0,0,0.0,0.0
100000,0.1,3,0.68,10127,1,0,0.0,0.0
100000,0.1,2,0.68,10127,0,0,0.0,0.0
100000,0.05,18,0.68,5017,0,0,0.0,0.0
100000,0.05,17,0.68,5017,0,0,0.0,0.0
100000,0.1,1,0.68,10127,0,0,0.0,0.0
100000,0.05,16,0.68,5017,0,0,0.0,0.0
100000,0.05,15,0.68,5017,0,0,0.0,0.0
100000,0.1,19,0.65,9924,0,0,0.0,0.0
100000,0.05,14,0.68,5017,0,0,0.0,0.0
100000,0.1,18,0.65,9924,0,0,0.0,0.0
100000,0.05,13,0.68,5017,0,0,0.0,0.0
100000,0.1,17,0.65,9924,0,0,0.0,0.0
100000,0.05,12,0.68,5017,0,0,0.0,0.0
100000,0.1,16,0.65,9924,0,0,0.0,0.0
100000,0.05,11,0.68,5017,0,0,0.0,0.0
100000,0.1,15,0.65,9924,0,0,0.0,0.0
100000,0.1,14,0.65,9924,0,0,0.0,0.0
100000,0.05,10,0.68,5017,0,0,0.0,0.0
100000,0.05,9,0.68,5017,0,0,0.0,0.0
100000,0.1,13,0.65,9924,0,0,0.0,0.0
100000,0.05,8,0.68,5017,1,1,0.0,0.0
100000,0.05,7,0.68,5017,9,4,0.002,0.001
100000,0.1,12,0.65,9924,0,0,0.0,0.0
100000,0.05,6,0.68,5017,24,7,0.005,0.001
100000,0.1,11,0.65,9924,0,0,0.0,0.0
100000,0.05,5,0.68,5017,52,14,0.01,0.003
100000,0.1,10,0.65,9924,0,0,0.0,0.0
100000,0.05,4,0.68,5017,22,6,0.004,0.001
100000,0.1,9,0.65,9924,0,0,0.0,0.0
100000,0.05,3,0.68,5017,0,0,0.0,0.0
100000,0.1,8,0.65,9924,0,0,0.0,0.0
100000,0.05,2,0.68,5017,0,0,0.0,0.0
100000,0.1,7,0.65,9924,3,2,0.0,0.0
100000,0.05,1,0.68,5017,0,0,0.0,0.0
100000,0.1,6,0.65,9924,60,26,0.006,0.003
100000,0.05,19,0.65,4934,0,0,0.0,0.0
100000,0.05,18,0.65,4934,0,0,0.0,0.0
100000,0.1,5,0.65,9924,323,130,0.033,0.013
100000,0.05,17,0.65,4934,0,0,0.0,0.0
100000,0.1,4,0.65,9924,394,133,0.04,0.013
100000,0.05,16,0.65,4934,0,0,0.0,0.0
100000,0.1,3,0.65,9924,1,0,0.0,0.0
100000,0.05,15,0.65,4934,0,0,0.0,0.0
100000,0.1,2,0.65,9924,0,0,0.0,0.0
100000,0.05,14,0.65,4934,0,0,0.0,0.0
100000,0.1,1,0.65,9924,0,0,0.0,0.0
100000,0.1,19,0.63,9941,0,0,0.0,0.0
100000,0.05,13,0.65,4934,0,0,0.0,0.0
100000,0.1,18,0.63,9941,0,0,0.0,0.0
100000,0.05,12,0.65,4934,0,0,0.0,0.0
100000,0.05,11,0.65,4934,0,0,0.0,0.0
100000,0.05,10,0.65,4934,0,0,0.0,0.0
100000,0.05,9,0.65,4934,0,0,0.0,0.0
100000,0.05,8,0.65,4934,2,0,0.0,0.0
100000,0.1,17,0.63,9941,0,0,0.0,0.0
100000,0.05,7,0.65,4934,2,0,0.0,0.0
100000,0.05,6,0.65,4934,20,7,0.004,0.001
100000,0.1,16,0.63,9941,0,0,0.0,0.0
100000,0.05,5,0.65,4934,58,19,0.012,0.004
100000,0.1,15,0.63,9941,0,0,0.0,0.0
100000,0.05,4,0.65,4934,20,6,0.004,0.001
100000,0.1,14,0.63,9941,0,0,0.0,0.0
100000,0.05,3,0.65,4934,1,0,0.0,0.0
100000,0.1,13,0.63,9941,0,0,0.0,0.0
100000,0.05,2,0.65,4934,0,0,0.0,0.0
100000,0.1,12,0.63,9941,0,0,0.0,0.0
100000,0.05,1,0.65,4934,0,0,0.0,0.0
100000,0.1,11,0.63,9941,0,0,0.0,0.0
100000,0.05,19,0.63,5031,0,0,0.0,0.0
100000,0.1,10,0.63,9941,0,0,0.0,0.0
100000,0.05,18,0.63,5031,0,0,0.0,0.0
100000,0.1,9,0.63,9941,0,0,0.0,0.0
100000,0.05,17,0.63,5031,0,0,0.0,0.0
100000,0.05,16,0.63,5031,0,0,0.0,0.0
100000,0.1,8,0.63,9941,0,0,0.0,0.0
100000,0.1,7,0.63,9941,1,1,0.0,0.0
100000,0.05,15,0.63,5031,0,0,0.0,0.0
100000,0.05,14,0.63,5031,0,0,0.0,0.0
100000,0.1,6,0.63,9941,29,15,0.003,0.002
100000,0.05,13,0.63,5031,0,0,0.0,0.0
100000,0.1,5,0.63,9941,195,75,0.02,0.008
100000,0.05,12,0.63,5031,0,0,0.0,0.0
100000,0.1,4,0.63,9941,314,99,0.032,0.01
100000,0.05,11,0.63,5031,0,0,0.0,0.0
100000,0.1,3,0.63,9941,1,0,0.0,0.0
100000,0.05,10,0.63,5031,0,0,0.0,0.0
100000,0.1,2,0.63,9941,0,0,0.0,0.0
100000,0.05,9,0.63,5031,0,0,0.0,0.0
100000,0.1,1,0.63,9941,0,0,0.0,0.0
100000,0.05,8,0.63,5031,0,0,0.0,0.0
100000,0.1,19,0.6,10016,0,0,0.0,0.0
100000,0.05,7,0.63,5031,2,0,0.0,0.0
100000,0.05,6,0.63,5031,9,2,0.002,0.0
100000,0.1,18,0.6,10016,0,0,0.0,0.0
100000,0.05,5,0.63,5031,37,7,0.007,0.001
100000,0.1,17,0.6,10016,0,0,0.0,0.0
100000,0.05,4,0.63,5031,26,7,0.005,0.001
100000,0.1,16,0.6,10016,0,0,0.0,0.0
100000,0.05,3,0.63,5031,0,0,0.0,0.0
100000,0.1,15,0.6,10016,0,0,0.0,0.0
100000,0.05,2,0.63,5031,0,0,0.0,0.0
100000,0.1,14,0.6,10016,0,0,0.0,0.0
100000,0.05,1,0.63,5031,0,0,0.0,0.0
100000,0.1,13,0.6,10016,0,0,0.0,0.0
100000,0.05,19,0.6,5038,0,0,0.0,0.0
100000,0.1,12,0.6,10016,0,0,0.0,0.0
100000,0.05,18,0.6,5038,0,0,0.0,0.0
100000,0.05,17,0.6,5038,0,0,0.0,0.0
100000,0.1,11,0.6,10016,0,0,0.0,0.0
100000,0.05,16,0.6,5038,0,0,0.0,0.0
100000,0.1,10,0.6,10016,0,0,0.0,0.0
100000,0.05,15,0.6,5038,0,0,0.0,0.0
100000,0.1,9,0.6,10016,0,0,0.0,0.0
100000,0.05,14,0.6,5038,0,0,0.0,0.0
100000,0.1,8,0.6,10016,0,0,0.0,0.0
100000,0.05,13,0.6,5038,0,0,0.0,0.0
100000,0.1,7,0.6,10016,2,2,0.0,0.0
100000,0.1,6,0.6,10016,20,10,0.002,0.001
100000,0.05,12,0.6,5038,0,0,0.0,0.0
100000,0.1,5,0.6,10016,142,43,0.014,0.004
100000,0.05,11,0.6,5038,0,0,0.0,0.0
100000,0.05,10,0.6,5038,0,0,0.0,0.0
100000,0.1,4,0.6,10016,285,88,0.028,0.009
100000,0.05,9,0.6,5038,0,0,0.0,0.0
100000,0.05,8,0.6,5038,0,0,0.0,0.0
100000,0.1,3,0.6,10016,1,1,0.0,0.0
100000,0.05,7,0.6,5038,0,0,0.0,0.0
100000,0.1,2,0.6,10016,0,0,0.0,0.0
100000,0.05,6,0.6,5038,1,0,0.0,0.0
100000,0.1,1,0.6,10016,0,0,0.0,0.0
100000,0.1,19,0.58,9997,0,0,0.0,0.0
100000,0.05,5,0.6,5038,14,3,0.003,0.001
100000,0.1,18,0.58,9997,0,0,0.0,0.0
100000,0.1,17,0.58,9997,0,0,0.0,0.0
100000,0.05,4,0.6,5038,29,6,0.006,0.001
100000,0.05,3,0.6,5038,0,0,0.0,0.0
100000,0.1,16,0.58,9997,0,0,0.0,0.0
100000,0.05,2,0.6,5038,0,0,0.0,0.0
100000,0.05,1,0.6,5038,0,0,0.0,0.0
100000,0.1,15,0.58,9997,0,0,0.0,0.0
100000,0.1,14,0.58,9997,0,0,0.0,0.0
100000,0.05,19,0.58,4976,0,0,0.0,0.0
100000,0.1,13,0.58,9997,0,0,0.0,0.0
100000,0.05,18,0.58,4976,0,0,0.0,0.0
100000,0.1,12,0.58,9997,0,0,0.0,0.0
100000,0.05,17,0.58,4976,0,0,0.0,0.0
100000,0.1,11,0.58,9997,0,0,0.0,0.0
100000,0.05,16,0.58,4976,0,0,0.0,0.0
100000,0.1,10,0.58,9997,0,0,0.0,0.0
100000,0.1,9,0.58,9997,0,0,0.0,0.0
100000,0.05,15,0.58,4976,0,0,0.0,0.0
100000,0.1,8,0.58,9997,0,0,0.0,0.0
100000,0.05,14,0.58,4976,0,0,0.0,0.0
100000,0.05,13,0.58,4976,0,0,0.0,0.0
100000,0.1,7,0.58,9997,0,0,0.0,0.0
