InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,,,,,,
100000,0.01,1,0.99,983,940,933,0.956,0.949,,,,,,
100000,0.05,2,0.99,4953,4687,4651,0.946,0.939,,,,,,
100000,0.05,3,0.99,4953,4629,4622,0.935,0.933,,,,,,
100000,0.01,2,0.99,983,916,915,0.932,0.931,,,,,,
100000,0.05,4,0.99,4953,4578,4570,0.924,0.923,,,,,,
100000,0.01,3,0.99,983,905,904,0.921,0.92,,,,,,
100000,0.01,4,0.99,983,895,894,0.91,0.909,,,,,,
100000,0.1,3,0.99,9997,9043,8981,0.905,0.898,,,,,,
100000,0.01,5,0.99,983,890,888,0.905,0.903,,,,,,
100000,0.05,5,0.99,4953,4467,4456,0.902,0.9,,,,,,
100000,0.1,2,0.99,9997,9004,8896,0.901,0.89,,,,,,
100000,0.05,1,0.99,4953,4464,4364,0.901,0.881,,,,,,
100000,0.1,4,0.99,9997,8952,8919,0.895,0.892,,,,,,
100000,0.01,6,0.99,983,871,870,0.886,0.885,,,,,,
100000,0.01,7,0.99,983,857,856,0.872,0.871,,,,,,
100000,0.05,6,0.99,4953,4308,4294,0.87,0.867,,,,,,
100000,0.1,5,0.99,9997,8649,8606,0.865,0.861,,,,,,
100000,0.01,8,0.99,983,841,840,0.856,0.855,,,,,,
100000,0.01,9,0.99,983,830,829,0.844,0.843,,,,,,
100000,0.01,10,0.99,983,826,825,0.84,0.839,,,,,,
100000,0.1,1,0.99,9997,8285,7928,0.829,0.793,,,,,,
100000,0.05,7,0.99,4953,4061,4046,0.82,0.817,,,,,,
100000,0.1,6,0.99,9997,8033,7993,0.804,0.8,,,,,,
100000,0.01,11,0.99,983,786,785,0.8,0.799,,,,,,
100000,0.01,12,0.99,983,765,764,0.778,0.777,,,,,,
100000,0.05,8,0.99,4953,3811,3802,0.769,0.768,,,,,,
100000,0.01,13,0.99,983,744,743,0.757,0.756,,,,,,
100000,0.01,14,0.99,983,737,736,0.75,0.749,,,,,,
100000,0.01,15,0.99,983,724,721,0.737,0.733,,,,,,
100000,0.1,7,0.99,9997,7197,7164,0.72,0.717,,,,,,
100000,0.01,16,0.99,983,701,698,0.713,0.71,,,,,,
100000,0.05,10,0.99,4953,3336,3329,0.674,0.672,,,,,,
100000,0.01,17,0.99,983,653,650,0.664,0.661,,,,,,
100000,0.1,8,0.99,9997,6290,6266,0.629,0.627,,,,,,
100000,0.05,11,0.99,4953,3089,3079,0.624,0.622,,,,,,
100000,0.01,18,0.99,983,591,588,0.601,0.598,,,,,,
100000,0.01,19,0.99,983,575,572,0.585,0.582,,,,,,
100000,0.05,12,0.99,4953,2862,2852,0.578,0.576,,,,,,
100000,0.05,13,0.99,4953,2649,2639,0.535,0.533,,,,,,
100000,0.1,9,0.99,9997,5326,5309,0.533,0.531,,,,,,
100000,0.05,14,0.99,4953,2456,2447,0.496,0.494,,,,,,
100000,0.05,15,0.99,4953,2244,2240,0.453,0.452,,,,,,
100000,0.1,10,0.99,9997,4441,4423,0.444,0.442,,,,,,
100000,0.05,16,0.99,4953,1992,1989,0.402,0.402,,,,,,
100000,0.05,17,0.99,4953,1786,1784,0.361,0.36,,,,,,
100000,0.1,11,0.99,9997,3498,3490,0.35,0.349,,,,,,
100000,0.05,19,0.99,4953,1406,1404,0.284,0.283,,,,,,
100000,0.1,12,0.99,9997,2571,2566,0.257,0.257,,,,,,
100000,0.1,13,0.99,9997,2023,2017,0.202,0.202,,,,,,
100000,0.1,14,0.99,9997,1631,1628,0.163,0.163,,,,,,
100000,0.1,15,0.99,9997,1306,1301,0.131,0.13,,,,,,
100000,0.1,16,0.99,9997,1061,1058,0.106,0.106,,,,,,
100000,0.1,17,0.99,9997,790,789,0.079,0.079,,,,,,
100000,0.1,18,0.99,9997,596,596,0.06,0.06,,,,,,
100000,0.1,19,0.99,9997,450,450,0.045,0.045,,,,,,
100000,0.01,1,0.98,967,945,911,0.977,0.942,,,,,,
100000,0.05,2,0.98,4970,4612,4541,0.928,0.914,,,,,,
100000,0.01,2,0.98,967,890,875,0.92,0.905,,,,,,
100000,0.05,3,0.98,4970,4534,4503,0.912,0.906,,,,,,
100000,0.01,3,0.98,967,869,854,0.899,0.883,,,,,,
100000,0.1,2,0.98,10088,9031,8818,0.895,0.874,,,,,,
100000,0.05,4,0.98,4970,4446,4408,0.895,0.887,,,,,,
100000,0.05,1,0.98,4970,4427,4292,0.891,0.864,,,,,,
100000,0.1,3,0.98,10088,8969,8830,0.889,0.875,,,,,,
100000,0.01,4,0.98,967,859,842,0.888,0.871,,,,,,
100000,0.01,5,0.98,967,847,832,0.876,0.86,,,,,,
100000,0.1,4,0.98,10088,8779,8651,0.87,0.858,,,,,,
100000,0.05,5,0.98,4970,4305,4276,0.866,0.86,,,,,,
100000,0.01,6,0.98,967,827,811,0.855,0.839,,,,,,
100000,0.1,5,0.98,10088,8353,8251,0.828,0.818,,,,,,
100000,0.1,1,0.98,10088,8354,7891,0.828,0.782,,,,,,
100000,0.05,6,0.98,4970,4117,4090,0.828,0.823,,,,,,
100000,0.01,7,0.98,967,799,783,0.826,0.81,,,,,,
100000,0.01,9,0.98,967,754,737,0.78,0.762,,,,,,
100000,0.05,7,0.98,4970,3814,3786,0.767,0.762,,,,,,
100000,0.1,6,0.98,10088,7660,7571,0.759,0.75,,,,,,
100000,0.01,10,0.98,967,707,692,0.731,0.716,,,,,,
100000,0.05,8,0.98,4970,3520,3498,0.708,0.704,,,,,,
100000,0.01,11,0.98,967,685,668,0.708,0.691,,,,,,
100000,0.01,12,0.98,967,652,637,0.674,0.659,,,,,,
100000,0.1,7,0.98,10088,6756,6684,0.67,0.663,,,,,,
100000,0.01,13,0.98,967,641,627,0.663,0.648,,,,,,
100000,0.05,9,0.98,4970,3202,3182,0.644,0.64,,,,,,
100000,0.01,14,0.98,967,594,581,0.614,0.601,,,,,,
100000,0.05,10,0.98,4970,2891,2868,0.582,0.577,,,,,,
100000,0.1,8,0.98,10088,5817,5762,0.577,0.571,,,,,,
100000,0.01,15,0.98,967,543,529,0.562,0.547,,,,,,
100000,0.05,11,0.98,4970,2594,2576,0.522,0.518,,,,,,
100000,0.01,17,0.98,967,474,463,0.49,0.479,,,,,,
100000,0.1,9,0.98,10088,4844,4799,0.48,0.476,,,,,,
100000,0.05,12,0.98,4970,2337,2324,0.47,0.468,,,,,,
100000,0.01,19,0.98,967,442,432,0.457,0.447,,,,,,
100000,0.01,18,0.98,967,438,428,0.453,0.443,,,,,,
100000,0.05,13,0.98,4970,2119,2107,0.426,0.424,,,,,,
100000,0.05,14,0.98,4970,1906,1898,0.384,0.382,,,,,,
100000,0.1,10,0.98,10088,3797,3767,0.376,0.373,,,,,,
100000,0.05,15,0.98,4970,1647,1639,0.331,0.33,,,,,,
100000,0.1,11,0.98,10088,2797,2783,0.277,0.276,,,,,,
100000,0.05,17,0.98,4970,1276,1270,0.257,0.256,,,,,,
100000,0.05,18,0.98,4970,1122,1116,0.226,0.225,,,,,,
100000,0.1,12,0.98,10088,2052,2038,0.203,0.202,,,,,,
100000,0.05,19,0.98,4970,980,973,0.197,0.196,,,,,,
100000,0.1,14,0.98,10088,1259,1257,0.125,0.125,,,,,,
100000,0.1,15,0.98,10088,972,970,0.096,0.096,,,,,,
100000,0.1,16,0.98,10088,692,691,0.069,0.068,,,,,,
100000,0.1,17,0.98,10088,478,478,0.047,0.047,,,,,,
100000,0.1,18,0.98,10088,339,339,0.034,0.034,,,,,,
100000,0.1,19,0.98,10088,213,212,0.021,0.021,,,,,,
100000,0.01,1,0.97,1020,997,950,0.977,0.931,,,,,,
100000,0.01,2,0.97,1020,921,890,0.903,0.873,,,,,,
100000,0.05,2,0.97,5011,4504,4393,0.899,0.877,,,,,,
100000,0.05,3,0.97,5011,4432,4370,0.884,0.872,,,,,,
100000,0.05,1,0.97,5011,4416,4216,0.881,0.841,,,,,,
100000,0.1,2,0.97,9996,8790,8488,0.879,0.849,,,,,,
100000,0.05,4,0.97,5011,4360,4292,0.87,0.857,,,,,,
100000,0.01,3,0.97,1020,886,857,0.869,0.84,,,,,,
100000,0.1,3,0.97,9996,8678,8462,0.868,0.847,,,,,,
100000,0.01,4,0.97,1020,872,842,0.855,0.825,,,,,,
100000,0.01,5,0.97,1020,857,826,0.84,0.81,,,,,,
100000,0.1,4,0.97,9996,8391,8216,0.839,0.822,,,,,,
100000,0.05,5,0.97,5011,4198,4132,0.838,0.825,,,,,,
100000,0.01,6,0.97,1020,829,799,0.813,0.783,,,,,,
100000,0.1,1,0.97,9996,8111,7614,0.811,0.762,,,,,,
100000,0.1,5,0.97,9996,7838,7690,0.784,0.769,,,,,,
100000,0.01,7,0.97,1020,799,769,0.783,0.754,,,,,,
100000,0.05,6,0.97,5011,3890,3836,0.776,0.766,,,,,,
100000,0.01,8,0.97,1020,771,741,0.756,0.726,,,,,,
100000,0.05,7,0.97,5011,3605,3551,0.719,0.709,,,,,,
100000,0.01,9,0.97,1020,729,701,0.715,0.687,,,,,,
100000,0.1,6,0.97,9996,7058,6908,0.706,0.691,,,,,,
100000,0.01,10,0.97,1020,695,670,0.681,0.657,,,,,,
100000,0.01,11,0.97,1020,675,651,0.662,0.638,,,,,,
100000,0.05,8,0.97,5011,3235,3194,0.646,0.637,,,,,,
100000,0.01,12,0.97,1020,636,613,0.624,0.601,,,,,,
100000,0.1,7,0.97,9996,6115,5988,0.612,0.599,,,,,,
100000,0.05,9,0.97,5011,2900,2858,0.579,0.57,,,,,,
100000,0.01,13,0.97,1020,557,534,0.546,0.524,,,,,,
100000,0.1,8,0.97,9996,5141,5038,0.514,0.504,,,,,,
100000,0.05,10,0.97,5011,2565,2526,0.512,0.504,,,,,,
100000,0.01,14,0.97,1020,507,488,0.497,0.478,,,,,,
100000,0.05,11,0.97,5011,2243,2209,0.448,0.441,,,,,,
100000,0.01,15,0.97,1020,454,437,0.445,0.428,,,,,,
100000,0.1,9,0.97,9996,4164,4092,0.417,0.409,,,,,,
100000,0.01,16,0.97,1020,425,411,0.417,0.403,,,,,,
100000,0.05,12,0.97,5011,1997,1970,0.399,0.393,,,,,,
100000,0.01,17,0.97,1020,399,387,0.391,0.379,,,,,,
100000,0.01,18,0.97,1020,384,367,0.376,0.36,,,,,,
100000,0.05,13,0.97,5011,1736,1709,0.346,0.341,,,,,,
100000,0.01,19,0.97,1020,324,308,0.318,0.302,,,,,,
100000,0.05,14,0.97,5011,1546,1516,0.309,0.303,,,,,,
100000,0.1,10,0.97,9996,3056,3004,0.306,0.301,,,,,,
100000,0.05,15,0.97,5011,1313,1294,0.262,0.258,,,,,,
100000,0.1,11,0.97,9996,2252,2217,0.225,0.222,,,,,,
100000,0.05,16,0.97,5011,1102,1079,0.22,0.215,,,,,,
100000,0.05,17,0.97,5011,922,906,0.184,0.181,,,,,,
100000,0.1,12,0.97,9996,1676,1656,0.168,0.166,,,,,,
100000,0.05,18,0.97,5011,795,780,0.159,0.156,,,,,,
100000,0.05,19,0.97,5011,671,661,0.134,0.132,,,,,,
