InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
0,0.1,5,-1.0,226,69,69,0.305,0.304,-1
0,0.1,4,-1.0,226,86,86,0.381,0.379,-1
0,0.1,3,-1.0,226,128,107,0.566,0.471,-1
0,0.1,2,-1.0,226,105,64,0.465,0.282,-1
0,0.1,1,-1.0,226,14,7,0.062,0.031,-1
0,0.1,5,-1.0,172,25,25,0.145,0.145,-1
0,0.1,4,-1.0,172,49,49,0.285,0.283,-1
0,0.1,3,-1.0,172,65,61,0.378,0.353,-1
0,0.1,2,-1.0,172,60,37,0.349,0.214,-1
0,0.1,1,-1.0,172,13,4,0.076,0.023,-1
0,0.1,5,-1.0,182,30,30,0.165,0.164,-1
0,0.1,4,-1.0,182,44,44,0.242,0.24,-1
0,0.1,3,-1.0,182,61,56,0.335,0.306,-1
0,0.1,2,-1.0,182,66,44,0.363,0.24,-1
0,0.1,1,-1.0,182,16,8,0.088,0.044,-1
0,0.1,5,-1.0,157,20,20,0.127,0.127,-1
0,0.1,4,-1.0,157,25,25,0.159,0.158,-1
0,0.1,3,-1.0,157,41,34,0.261,0.215,-1
0,0.1,2,-1.0,157,58,30,0.369,0.19,-1
0,0.1,1,-1.0,157,14,4,0.089,0.025,-1
0,0.1,5,-1.0,127,11,11,0.087,0.086,-1
0,0.1,4,-1.0,127,24,24,0.189,0.188,-1
0,0.1,3,-1.0,127,34,32,0.268,0.25,-1
0,0.1,2,-1.0,127,43,28,0.339,0.219,-1
0,0.1,1,-1.0,127,11,4,0.087,0.031,-1
0,0.1,5,-1.0,66,3,3,0.045,0.045,-1
0,0.1,4,-1.0,66,6,6,0.091,0.09,-1
0,0.1,3,-1.0,66,11,9,0.167,0.134,-1
0,0.1,2,-1.0,66,17,10,0.258,0.149,-1
0,0.1,1,-1.0,66,4,0,0.061,0.0,-1
0,0.1,5,-1.0,80,0,0,0.0,0.0,-1
0,0.1,4,-1.0,80,0,0,0.0,0.0,-1
0,0.1,3,-1.0,80,2,2,0.025,0.025,-1
0,0.1,2,-1.0,80,22,8,0.275,0.099,-1
0,0.1,1,-1.0,80,7,2,0.087,0.025,-1
0,0.1,5,-1.0,37,0,0,0.0,0.0,-1
0,0.1,4,-1.0,37,0,0,0.0,0.0,-1
0,0.1,3,-1.0,37,0,0,0.0,0.0,-1
0,0.1,2,-1.0,37,0,0,0.0,0.0,-1
0,0.1,1,-1.0,37,8,1,0.216,0.026,-1
0,0.1,5,-1.0,12,0,0,0.0,0.0,-1
0,0.1,4,-1.0,12,0,0,0.0,0.0,-1
0,0.1,3,-1.0,12,0,0,0.0,0.0,-1
0,0.1,2,-1.0,12,0,0,0.0,0.0,-1
0,0.1,1,-1.0,12,0,0,0.0,0.0,-1
0,0.1,1,-1.0,4934,0,0,0.0,0.0,-1
0,0.1,5,-1.0,1006,0,0,0.0,0.0,-1
0,0.1,4,-1.0,1006,0,0,0.0,0.0,-1
0,0.1,3,-1.0,1006,0,0,0.0,0.0,-1
0,0.1,2,-1.0,1006,17,1,0.017,0.001,-1
0,0.1,1,-1.0,1006,0,0,0.0,0.0,-1
0,0.1,5,-1.0,9878,0,0,0.0,0.0,-1
0,0.1,4,-1.0,9878,85,26,0.009,0.003,-1
0,0.1,3,-1.0,9878,550,122,0.056,0.012,-1
0,0.1,2,-1.0,9878,10,4,0.001,0.0,-1
0,0.1,1,-1.0,9878,0,0,0.0,0.0,-1
0,0.1,5,-1.0,969,0,0,0.0,0.0,-1
0,0.1,4,-1.0,969,1,0,0.001,0.0,-1
0,0.1,3,-1.0,969,15,7,0.015,0.007,-1
0,0.1,2,-1.0,969,57,6,0.059,0.006,-1
0,0.1,1,-1.0,969,0,0,0.0,0.0,-1
0,0.1,5,-1.0,940,3145,179,3.346,0.19,-1
0,0.1,4,-1.0,940,2935,202,3.122,0.215,-1
0,0.1,3,-1.0,940,1953,159,2.078,0.169,-1
0,0.1,2,-1.0,940,475,46,0.505,0.049,-1
0,0.1,1,-1.0,940,0,0,0.0,0.0,-1
0,0.1,5,-1.0,936,0,0,0.0,0.0,-1
0,0.1,4,-1.0,936,0,0,0.0,0.0,-1
0,0.1,3,-1.0,936,16,5,0.017,0.005,-1
0,0.1,2,-1.0,936,61,17,0.065,0.018,-1
0,0.1,1,-1.0,936,0,0,0.0,0.0,-1
