InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Coverage Depth,Ratio
0,0.02,3,-1.0,89675,5,2,0.0,0.0,45,-1
0,0.02,2,-1.0,89675,0,0,0.0,0.0,45,-1
0,0.02,5,-1.0,80521,20244,11083,0.251,0.138,40,-1
0,0.02,4,-1.0,80521,2256,731,0.028,0.009,40,-1
0,0.02,3,-1.0,80521,4,0,0.0,0.0,40,-1
0,0.02,2,-1.0,80521,0,0,0.0,0.0,40,-1
0,0.02,5,-1.0,69921,8499,3844,0.122,0.055,35,-1
0,0.02,4,-1.0,69921,2542,768,0.036,0.011,35,-1
0,0.02,3,-1.0,69921,18,3,0.0,0.0,35,-1
0,0.02,2,-1.0,69921,0,0,0.0,0.0,35,-1
0,0.02,5,-1.0,60219,2180,1018,0.036,0.017,30,-1
0,0.02,4,-1.0,60219,1639,401,0.027,0.007,30,-1
0,0.02,3,-1.0,60219,35,9,0.001,0.0,30,-1
0,0.02,2,-1.0,60219,0,0,0.0,0.0,30,-1
0,0.02,5,-1.0,50205,216,138,0.004,0.003,25,-1
0,0.02,4,-1.0,50205,722,161,0.014,0.003,25,-1
0,0.02,3,-1.0,50205,51,6,0.001,0.0,25,-1
0,0.02,2,-1.0,50205,0,0,0.0,0.0,25,-1
0,0.02,2,-1.0,59615,0,0,0.0,0.0,30,-1
0,0.02,5,-1.0,50168,2742,1173,0.055,0.023,25,-1
0,0.02,4,-1.0,50168,1393,364,0.028,0.007,25,-1
0,0.02,3,-1.0,50168,14,4,0.0,0.0,25,-1
0,0.02,2,-1.0,50168,0,0,0.0,0.0,25,-1
0,0.02,5,-1.0,40120,1211,559,0.03,0.014,20,-1
0,0.02,4,-1.0,40120,1102,295,0.027,0.007,20,-1
0,0.02,3,-1.0,40120,15,4,0.0,0.0,20,-1
0,0.02,2,-1.0,40120,0,0,0.0,0.0,20,-1
0,0.02,5,-1.0,30445,196,100,0.006,0.003,15,-1
0,0.02,4,-1.0,30445,570,152,0.019,0.005,15,-1
0,0.02,3,-1.0,30445,22,4,0.001,0.0,15,-1
0,0.02,2,-1.0,30445,0,0,0.0,0.0,15,-1
0,0.02,5,-1.0,20015,34,26,0.002,0.001,10,-1
0,0.02,4,-1.0,20015,147,42,0.007,0.002,10,-1
0,0.02,3,-1.0,20015,31,3,0.002,0.0,10,-1
0,0.02,2,-1.0,20015,0,0,0.0,0.0,10,-1
0,0.02,5,-1.0,9900,0,0,0.0,0.0,5,-1
0,0.02,4,-1.0,9900,0,0,0.0,0.0,5,-1
0,0.02,3,-1.0,9900,4,1,0.0,0.0,5,-1
0,0.02,2,-1.0,9900,0,0,0.0,0.0,5,-1
0,0.02,5,-1.0,0,0,0,0.0,0.0,0,-1
0,0.02,4,-1.0,0,0,0,0.0,0.0,0,-1
0,0.02,3,-1.0,0,0,0,0.0,0.0,0,-1
0,0.02,2,-1.0,0,0,0,0.0,0.0,0,-1
