InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Coverage Depth,Ratio
0,0.01,8,-1,10216,7240,7238,0.709,0.708,2250,-1
0,0.01,7,-1,10216,7577,7572,0.742,0.741,2250,-1
0,0.01,6,-1,10216,7942,7917,0.777,0.775,2250,-1
0,0.01,5,-1,10216,8385,8187,0.821,0.801,2250,-1
0,0.01,4,-1,10216,8312,7491,0.814,0.733,2250,-1
0,0.01,3,-1,10216,5321,4123,0.521,0.404,2250,-1
0,0.01,2,-1,10216,618,389,0.06,0.038,2250,-1
0,0.01,1,-1,10216,0,0,0,0,2250,-1
0,0.01,8,-1,9162,6518,6515,0.711,0.711,2000,-1
0,0.01,7,-1,9162,6833,6824,0.746,0.745,2000,-1
0,0.01,6,-1,9162,7120,7090,0.777,0.774,2000,-1
0,0.01,5,-1,9162,7553,7393,0.824,0.807,2000,-1
0,0.01,4,-1,9162,7503,6790,0.819,0.741,2000,-1
0,0.01,3,-1,9162,4733,3684,0.517,0.402,2000,-1
0,0.01,2,-1,9162,518,328,0.057,0.036,2000,-1
0,0.01,1,-1,9162,0,0,0,0,2000,-1
0,0.01,8,-1,7824,5561,5559,0.711,0.71,1750,-1
0,0.01,7,-1,7824,5815,5811,0.743,0.743,1750,-1
0,0.01,6,-1,7824,6093,6077,0.779,0.777,1750,-1
0,0.01,5,-1,7824,6386,6271,0.816,0.801,1750,-1
0,0.01,4,-1,7824,6482,5823,0.828,0.744,1750,-1
0,0.01,3,-1,7824,4176,3180,0.534,0.406,1750,-1
0,0.01,2,-1,7824,531,320,0.068,0.041,1750,-1
0,0.01,1,-1,7824,0,0,0,0,1750,-1
0,0.01,8,-1,6812,4745,4744,0.697,0.696,1500,-1
0,0.01,7,-1,6812,4962,4959,0.728,0.728,1500,-1
0,0.01,6,-1,6812,5240,5224,0.769,0.767,1500,-1
0,0.01,5,-1,6812,5541,5428,0.813,0.797,1500,-1
0,0.01,4,-1,6812,5549,5012,0.815,0.736,1500,-1
0,0.01,3,-1,6812,3727,2777,0.547,0.408,1500,-1
0,0.01,2,-1,6812,398,249,0.058,0.037,1500,-1
0,0.01,1,-1,6812,0,0,0,0,1500,-1
0,0.01,8,-1,5695,3946,3941,0.693,0.692,1250,-1
0,0.01,7,-1,5695,4137,4131,0.726,0.725,1250,-1
0,0.01,6,-1,5695,4340,4326,0.762,0.759,1250,-1
0,0.01,5,-1,5695,4568,4484,0.802,0.787,1250,-1
0,0.01,4,-1,5695,4550,4099,0.799,0.72,1250,-1
0,0.01,3,-1,5695,3028,2278,0.532,0.4,1250,-1
0,0.01,2,-1,5695,320,196,0.056,0.034,1250,-1
0,0.01,1,-1,5695,0,0,0,0,1250,-1
0,0.01,8,-1,4526,3189,3188,0.705,0.704,1000,-1
0,0.01,7,-1,4526,3354,3352,0.741,0.74,1000,-1
