InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes
0,0.1,9,-1.0,289410,0,0,0.0,0.0
0,0.1,8,-1.0,289410,0,0,0.0,0.0
0,0.1,7,-1.0,289410,0,0,0.0,0.0
0,0.1,6,-1.0,289410,0,0,0.0,0.0
0,0.1,5,-1.0,289410,1073,88,0.004,0.0
0,0.1,4,-1.0,289410,2692,254,0.009,0.001
0,0.1,3,-1.0,289410,6,1,0.0,0.0
0,0.05,3,-1.0,144694,1,0,0.0,0.0
0,0.05,2,-1.0,144694,0,0,0.0,0.0
0,0.05,1,-1.0,144694,0,0,0.0,0.0
0,0.05,0,-1.0,144694,0,0,0.0,0.0
0,0.05,10,-1.0,145397,0,0,0.0,0.0
0,0.05,9,-1.0,145397,0,0,0.0,0.0
0,0.05,8,-1.0,145397,0,0,0.0,0.0
0,0.05,7,-1.0,145397,0,0,0.0,0.0
0,0.05,6,-1.0,145397,0,0,0.0,0.0
0,0.05,5,-1.0,145397,27,4,0.0,0.0
0,0.1,4,-1.0,290714,2780,277,0.01,0.001
0,0.1,3,-1.0,290714,8,1,0.0,0.0
