InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha
0,0.05,5,-1.0,5265,4869,4437,0.925,0.843,0.7609999999999999,110,-1,4
0,0.05,4,-1.0,5265,7525,4463,1.429,0.848,0.2669999999999999,110,-1,4
0,0.05,3,-1.0,5265,10117,3539,1.921,0.672,-0.577,110,-1,4
0,0.05,9,-1.0,4452,2988,2988,0.671,0.671,0.671,95,-1,4
0,0.05,8,-1.0,4452,3193,3193,0.717,0.717,0.717,95,-1,4
0,0.05,7,-1.0,4452,3418,3412,0.768,0.766,0.764,95,-1,4
0,0.05,6,-1.0,4452,3647,3614,0.819,0.812,0.8050000000000002,95,-1,4
0,0.05,5,-1.0,4452,4193,3815,0.942,0.857,0.772,95,-1,4
0,0.05,4,-1.0,4452,6373,3821,1.431,0.858,0.2849999999999999,95,-1,4
0,0.05,3,-1.0,4452,8531,3045,1.916,0.684,-0.5479999999999998,95,-1,4
0,0.05,9,-1.0,3790,2438,2438,0.643,0.643,0.643,80,-1,4
0,0.05,8,-1.0,3790,2614,2613,0.69,0.689,0.688,80,-1,4
0,0.05,7,-1.0,3790,2800,2797,0.739,0.738,0.737,80,-1,4
0,0.05,6,-1.0,3790,3040,3010,0.802,0.794,0.786,80,-1,4
0,0.05,5,-1.0,3790,3499,3185,0.923,0.84,0.7569999999999999,80,-1,4
0,0.05,4,-1.0,3790,5398,3182,1.424,0.839,0.254,80,-1,4
0,0.05,3,-1.0,3790,7197,2539,1.898,0.67,-0.5579999999999998,80,-1,4
0,0.05,9,-1.0,8951,5819,5819,0.65,0.65,0.65,185,-1,3
0,0.05,8,-1.0,8951,6241,6239,0.697,0.697,0.697,185,-1,3
0,0.05,7,-1.0,8951,6703,6692,0.749,0.748,0.747,185,-1,3
0,0.05,6,-1.0,8951,7222,7142,0.807,0.798,0.789,185,-1,3
0,0.05,5,-1.0,8951,8392,7564,0.937,0.845,0.7529999999999999,185,-1,3
0,0.05,4,-1.0,8951,13204,7660,1.475,0.856,0.23699999999999988,185,-1,3
0,0.05,3,-1.0,8951,17871,6100,1.996,0.681,-0.6339999999999999,185,-1,3
0,0.05,9,-1.0,7966,5216,5215,0.655,0.655,0.655,170,-1,3
0,0.05,8,-1.0,7966,5609,5607,0.704,0.704,0.704,170,-1,3
0,0.05,7,-1.0,7966,5996,5990,0.753,0.752,0.751,170,-1,3
0,0.05,6,-1.0,7966,6460,6384,0.811,0.801,0.791,170,-1,3
0,0.05,5,-1.0,7966,7496,6763,0.941,0.849,0.757,170,-1,3
0,0.05,4,-1.0,7966,11732,6874,1.473,0.863,0.2529999999999999,170,-1,3
0,0.05,3,-1.0,7966,15867,5503,1.992,0.691,-0.6100000000000001,170,-1,3
0,0.05,9,-1.0,7310,4737,4737,0.648,0.648,0.648,155,-1,3
0,0.05,8,-1.0,7310,5093,5092,0.697,0.696,0.695,155,-1,3
0,0.05,7,-1.0,7310,5483,5477,0.75,0.749,0.748,155,-1,3
0,0.05,6,-1.0,7310,5918,5857,0.809,0.801,0.793,155,-1,3
0,0.05,5,-1.0,7310,6809,6210,0.931,0.849,0.7669999999999999,155,-1,3
0,0.05,4,-1.0,7310,10663,6250,1.458,0.855,0.252,155,-1,3
0,0.05,3,-1.0,7310,14536,5020,1.988,0.687,-0.6139999999999999,155,-1,3
0,0.05,9,-1.0,6643,4305,4305,0.648,0.648,0.648,140,-1,3
0,0.05,8,-1.0,6643,4636,4636,0.698,0.698,0.698,140,-1,3
0,0.05,7,-1.0,6643,4983,4977,0.75,0.749,0.748,140,-1,3
0,0.05,6,-1.0,6643,5381,5322,0.81,0.801,0.792,140,-1,3
0,0.05,5,-1.0,6643,6231,5660,0.938,0.852,0.766,140,-1,3
0,0.05,4,-1.0,6643,9662,5704,1.454,0.859,0.264,140,-1,3
0,0.05,3,-1.0,6643,13176,4594,1.983,0.691,-0.6010000000000002,140,-1,3
0,0.05,9,-1.0,5863,3811,3811,0.65,0.65,0.65,125,-1,3
0,0.05,8,-1.0,5863,4086,4084,0.697,0.696,0.695,125,-1,3
0,0.05,7,-1.0,5863,4399,4390,0.75,0.749,0.748,125,-1,3
0,0.05,6,-1.0,5863,4734,4692,0.807,0.8,0.793,125,-1,3
0,0.05,5,-1.0,5863,5449,4954,0.929,0.845,0.7609999999999999,125,-1,3
0,0.05,4,-1.0,5863,8460,5010,1.443,0.854,0.2649999999999999,125,-1,3
0,0.05,3,-1.0,5863,11534,4028,1.967,0.687,-0.593,125,-1,3
0,0.05,9,-1.0,5165,3325,3325,0.644,0.644,0.644,110,-1,3
0,0.05,8,-1.0,5165,3601,3599,0.697,0.697,0.697,110,-1,3
0,0.05,7,-1.0,5165,3857,3852,0.747,0.746,0.745,110,-1,3
0,0.05,6,-1.0,5165,4138,4087,0.801,0.791,0.781,110,-1,3
0,0.05,5,-1.0,5165,4792,4334,0.928,0.839,0.7499999999999999,110,-1,3
0,0.05,4,-1.0,5165,7599,4398,1.471,0.851,0.23099999999999987,110,-1,3
0,0.05,3,-1.0,5165,10096,3456,1.954,0.669,-0.6159999999999999,110,-1,3
0,0.05,9,-1.0,4430,2825,2825,0.638,0.638,0.638,95,-1,3
0,0.05,8,-1.0,4430,3050,3050,0.688,0.688,0.688,95,-1,3
0,0.05,7,-1.0,4430,3280,3276,0.74,0.739,0.738,95,-1,3
0,0.05,6,-1.0,4430,3552,3515,0.802,0.793,0.784,95,-1,3
0,0.05,5,-1.0,4430,4123,3742,0.93,0.845,0.7599999999999999,95,-1,3
0,0.05,4,-1.0,4430,6569,3784,1.483,0.854,0.22499999999999987,95,-1,3
0,0.05,3,-1.0,4430,8780,3014,1.981,0.68,-0.621,95,-1,3
0,0.05,9,-1.0,3831,2473,2473,0.645,0.645,0.645,80,-1,3
0,0.05,8,-1.0,3831,2637,2637,0.688,0.688,0.688,80,-1,3
0,0.05,7,-1.0,3831,2823,2821,0.737,0.736,0.735,80,-1,3
0,0.05,6,-1.0,3831,3046,3013,0.795,0.786,0.777,80,-1,3
0,0.05,5,-1.0,3831,3518,3203,0.918,0.836,0.7539999999999999,80,-1,3
0,0.05,4,-1.0,3831,5552,3262,1.449,0.851,0.2529999999999999,80,-1,3
0,0.05,3,-1.0,3831,7598,2640,1.983,0.689,-0.6050000000000002,80,-1,3
0,0.05,9,-1.0,8674,5657,5657,0.652,0.652,0.652,185,-1,2
0,0.05,8,-1.0,8674,6079,6078,0.701,0.701,0.701,185,-1,2
0,0.05,7,-1.0,8674,6542,6532,0.754,0.753,0.752,185,-1,2
0,0.05,6,-1.0,8674,7039,6942,0.811,0.8,0.789,185,-1,2
0,0.05,5,-1.0,8674,8260,7377,0.952,0.85,0.748,185,-1,2
0,0.05,4,-1.0,8674,13410,7436,1.546,0.857,0.16799999999999993,185,-1,2
0,0.05,3,-1.0,8674,18886,6070,2.177,0.7,-0.7770000000000001,185,-1,2
0,0.05,9,-1.0,8140,5309,5308,0.652,0.652,0.652,170,-1,2
0,0.05,8,-1.0,8140,5667,5664,0.696,0.696,0.696,170,-1,2
0,0.05,7,-1.0,8140,6108,6098,0.75,0.749,0.748,170,-1,2
0,0.05,6,-1.0,8140,6572,6492,0.807,0.797,0.787,170,-1,2
0,0.05,5,-1.0,8140,7679,6881,0.943,0.845,0.747,170,-1,2
0,0.05,4,-1.0,8140,12520,6887,1.538,0.846,0.15399999999999991,170,-1,2
0,0.05,3,-1.0,8140,17230,5547,2.116,0.681,-0.754,170,-1,2
0,0.05,9,-1.0,7312,4738,4738,0.648,0.648,0.648,155,-1,2
0,0.05,8,-1.0,7312,5128,5128,0.701,0.701,0.701,155,-1,2
0,0.05,7,-1.0,7312,5500,5495,0.752,0.751,0.75,155,-1,2
0,0.05,6,-1.0,7312,5941,5885,0.812,0.805,0.798,155,-1,2
0,0.05,5,-1.0,7312,6949,6241,0.95,0.853,0.756,155,-1,2
0,0.05,4,-1.0,7312,11199,6259,1.531,0.856,0.18100000000000005,155,-1,2
0,0.05,3,-1.0,7312,15779,5046,2.158,0.69,-0.778,155,-1,2
0,0.05,9,-1.0,6550,4222,4222,0.644,0.644,0.644,140,-1,2
0,0.05,8,-1.0,6550,4570,4570,0.698,0.698,0.698,140,-1,2
0,0.05,7,-1.0,6550,4886,4883,0.746,0.745,0.744,140,-1,2
0,0.05,6,-1.0,6550,5298,5235,0.809,0.799,0.789,140,-1,2
0,0.05,5,-1.0,6550,6170,5545,0.942,0.846,0.75,140,-1,2
0,0.05,4,-1.0,6550,10073,5628,1.538,0.859,0.17999999999999994,140,-1,2
0,0.05,3,-1.0,6550,14047,4483,2.144,0.684,-0.776,140,-1,2
0,0.05,9,-1.0,5954,3860,3860,0.648,0.648,0.648,125,-1,2
0,0.05,8,-1.0,5954,4164,4163,0.699,0.699,0.699,125,-1,2
0,0.05,7,-1.0,5954,4469,4466,0.75,0.75,0.75,125,-1,2
0,0.05,6,-1.0,5954,4841,4786,0.813,0.804,0.7950000000000002,125,-1,2
0,0.05,5,-1.0,5954,5615,5062,0.943,0.85,0.757,125,-1,2
0,0.05,4,-1.0,5954,9020,5122,1.515,0.86,0.20500000000000007,125,-1,2
0,0.05,3,-1.0,5954,12815,4126,2.152,0.693,-0.7660000000000002,125,-1,2
0,0.05,9,-1.0,5220,3381,3381,0.648,0.648,0.648,110,-1,2
0,0.05,8,-1.0,5220,3652,3652,0.699,0.699,0.699,110,-1,2
0,0.05,7,-1.0,5220,3880,3879,0.743,0.743,0.743,110,-1,2
0,0.05,6,-1.0,5220,4187,4155,0.802,0.796,0.79,110,-1,2
0,0.05,5,-1.0,5220,4860,4426,0.931,0.848,0.7649999999999999,110,-1,2
0,0.05,4,-1.0,5220,7886,4490,1.51,0.86,0.20999999999999996,110,-1,2
0,0.05,3,-1.0,5220,11395,3644,2.183,0.698,-0.7869999999999999,110,-1,2
0,0.05,9,-1.0,4495,2893,2893,0.643,0.643,0.643,95,-1,2
0,0.05,8,-1.0,4495,3120,3120,0.694,0.694,0.694,95,-1,2
0,0.05,7,-1.0,4495,3345,3340,0.744,0.743,0.742,95,-1,2
0,0.05,6,-1.0,4495,3639,3594,0.809,0.799,0.789,95,-1,2
0,0.05,5,-1.0,4495,4198,3781,0.934,0.841,0.7479999999999999,95,-1,2
0,0.05,4,-1.0,4495,6763,3813,1.504,0.848,0.19199999999999995,95,-1,2
0,0.05,3,-1.0,4495,9721,3115,2.162,0.693,-0.776,95,-1,2
0,0.05,9,-1.0,3901,2553,2553,0.654,0.654,0.654,80,-1,2
0,0.05,8,-1.0,3901,2735,2735,0.701,0.701,0.701,80,-1,2
0,0.05,7,-1.0,3901,2957,2954,0.758,0.757,0.756,80,-1,2
0,0.05,6,-1.0,3901,3172,3150,0.813,0.807,0.8010000000000002,80,-1,2
0,0.05,5,-1.0,3901,3658,3324,0.937,0.852,0.7669999999999999,80,-1,2
0,0.05,4,-1.0,3901,5827,3333,1.493,0.854,0.21499999999999986,80,-1,2
0,0.05,3,-1.0,3901,8422,2741,2.158,0.702,-0.754,80,-1,2
0,0.05,9,-1.0,8719,5695,5693,0.653,0.653,0.653,185,-1,1
0,0.05,8,-1.0,8719,6139,6134,0.704,0.703,0.702,185,-1,1
0,0.05,7,-1.0,8719,6597,6581,0.757,0.755,0.753,185,-1,1
0,0.05,6,-1.0,8719,7150,7039,0.82,0.807,0.7940000000000002,185,-1,1
0,0.05,5,-1.0,8719,8590,7462,0.985,0.856,0.727,185,-1,1
0,0.05,4,-1.0,8719,14651,7554,1.68,0.866,0.052000000000000046,185,-1,1
0,0.05,3,-1.0,8719,23319,6249,2.674,0.717,-1.24,185,-1,1
0,0.05,9,-1.0,8109,5261,5259,0.649,0.648,0.647,170,-1,1
0,0.05,8,-1.0,8109,5682,5678,0.701,0.7,0.699,170,-1,1
0,0.05,7,-1.0,8109,6057,6049,0.747,0.746,0.745,170,-1,1
0,0.05,6,-1.0,8109,6571,6478,0.81,0.799,0.788,170,-1,1
0,0.05,5,-1.0,8109,7849,6865,0.968,0.846,0.724,170,-1,1
0,0.05,4,-1.0,8109,13628,6993,1.68,0.862,0.04400000000000004,170,-1,1
0,0.05,3,-1.0,8109,21616,5816,2.665,0.717,-1.231,170,-1,1
0,0.05,9,-1.0,7194,4632,4631,0.644,0.644,0.644,155,-1,1
0,0.05,8,-1.0,7194,5005,5002,0.696,0.695,0.694,155,-1,1
0,0.05,7,-1.0,7194,5364,5355,0.746,0.744,0.742,155,-1,1
0,0.05,6,-1.0,7194,5857,5771,0.814,0.802,0.7900000000000001,155,-1,1
0,0.05,5,-1.0,7194,6944,6111,0.965,0.849,0.733,155,-1,1
0,0.05,4,-1.0,7194,12028,6182,1.672,0.859,0.04600000000000004,155,-1,1
0,0.05,3,-1.0,7194,19450,5059,2.703,0.703,-1.297,155,-1,1
0,0.05,9,-1.0,6609,4235,4234,0.641,0.641,0.641,140,-1,1
0,0.05,8,-1.0,6609,4557,4557,0.689,0.689,0.689,140,-1,1
0,0.05,7,-1.0,6609,4892,4888,0.74,0.739,0.738,140,-1,1
0,0.05,6,-1.0,6609,5322,5256,0.805,0.795,0.785,140,-1,1
0,0.05,5,-1.0,6609,6335,5588,0.958,0.845,0.732,140,-1,1
0,0.05,4,-1.0,6609,10768,5648,1.629,0.854,0.07899999999999996,140,-1,1
0,0.05,3,-1.0,6609,17505,4678,2.648,0.708,-1.2320000000000002,140,-1,1
0,0.05,9,-1.0,5921,3861,3860,0.652,0.652,0.652,125,-1,1
0,0.05,8,-1.0,5921,4171,4170,0.704,0.704,0.704,125,-1,1
0,0.05,7,-1.0,5921,4459,4451,0.753,0.752,0.751,125,-1,1
0,0.05,6,-1.0,5921,4810,4747,0.812,0.802,0.792,125,-1,1
0,0.05,5,-1.0,5921,5697,5032,0.962,0.85,0.738,125,-1,1
0,0.05,4,-1.0,5921,9708,5111,1.639,0.863,0.08699999999999997,125,-1,1
0,0.05,3,-1.0,5921,15740,4257,2.658,0.719,-1.22,125,-1,1
0,0.05,9,-1.0,5171,3398,3398,0.657,0.657,0.657,110,-1,1
0,0.05,8,-1.0,5171,3654,3654,0.706,0.706,0.706,110,-1,1
0,0.05,7,-1.0,5171,3924,3915,0.759,0.757,0.755,110,-1,1
0,0.05,6,-1.0,5171,4220,4175,0.816,0.807,0.7980000000000002,110,-1,1
0,0.05,5,-1.0,5171,4923,4387,0.952,0.848,0.744,110,-1,1
0,0.05,4,-1.0,5171,8371,4390,1.619,0.849,0.07899999999999996,110,-1,1
