InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio
0,0.05,6,-1.0,8818,4140,4140,0.469,0.469,0.469,185,-1
0,0.05,5,-1.0,8818,4682,4646,0.531,0.527,0.523,185,-1
0,0.05,4,-1.0,8818,5509,5022,0.625,0.569,0.5129999999999999,185,-1
0,0.05,3,-1.0,8818,3729,2336,0.423,0.265,0.10700000000000004,185,-1
0,0.05,2,-1.0,8818,0,0,0.0,0.0,0.0,185,-1
0,0.05,6,-1.0,8084,3730,3729,0.461,0.461,0.461,170,-1
0,0.05,5,-1.0,8084,4264,4238,0.527,0.524,0.521,170,-1
0,0.05,4,-1.0,8084,5011,4623,0.62,0.572,0.5239999999999999,170,-1
0,0.05,3,-1.0,8084,3526,2222,0.436,0.275,0.11400000000000005,170,-1
0,0.05,2,-1.0,8084,0,0,0.0,0.0,0.0,170,-1
0,0.05,6,-1.0,7327,3438,3436,0.469,0.469,0.469,155,-1
0,0.05,5,-1.0,7327,3897,3875,0.532,0.529,0.526,155,-1
0,0.05,4,-1.0,7327,4534,4192,0.619,0.572,0.5249999999999999,155,-1
0,0.05,3,-1.0,7327,3107,1928,0.424,0.263,0.10200000000000004,155,-1
0,0.05,2,-1.0,7327,0,0,0.0,0.0,0.0,155,-1
0,0.05,6,-1.0,6633,3002,3002,0.453,0.453,0.453,140,-1
0,0.05,5,-1.0,6633,3429,3419,0.517,0.515,0.513,140,-1
0,0.05,4,-1.0,6633,3948,3663,0.595,0.552,0.5090000000000001,140,-1
0,0.05,3,-1.0,6633,2848,1717,0.429,0.259,0.08900000000000002,140,-1
0,0.05,2,-1.0,6633,0,0,0.0,0.0,0.0,140,-1
0,0.05,6,-1.0,5988,2634,2633,0.44,0.44,0.44,125,-1
0,0.05,5,-1.0,5988,3006,2987,0.502,0.499,0.496,125,-1
0,0.05,4,-1.0,5988,3500,3243,0.584,0.541,0.4980000000000001,125,-1
0,0.05,3,-1.0,5988,2503,1551,0.418,0.259,0.10000000000000003,125,-1
0,0.05,2,-1.0,5988,0,0,0.0,0.0,0.0,125,-1
0,0.05,6,-1.0,5292,2236,2236,0.422,0.422,0.422,110,-1
0,0.05,5,-1.0,5292,2610,2599,0.493,0.491,0.489,110,-1
0,0.05,4,-1.0,5292,3060,2864,0.578,0.541,0.5040000000000001,110,-1
0,0.05,3,-1.0,5292,2242,1389,0.424,0.262,0.10000000000000003,110,-1
0,0.05,2,-1.0,5292,0,0,0.0,0.0,0.0,110,-1
0,0.05,6,-1.0,4459,1770,1769,0.397,0.397,0.397,95,-1
0,0.05,5,-1.0,4459,2071,2049,0.464,0.459,0.454,95,-1
0,0.05,4,-1.0,4459,2485,2270,0.557,0.509,0.46099999999999997,95,-1
0,0.05,3,-1.0,4459,1803,1067,0.404,0.239,0.07399999999999995,95,-1
0,0.05,2,-1.0,4459,0,0,0.0,0.0,0.0,95,-1
0,0.05,6,-1.0,3872,1360,1360,0.351,0.351,0.351,80,-1
0,0.05,5,-1.0,3872,1636,1625,0.422,0.42,0.418,80,-1
0,0.05,4,-1.0,3872,1932,1787,0.499,0.461,0.42300000000000004,80,-1
0,0.05,3,-1.0,3872,1505,861,0.389,0.222,0.05499999999999999,80,-1
0,0.05,2,-1.0,3872,0,0,0.0,0.0,0.0,80,-1
0,0.05,6,-1.0,3236,956,956,0.295,0.295,0.295,65,-1
0,0.05,5,-1.0,3236,1165,1157,0.36,0.357,0.354,65,-1
0,0.05,4,-1.0,3236,1394,1288,0.431,0.398,0.36500000000000005,65,-1
0,0.05,3,-1.0,3236,1185,640,0.366,0.198,0.030000000000000027,65,-1
0,0.05,2,-1.0,3236,0,0,0.0,0.0,0.0,65,-1
0,0.05,6,-1.0,2284,504,504,0.221,0.221,0.221,50,-1
0,0.05,5,-1.0,2284,607,603,0.266,0.264,0.262,50,-1
0,0.05,4,-1.0,2284,846,778,0.37,0.34,0.31000000000000005,50,-1
0,0.05,3,-1.0,2284,756,402,0.331,0.176,0.020999999999999963,50,-1
0,0.05,2,-1.0,2284,0,0,0.0,0.0,0.0,50,-1
0,0.05,6,-1.0,1695,77,77,0.045,0.045,0.045,35,-1
0,0.05,5,-1.0,1695,226,225,0.133,0.133,0.133,35,-1
0,0.05,4,-1.0,1695,399,373,0.235,0.22,0.20500000000000002,35,-1
0,0.05,3,-1.0,1695,470,272,0.277,0.16,0.04299999999999998,35,-1
0,0.05,2,-1.0,1695,13,1,0.008,0.001,-0.006,35,-1
0,0.05,6,-1.0,942,0,0,0.0,0.0,0.0,20,-1
0,0.05,5,-1.0,942,0,0,0.0,0.0,0.0,20,-1
0,0.05,4,-1.0,942,0,0,0.0,0.0,0.0,20,-1
0,0.05,3,-1.0,942,4,3,0.004,0.003,0.002,20,-1
0,0.05,2,-1.0,942,31,8,0.033,0.008,-0.017,20,-1
