InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha
0,0.05,5,-1.0,2372,2067,1920,0.871,0.809,0.7470000000000001,50,-1,3
0,0.05,4,-1.0,2372,2989,1951,1.26,0.822,0.3839999999999999,50,-1,3
0,0.05,3,-1.0,2372,4648,1596,1.959,0.673,-0.613,50,-1,3
0,0.05,11,-1.0,1678,599,599,0.357,0.357,0.357,35,-1,3
0,0.05,10,-1.0,1678,705,705,0.42,0.42,0.42,35,-1,3
0,0.05,9,-1.0,1678,819,819,0.488,0.488,0.488,35,-1,3
0,0.05,8,-1.0,1678,948,948,0.565,0.565,0.565,35,-1,3
0,0.05,7,-1.0,1678,1065,1063,0.634,0.633,0.632,35,-1,3
0,0.05,6,-1.0,1678,1194,1183,0.711,0.705,0.699,35,-1,3
0,0.05,5,-1.0,1678,1396,1305,0.831,0.777,0.7230000000000001,35,-1,3
0,0.05,4,-1.0,1678,2095,1322,1.248,0.787,0.32600000000000007,35,-1,3
0,0.05,3,-1.0,1678,3293,1126,1.961,0.671,-0.619,35,-1,3
0,0.05,11,-1.0,970,342,342,0.352,0.352,0.352,20,-1,3
0,0.05,10,-1.0,970,392,392,0.404,0.404,0.404,20,-1,3
0,0.05,9,-1.0,970,456,456,0.47,0.47,0.47,20,-1,3
0,0.05,8,-1.0,970,523,523,0.539,0.539,0.539,20,-1,3
0,0.05,7,-1.0,970,597,597,0.615,0.615,0.615,20,-1,3
0,0.05,6,-1.0,970,677,673,0.697,0.693,0.689,20,-1,3
0,0.05,5,-1.0,970,819,763,0.843,0.786,0.7290000000000001,20,-1,3
0,0.05,4,-1.0,970,1198,780,1.234,0.803,0.3720000000000001,20,-1,3
0,0.05,3,-1.0,970,1953,661,2.011,0.681,-0.649,20,-1,3
0,0.05,11,-1.0,3727,1467,1467,0.394,0.394,0.394,80,-1,2
0,0.05,10,-1.0,3727,1717,1717,0.461,0.461,0.461,80,-1,2
0,0.05,9,-1.0,3727,1964,1964,0.527,0.527,0.527,80,-1,2
0,0.05,8,-1.0,3727,2224,2224,0.597,0.597,0.597,80,-1,2
0,0.05,7,-1.0,3727,2476,2475,0.664,0.664,0.664,80,-1,2
0,0.05,6,-1.0,3727,2805,2771,0.752,0.743,0.734,80,-1,2
0,0.05,5,-1.0,3727,3242,2989,0.87,0.802,0.7340000000000001,80,-1,2
0,0.05,4,-1.0,3727,5107,3090,1.37,0.829,0.2879999999999998,80,-1,2
0,0.05,3,-1.0,3727,8071,2578,2.165,0.692,-0.7810000000000001,80,-1,2
0,0.05,11,-1.0,3150,1217,1217,0.386,0.386,0.386,65,-1,2
0,0.05,10,-1.0,3150,1392,1392,0.442,0.442,0.442,65,-1,2
0,0.05,9,-1.0,3150,1620,1620,0.514,0.514,0.514,65,-1,2
0,0.05,8,-1.0,3150,1836,1836,0.583,0.583,0.583,65,-1,2
0,0.05,7,-1.0,3150,2083,2078,0.661,0.659,0.657,65,-1,2
0,0.05,6,-1.0,3150,2333,2307,0.74,0.732,0.724,65,-1,2
0,0.05,5,-1.0,3150,2696,2502,0.856,0.794,0.7320000000000001,65,-1,2
0,0.05,4,-1.0,3150,4146,2588,1.316,0.821,0.32599999999999985,65,-1,2
0,0.05,3,-1.0,3150,6798,2234,2.157,0.709,-0.7390000000000001,65,-1,2
0,0.05,11,-1.0,2400,836,836,0.348,0.348,0.348,50,-1,2
0,0.05,10,-1.0,2400,989,989,0.412,0.412,0.412,50,-1,2
0,0.05,9,-1.0,2400,1172,1172,0.488,0.488,0.488,50,-1,2
0,0.05,8,-1.0,2400,1359,1359,0.566,0.566,0.566,50,-1,2
0,0.05,7,-1.0,2400,1569,1566,0.653,0.652,0.651,50,-1,2
0,0.05,6,-1.0,2400,1773,1753,0.738,0.73,0.722,50,-1,2
0,0.05,5,-1.0,2400,2073,1915,0.863,0.798,0.7330000000000001,50,-1,2
0,0.05,4,-1.0,2400,3145,1951,1.31,0.813,0.31599999999999984,50,-1,2
0,0.05,3,-1.0,2400,5151,1679,2.145,0.699,-0.7470000000000001,50,-1,2
0,0.05,11,-1.0,1653,552,552,0.334,0.334,0.334,35,-1,2
0,0.05,10,-1.0,1653,648,648,0.392,0.392,0.392,35,-1,2
0,0.05,9,-1.0,1653,764,764,0.462,0.462,0.462,35,-1,2
0,0.05,8,-1.0,1653,893,893,0.54,0.54,0.54,35,-1,2
0,0.05,7,-1.0,1653,1038,1036,0.628,0.626,0.624,35,-1,2
0,0.05,6,-1.0,1653,1161,1144,0.702,0.692,0.6819999999999999,35,-1,2
0,0.05,5,-1.0,1653,1386,1267,0.838,0.766,0.6940000000000001,35,-1,2
0,0.05,4,-1.0,1653,2174,1329,1.314,0.804,0.29400000000000004,35,-1,2
0,0.05,3,-1.0,1653,3585,1149,2.167,0.695,-0.7769999999999999,35,-1,2
0,0.05,11,-1.0,946,314,314,0.332,0.332,0.332,20,-1,2
0,0.05,10,-1.0,946,357,357,0.377,0.377,0.377,20,-1,2
0,0.05,9,-1.0,946,428,428,0.452,0.452,0.452,20,-1,2
0,0.05,8,-1.0,946,488,488,0.515,0.515,0.515,20,-1,2
0,0.05,7,-1.0,946,556,555,0.587,0.586,0.585,20,-1,2
0,0.05,6,-1.0,946,648,642,0.684,0.678,0.672,20,-1,2
0,0.05,5,-1.0,946,765,713,0.808,0.753,0.698,20,-1,2
0,0.05,4,-1.0,946,1215,759,1.283,0.801,0.3190000000000002,20,-1,2
0,0.05,3,-1.0,946,2024,652,2.137,0.688,-0.7610000000000001,20,-1,2
0,0.05,11,-1.0,3801,1587,1587,0.417,0.417,0.417,80,-1,1
0,0.05,10,-1.0,3801,1840,1840,0.484,0.484,0.484,80,-1,1
0,0.05,9,-1.0,3801,2093,2091,0.55,0.55,0.55,80,-1,1
0,0.05,8,-1.0,3801,2338,2336,0.615,0.614,0.613,80,-1,1
0,0.05,7,-1.0,3801,2564,2560,0.674,0.673,0.672,80,-1,1
0,0.05,6,-1.0,3801,2883,2852,0.758,0.75,0.742,80,-1,1
0,0.05,5,-1.0,3801,3371,3089,0.887,0.812,0.7370000000000001,80,-1,1
0,0.05,4,-1.0,3801,5622,3189,1.479,0.839,0.19899999999999984,80,-1,1
0,0.05,3,-1.0,3801,10226,2685,2.69,0.706,-1.278,80,-1,1
0,0.05,11,-1.0,3110,1154,1150,0.371,0.37,0.369,65,-1,1
0,0.05,10,-1.0,3110,1318,1313,0.424,0.422,0.42,65,-1,1
0,0.05,9,-1.0,3110,1518,1515,0.488,0.487,0.486,65,-1,1
0,0.05,8,-1.0,3110,1723,1719,0.554,0.553,0.552,65,-1,1
0,0.05,7,-1.0,3110,1975,1968,0.635,0.633,0.631,65,-1,1
0,0.05,6,-1.0,3110,2257,2230,0.725,0.717,0.709,65,-1,1
0,0.05,5,-1.0,3110,2659,2433,0.855,0.782,0.7090000000000001,65,-1,1
0,0.05,4,-1.0,3110,4428,2551,1.423,0.82,0.21699999999999986,65,-1,1
0,0.05,3,-1.0,3110,8273,2186,2.659,0.703,-1.253,65,-1,1
0,0.05,11,-1.0,2350,849,847,0.361,0.36,0.359,50,-1,1
0,0.05,10,-1.0,2350,983,981,0.418,0.417,0.416,50,-1,1
0,0.05,9,-1.0,2350,1123,1118,0.478,0.476,0.474,50,-1,1
0,0.05,8,-1.0,2350,1294,1292,0.55,0.55,0.55,50,-1,1
0,0.05,7,-1.0,2350,1468,1464,0.624,0.623,0.622,50,-1,1
0,0.05,6,-1.0,2350,1649,1628,0.701,0.692,0.6829999999999999,50,-1,1
0,0.05,5,-1.0,2350,1926,1771,0.819,0.753,0.687,50,-1,1
0,0.05,4,-1.0,2350,3243,1888,1.379,0.803,0.2270000000000001,50,-1,1
0,0.05,3,-1.0,2350,6334,1626,2.694,0.692,-1.31,50,-1,1
0,0.05,11,-1.0,1605,540,539,0.336,0.336,0.336,35,-1,1
0,0.05,10,-1.0,1605,639,638,0.398,0.397,0.396,35,-1,1
0,0.05,9,-1.0,1605,731,730,0.455,0.455,0.455,35,-1,1
0,0.05,8,-1.0,1605,854,852,0.532,0.531,0.53,35,-1,1
0,0.05,7,-1.0,1605,953,948,0.593,0.59,0.587,35,-1,1
0,0.05,6,-1.0,1605,1078,1064,0.671,0.663,0.655,35,-1,1
0,0.05,5,-1.0,1605,1305,1192,0.813,0.742,0.671,35,-1,1
0,0.05,4,-1.0,1605,2170,1276,1.351,0.795,0.2390000000000001,35,-1,1
0,0.05,3,-1.0,1605,4288,1122,2.67,0.699,-1.272,35,-1,1
0,0.05,11,-1.0,991,296,296,0.298,0.298,0.298,20,-1,1
0,0.05,10,-1.0,991,351,351,0.354,0.354,0.354,20,-1,1
0,0.05,9,-1.0,991,391,391,0.394,0.394,0.394,20,-1,1
0,0.05,8,-1.0,991,441,440,0.445,0.444,0.443,20,-1,1
0,0.05,7,-1.0,991,510,508,0.514,0.512,0.51,20,-1,1
0,0.05,6,-1.0,991,597,587,0.602,0.592,0.582,20,-1,1
0,0.05,5,-1.0,991,724,657,0.73,0.662,0.5940000000000001,20,-1,1
0,0.05,4,-1.0,991,1247,735,1.257,0.741,0.2250000000000001,20,-1,1
0,0.05,3,-1.0,991,2570,660,2.591,0.665,-1.2610000000000001,20,-1,1
0,0.05,11,-1.0,3745,1662,1467,0.444,0.392,0.34,80,-1,0
0,0.05,10,-1.0,3745,1858,1656,0.496,0.442,0.388,80,-1,0
0,0.05,9,-1.0,3745,2091,1889,0.558,0.504,0.44999999999999996,80,-1,0
0,0.05,8,-1.0,3745,2355,2147,0.629,0.573,0.5169999999999999,80,-1,0
0,0.05,7,-1.0,3745,2606,2400,0.696,0.641,0.5860000000000001,80,-1,0
0,0.05,6,-1.0,3745,2928,2668,0.782,0.712,0.6419999999999999,80,-1,0
0,0.05,5,-1.0,3745,3639,2961,0.971,0.79,0.6090000000000001,80,-1,0
0,0.05,4,-1.0,3745,7622,3140,2.035,0.838,-0.3590000000000002,80,-1,0
0,0.05,3,-1.0,3745,18964,2784,5.062,0.743,-3.5760000000000005,80,-1,0
0,0.05,11,-1.0,3127,1251,1073,0.4,0.343,0.28600000000000003,65,-1,0
0,0.05,10,-1.0,3127,1387,1213,0.443,0.388,0.333,65,-1,0
0,0.05,9,-1.0,3127,1580,1407,0.505,0.45,0.395,65,-1,0
0,0.05,8,-1.0,3127,1792,1621,0.573,0.518,0.4630000000000001,65,-1,0
0,0.05,7,-1.0,3127,1994,1815,0.637,0.58,0.5229999999999999,65,-1,0
0,0.05,6,-1.0,3127,2246,2056,0.718,0.657,0.5960000000000001,65,-1,0
0,0.05,5,-1.0,3127,2783,2263,0.89,0.723,0.5559999999999999,65,-1,0
0,0.05,4,-1.0,3127,5783,2465,1.849,0.788,-0.2729999999999999,65,-1,0
0,0.05,3,-1.0,3127,15472,2307,4.946,0.738,-3.4699999999999998,65,-1,0
0,0.05,11,-1.0,2391,885,784,0.37,0.328,0.28600000000000003,50,-1,0
0,0.05,10,-1.0,2391,1004,888,0.42,0.371,0.322,50,-1,0
0,0.05,9,-1.0,2391,1139,999,0.476,0.418,0.36,50,-1,0
0,0.05,8,-1.0,2391,1281,1140,0.536,0.477,0.4179999999999999,50,-1,0
0,0.05,7,-1.0,2391,1446,1297,0.605,0.542,0.4790000000000001,50,-1,0
0,0.05,6,-1.0,2391,1649,1473,0.689,0.616,0.543,50,-1,0
0,0.05,5,-1.0,2391,2025,1627,0.847,0.68,0.5130000000000001,50,-1,0
0,0.05,4,-1.0,2391,4006,1806,1.675,0.755,-0.16500000000000004,50,-1,0
0,0.05,3,-1.0,2391,11458,1755,4.79,0.734,-3.322,50,-1,0
0,0.05,11,-1.0,1680,506,458,0.301,0.272,0.24300000000000005,35,-1,0
0,0.05,10,-1.0,1680,582,528,0.346,0.314,0.28200000000000003,35,-1,0
0,0.05,9,-1.0,1680,661,597,0.393,0.355,0.31699999999999995,35,-1,0
0,0.05,8,-1.0,1680,753,682,0.448,0.406,0.36400000000000005,35,-1,0
0,0.05,7,-1.0,1680,849,776,0.505,0.462,0.41900000000000004,35,-1,0
0,0.05,6,-1.0,1680,954,869,0.568,0.517,0.4660000000000001,35,-1,0
0,0.05,5,-1.0,1680,1166,982,0.694,0.584,0.474,35,-1,0
0,0.05,4,-1.0,1680,2278,1121,1.355,0.667,-0.020999999999999908,35,-1,0
0,0.05,3,-1.0,1680,7495,1197,4.459,0.712,-3.0349999999999997,35,-1,0
0,0.05,11,-1.0,902,256,244,0.283,0.27,0.25700000000000006,20,-1,0
