InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Coverage Depth,Ratio
1000,0.1,5,-1.0,97,2,2,0.021,0.02,1,0.4
1000,0.1,4,-1.0,97,4,4,0.041,0.041,1,0.4
1000,0.1,3,-1.0,97,11,11,0.113,0.112,1,0.4
1000,0.1,2,-1.0,97,19,17,0.196,0.173,1,0.4
1000,0.1,5,-1.0,91,2,2,0.022,0.022,1,0.7
1000,0.1,4,-1.0,91,5,5,0.055,0.054,1,0.7
1000,0.1,3,-1.0,91,21,20,0.231,0.217,1,0.7
1000,0.1,2,-1.0,91,33,27,0.363,0.293,1,0.7
1000,0.1,5,-1.0,87,3,3,0.034,0.034,1,0.6
1000,0.1,4,-1.0,87,8,8,0.092,0.091,1,0.6
1000,0.1,3,-1.0,87,15,14,0.172,0.159,1,0.6
1000,0.1,2,-1.0,87,28,22,0.322,0.25,1,0.6
1000,0.1,5,-1.0,85,4,4,0.047,0.047,1,0.5
1000,0.1,4,-1.0,85,10,10,0.118,0.116,1,0.5
1000,0.1,3,-1.0,85,12,12,0.141,0.14,1,0.5
1000,0.1,2,-1.0,85,12,11,0.141,0.128,1,0.5
1000,0.1,5,-1.0,130,4,4,0.031,0.031,1,0.4
1000,0.1,4,-1.0,130,5,5,0.038,0.038,1,0.4
1000,0.1,3,-1.0,130,7,7,0.054,0.053,1,0.4
1000,0.1,2,-1.0,130,14,12,0.108,0.092,1,0.4
1000,0.1,5,-1.0,98,0,0,0.0,0.0,1,0.4
1000,0.1,4,-1.0,98,2,2,0.02,0.02,1,0.4
1000,0.1,3,-1.0,98,5,4,0.051,0.04,1,0.4
1000,0.1,2,-1.0,98,7,4,0.071,0.04,1,0.4
10000,0.1,5,-1.0,1013,98,90,0.097,0.089,1,0.6
10000,0.1,4,-1.0,1013,181,167,0.179,0.165,1,0.6
10000,0.1,3,-1.0,1013,298,248,0.294,0.245,1,0.6
10000,0.1,2,-1.0,1013,397,279,0.392,0.275,1,0.6
1000,0.1,5,-1.0,100,3,3,0.03,0.03,1,0.6
1000,0.1,4,-1.0,100,9,9,0.09,0.089,1,0.6
1000,0.1,3,-1.0,100,14,14,0.14,0.139,1,0.6
1000,0.1,2,-1.0,100,25,24,0.25,0.238,1,0.6
1000,0.1,5,-1.0,91,0,0,0.0,0.0,1,0.6
1000,0.1,4,-1.0,91,1,1,0.011,0.011,1,0.6
1000,0.1,3,-1.0,91,4,4,0.044,0.043,1,0.6
1000,0.1,2,-1.0,91,19,17,0.209,0.185,1,0.6
1000,0.1,5,-1.0,95,982,2,10.337,0.021,1,0.6
1000,0.1,5,-1.0,95,2,2,0.021,0.021,1,0.6
1000,0.1,4,-1.0,95,4,4,0.042,0.042,1,0.6
1000,0.1,3,-1.0,95,11,10,0.116,0.104,1,0.6
1000,0.1,2,-1.0,95,26,20,0.274,0.208,1,0.6
1000,0.1,5,-1.0,95,6,6,0.063,0.062,1,0.6
1000,0.1,4,-1.0,95,14,14,0.147,0.146,1,0.6
1000,0.1,3,-1.0,95,17,17,0.179,0.177,1,0.6
1000,0.1,2,-1.0,95,22,22,0.232,0.229,1,0.6
1000,0.1,5,-1.0,127,3,3,0.024,0.023,1,0.6
1000,0.1,4,-1.0,127,2,2,0.016,0.016,1,0.6
1000,0.1,3,-1.0,127,6,6,0.047,0.047,1,0.6
1000,0.1,2,-1.0,127,21,19,0.165,0.148,1,0.6
1000,0.1,5,-1.0,98,5,3,0.051,0.03,1,0.6
1000,0.1,4,-1.0,98,7,5,0.071,0.051,1,0.6
1000,0.1,3,-1.0,98,15,13,0.153,0.131,1,0.6
1000,0.1,2,-1.0,98,26,19,0.265,0.192,1,0.6
1000,0.1,5,-1.0,102,4,4,0.039,0.039,1,0.6
1000,0.1,4,-1.0,102,7,6,0.069,0.058,1,0.6
1000,0.1,3,-1.0,102,16,15,0.157,0.146,1,0.6
1000,0.1,2,-1.0,102,26,24,0.255,0.233,1,0.6
1000,0.1,5,-1.0,106,1,1,0.009,0.009,1,0.6
1000,0.1,4,-1.0,106,4,4,0.038,0.037,1,0.6
1000,0.1,3,-1.0,106,11,11,0.104,0.103,1,0.6
1000,0.1,2,-1.0,106,16,14,0.151,0.131,1,0.6
1000,0.1,5,-1.0,91,0,0,0.0,0.0,1,0.6
1000,0.1,4,-1.0,91,7,6,0.077,0.065,1,0.6
1000,0.1,3,-1.0,91,11,10,0.121,0.109,1,0.6
1000,0.1,2,-1.0,91,17,13,0.187,0.141,1,0.6
1000,0.1,5,-1.0,102,5,5,0.049,0.049,1,0.6
1000,0.1,4,-1.0,102,7,7,0.069,0.068,1,0.6
1000,0.1,3,-1.0,102,16,16,0.157,0.155,1,0.6
1000,0.1,2,-1.0,102,17,17,0.167,0.165,1,0.6
1000,0.1,5,-1.0,100,3,3,0.03,0.03,1,0.6
1000,0.1,4,-1.0,100,6,6,0.06,0.059,1,0.6
1000,0.1,3,-1.0,100,7,7,0.07,0.069,1,0.6
1000,0.1,2,-1.0,100,27,25,0.27,0.248,1,0.6
1000,0.1,5,-1.0,123,0,0,0.0,0.0,1,0.6
1000,0.1,4,-1.0,123,3,3,0.024,0.024,1,0.6
1000,0.1,3,-1.0,123,4,3,0.033,0.024,1,0.6
1000,0.1,2,-1.0,123,11,9,0.089,0.073,1,0.6
1000,0.1,5,-1.0,95,1,1,0.011,0.01,1,0.6
1000,0.1,4,-1.0,95,4,4,0.042,0.042,1,0.6
1000,0.1,3,-1.0,95,15,15,0.158,0.156,1,0.6
1000,0.1,2,-1.0,95,23,19,0.242,0.198,1,0.6
1000,0.1,5,-1.0,94,11,3,0.117,0.032,1,0.6
1000,0.1,5,-1.0,94,3,3,0.032,0.032,1,0.6
1000,0.1,4,-1.0,94,3,3,0.032,0.032,1,0.6
1000,0.1,3,-1.0,94,11,11,0.117,0.116,1,0.6
1000,0.1,2,-1.0,94,21,20,0.223,0.211,1,0.6
1000,0.1,5,-1.0,111,6,1,0.054,0.009,1,0.3
1000,0.1,5,-1.0,111,1,1,0.009,0.009,1,0.3
1000,0.1,4,-1.0,111,0,0,0.0,0.0,1,0.3
1000,0.1,3,-1.0,111,6,5,0.054,0.045,1,0.3
1000,0.1,2,-1.0,111,13,7,0.117,0.062,1,0.3
1000,0.1,5,-1.0,99,2,1,0.02,0.01,1,0.3
1000,0.1,5,-1.0,99,1,1,0.01,0.01,1,0.3
1000,0.1,4,-1.0,99,2,2,0.02,0.02,1,0.3
1000,0.1,3,-1.0,99,4,4,0.04,0.04,1,0.3
1000,0.1,2,-1.0,99,9,6,0.091,0.06,1,0.3
1000,0.1,1,-1.0,99,0,0,0.0,0.0,1,0.3
100,0.1,5,-1.0,4,0,0,0.0,0.0,1,0.3
100,0.1,5,-1.0,4,0,0,0.0,0.0,1,0.3
100,0.1,4,-1.0,4,0,0,0.0,0.0,1,0.3
100,0.1,3,-1.0,4,0,0,0.0,0.0,1,0.3
100,0.1,2,-1.0,4,0,0,0.0,0.0,1,0.3
100,0.1,1,-1.0,4,1,0,0.25,0.0,1,0.3
100,0.1,5,-1.0,11,1,0,0.091,0.0,1,0.7
100,0.1,5,-1.0,11,0,0,0.0,0.0,1,0.7
100,0.1,4,-1.0,11,0,0,0.0,0.0,1,0.7
100,0.1,3,-1.0,11,1,1,0.091,0.083,1,0.7
100,0.1,2,-1.0,11,1,1,0.091,0.083,1,0.7
100,0.1,1,-1.0,11,3,3,0.273,0.25,1,0.7
100,0.1,5,-1.0,17,0,0,0.0,0.0,1,0.6
100,0.1,5,-1.0,17,0,0,0.0,0.0,1,0.6
100,0.1,4,-1.0,17,0,0,0.0,0.0,1,0.6
100,0.1,3,-1.0,17,0,0,0.0,0.0,1,0.6
100,0.1,2,-1.0,17,0,0,0.0,0.0,1,0.6
100,0.1,1,-1.0,17,1,1,0.059,0.056,1,0.6
100,0.1,5,-1.0,3,0,0,0.0,0.0,1,0.5
100,0.1,5,-1.0,3,0,0,0.0,0.0,1,0.5
100,0.1,4,-1.0,3,0,0,0.0,0.0,1,0.5
100,0.1,3,-1.0,3,0,0,0.0,0.0,1,0.5
100,0.1,2,-1.0,3,1,0,0.333,0.0,1,0.5
100,0.1,1,-1.0,3,1,0,0.333,0.0,1,0.5
100,0.1,5,-1.0,11,1,0,0.091,0.0,1,0.4
100,0.1,5,-1.0,11,0,0,0.0,0.0,1,0.4
100,0.1,4,-1.0,11,0,0,0.0,0.0,1,0.4
100,0.1,3,-1.0,11,1,1,0.091,0.083,1,0.4
100,0.1,2,-1.0,11,1,1,0.091,0.083,1,0.4
100,0.1,1,-1.0,11,1,1,0.091,0.083,1,0.4
100,0.1,5,-1.0,7,0,0,0.0,0.0,1,0.3
100,0.1,5,-1.0,7,0,0,0.0,0.0,1,0.3
100,0.1,4,-1.0,7,0,0,0.0,0.0,1,0.3
100,0.1,3,-1.0,7,0,0,0.0,0.0,1,0.3
100,0.1,2,-1.0,7,0,0,0.0,0.0,1,0.3
100,0.1,1,-1.0,7,2,0,0.286,0.0,1,0.3
100,0.1,5,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,4,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,3,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,2,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,1,-1.0,9,2,1,0.222,0.1,1,0.3
100,0.1,1,-1.0,8,0,0,0.0,0.0,1,0.3
100,0.1,5,-1.0,10,0,0,0.0,0.0,1,0.3
100,0.1,4,-1.0,10,0,0,0.0,0.0,1,0.3
100,0.1,3,-1.0,10,0,0,0.0,0.0,1,0.3
100,0.1,2,-1.0,10,0,0,0.0,0.0,1,0.3
100,0.1,1,-1.0,10,1,0,0.1,0.0,1,0.3
100,0.1,5,-1.0,15,0,0,0.0,0.0,1,0.4
100,0.1,4,-1.0,15,0,0,0.0,0.0,1,0.4
100,0.1,3,-1.0,15,0,0,0.0,0.0,1,0.4
100,0.1,2,-1.0,15,1,1,0.067,0.062,1,0.4
100,0.1,1,-1.0,15,1,0,0.067,0.0,1,0.4
100,0.1,5,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,4,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,3,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,2,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,1,-1.0,9,0,0,0.0,0.0,1,0.3
100,0.1,5,-1.0,5,0,0,0.0,0.0,1,0.3
100,0.1,4,-1.0,5,0,0,0.0,0.0,1,0.3
100,0.1,3,-1.0,5,0,0,0.0,0.0,1,0.3
100,0.1,2,-1.0,5,0,0,0.0,0.0,1,0.3
100,0.1,1,-1.0,5,0,0,0.0,0.0,1,0.3
100,0.1,5,0.97,7,3,3,0.429,0.375,1.0
100,0.1,4,0.97,7,3,3,0.429,0.375,1.0
100,0.1,3,0.97,7,3,3,0.429,0.375,1.0
100,0.1,2,0.97,7,4,4,0.571,0.5,1.0
100,0.1,1,0.97,7,4,4,0.571,0.5,1.0
100,0.1,5,0.97,4,0,0,0.0,0.0,0.975
100,0.1,4,0.97,4,2,2,0.5,0.4,0.975
100,0.1,3,0.97,4,2,2,0.5,0.4,0.975
100,0.1,2,0.97,4,4,4,1.0,0.8,0.975
100,0.1,1,0.97,4,3,3,0.75,0.6,0.975
100,0.1,5,0.97,5,0,0,0.0,0.0,0.95
100,0.1,4,0.97,5,3,3,0.6,0.5,0.95
100,0.1,3,0.97,5,3,3,0.6,0.5,0.95
100,0.1,2,0.97,5,3,3,0.6,0.5,0.95
100,0.1,1,0.97,5,1,0,0.2,0.0,0.95
100,0.1,5,0.97,7,1,1,0.143,0.125,0.925
100,0.1,4,0.97,7,3,3,0.429,0.375,0.925
100,0.1,3,0.97,7,5,5,0.714,0.625,0.925
100,0.1,2,0.97,7,7,7,1.0,0.875,0.925
100,0.1,1,0.97,7,1,1,0.143,0.125,0.925
100,0.1,5,0.97,5,2,2,0.4,0.333,0.9
100,0.1,4,0.97,5,3,3,0.6,0.5,0.9
100,0.1,3,0.97,5,3,3,0.6,0.5,0.9
100,0.1,2,0.97,5,3,3,0.6,0.5,0.9
100,0.1,1,0.97,5,5,5,1.0,0.833,0.9
100,0.1,5,0.97,10,2,2,0.2,0.182,0.875
100,0.1,4,0.97,10,4,4,0.4,0.364,0.875
100,0.1,3,0.97,10,6,6,0.6,0.545,0.875
100,0.1,2,0.97,10,10,9,1.0,0.818,0.875
100,0.1,1,0.97,10,5,4,0.5,0.364,0.875
100,0.1,5,0.97,8,2,2,0.25,0.222,0.85
100,0.1,4,0.97,8,2,2,0.25,0.222,0.85
100,0.1,3,0.97,8,2,2,0.25,0.222,0.85
100,0.1,2,0.97,8,5,5,0.625,0.556,0.85
100,0.1,1,0.97,8,3,2,0.375,0.222,0.85
100,0.1,5,0.97,9,2,2,0.222,0.2,0.825
100,0.1,4,0.97,9,2,2,0.222,0.2,0.825
100,0.1,3,0.97,9,3,3,0.333,0.3,0.825
100,0.1,2,0.97,9,4,4,0.444,0.4,0.825
100,0.1,1,0.97,9,2,0,0.222,0.0,0.825
100,0.1,5,0.97,15,0,0,0.0,0.0,0.8
100,0.1,4,0.97,15,2,2,0.133,0.125,0.8
100,0.1,3,0.97,15,2,2,0.133,0.125,0.8
100,0.1,2,0.97,15,3,3,0.2,0.188,0.8
100,0.1,1,0.97,15,3,2,0.2,0.125,0.8
100,0.1,5,0.97,13,2,2,0.154,0.143,0.775
100,0.1,4,0.97,13,2,2,0.154,0.143,0.775
100,0.1,3,0.97,13,3,3,0.231,0.214,0.775
100,0.1,2,0.97,13,5,5,0.385,0.357,0.775
100,0.1,1,0.97,13,9,6,0.692,0.429,0.775
100,0.1,5,0.97,8,0,0,0.0,0.0,0.75
100,0.1,4,0.97,8,1,1,0.125,0.111,0.75
100,0.1,3,0.97,8,2,2,0.25,0.222,0.75
100,0.1,2,0.97,8,2,2,0.25,0.222,0.75
100,0.1,1,0.97,8,2,1,0.25,0.111,0.75
100,0.1,5,0.97,10,0,0,0.0,0.0,0.725
100,0.1,4,0.97,10,0,0,0.0,0.0,0.725
100,0.1,3,0.97,10,2,2,0.2,0.182,0.725
100,0.1,2,0.97,10,5,5,0.5,0.455,0.725
100,0.1,1,0.97,10,2,0,0.2,0.0,0.725
100,0.1,5,0.97,10,2,2,0.2,0.182,0.7
100,0.1,4,0.97,10,2,2,0.2,0.182,0.7
100,0.1,3,0.97,10,4,4,0.4,0.364,0.7
100,0.1,2,0.97,10,4,4,0.4,0.364,0.7
100,0.1,1,0.97,10,3,3,0.3,0.273,0.7
100,0.1,5,0.97,14,2,2,0.143,0.133,0.675
100,0.1,4,0.97,14,2,2,0.143,0.133,0.675
100,0.1,3,0.97,14,3,3,0.214,0.2,0.675
100,0.1,2,0.97,14,7,7,0.5,0.467,0.675
100,0.1,1,0.97,14,7,6,0.5,0.4,0.675
100,0.1,5,0.97,11,2,2,0.182,0.167,0.65
100,0.1,4,0.97,11,4,4,0.364,0.333,0.65
100,0.1,3,0.97,11,4,4,0.364,0.333,0.65
100,0.1,2,0.97,11,4,4,0.364,0.333,0.65
100,0.1,1,0.97,11,6,5,0.545,0.417,0.65
100,0.1,5,0.97,7,1,1,0.143,0.125,0.625
100,0.1,4,0.97,7,1,1,0.143,0.125,0.625
100,0.1,3,0.97,7,1,1,0.143,0.125,0.625
100,0.1,2,0.97,7,1,1,0.143,0.125,0.625
100,0.1,1,0.97,7,0,0,0.0,0.0,0.625
100,0.1,5,0.97,12,1,1,0.083,0.077,0.6
100,0.1,4,0.97,12,1,1,0.083,0.077,0.6
100,0.1,3,0.97,12,1,1,0.083,0.077,0.6
100,0.1,2,0.97,12,2,2,0.167,0.154,0.6
100,0.1,1,0.97,12,4,2,0.333,0.154,0.6
100,0.1,5,0.97,6,1,1,0.167,0.143,0.575
100,0.1,4,0.97,6,1,1,0.167,0.143,0.575
100,0.1,3,0.97,6,1,1,0.167,0.143,0.575
100,0.1,2,0.97,6,1,1,0.167,0.143,0.575
100,0.1,1,0.97,6,1,0,0.167,0.0,0.575
100,0.1,5,0.97,15,0,0,0.0,0.0,0.55
100,0.1,4,0.97,15,0,0,0.0,0.0,0.55
100,0.1,3,0.97,15,2,2,0.133,0.125,0.55
100,0.1,2,0.97,15,4,4,0.267,0.25,0.55
100,0.1,1,0.97,15,2,0,0.133,0.0,0.55
100,0.1,5,0.97,5,2,2,0.4,0.333,0.525
100,0.1,4,0.97,5,2,2,0.4,0.333,0.525
100,0.1,3,0.97,5,2,2,0.4,0.333,0.525
100,0.1,2,0.97,5,2,2,0.4,0.333,0.525
100,0.1,1,0.97,5,1,1,0.2,0.167,0.525
100,0.1,5,0.97,13,0,0,0.0,0.0,0.5
100,0.1,4,0.97,13,0,0,0.0,0.0,0.5
100,0.1,3,0.97,13,1,1,0.077,0.071,0.5
100,0.1,2,0.97,13,1,1,0.077,0.071,0.5
100,0.1,1,0.97,13,4,1,0.308,0.071,0.5
100,0.1,5,0.97,7,0,0,0.0,0.0,0.475
100,0.1,4,0.97,7,0,0,0.0,0.0,0.475
100,0.1,3,0.97,7,2,2,0.286,0.25,0.475
100,0.1,2,0.97,7,0,0,0.0,0.0,0.475
100,0.1,1,0.97,7,0,0,0.0,0.0,0.475
100,0.1,5,0.97,5,0,0,0.0,0.0,0.45
100,0.1,4,0.97,5,0,0,0.0,0.0,0.45
100,0.1,3,0.97,5,1,1,0.2,0.167,0.45
100,0.1,2,0.97,5,1,1,0.2,0.167,0.45
100,0.1,1,0.97,5,2,1,0.4,0.167,0.45
100,0.1,5,0.97,10,0,0,0.0,0.0,0.425
100,0.1,4,0.97,10,0,0,0.0,0.0,0.425
100,0.1,3,0.97,10,0,0,0.0,0.0,0.425
100,0.1,2,0.97,10,2,2,0.2,0.182,0.425
100,0.1,1,0.97,10,3,3,0.3,0.273,0.425
100,0.1,5,0.97,7,0,0,0.0,0.0,0.4
100,0.1,4,0.97,7,0,0,0.0,0.0,0.4
100,0.1,3,0.97,7,1,1,0.143,0.125,0.4
100,0.1,2,0.97,7,1,1,0.143,0.125,0.4
100,0.1,1,0.97,7,1,1,0.143,0.125,0.4
100,0.1,5,0.97,6,1,1,0.167,0.143,1.0
100,0.1,4,0.97,6,3,3,0.5,0.429,1.0
100,0.1,3,0.97,6,6,6,1.0,0.857,1.0
100,0.1,2,0.97,6,6,6,1.0,0.857,1.0
100,0.1,1,0.97,6,2,2,0.333,0.286,1.0
100,0.1,5,0.97,11,1,1,0.091,0.083,0.975
100,0.1,4,0.97,11,3,3,0.273,0.25,0.975
100,0.1,3,0.97,11,3,3,0.273,0.25,0.975
100,0.1,2,0.97,11,6,6,0.545,0.5,0.975
100,0.1,1,0.97,11,0,0,0.0,0.0,0.975
100,0.1,5,0.97,15,1,1,0.067,0.062,0.95
100,0.1,4,0.97,15,2,2,0.133,0.125,0.95
100,0.1,3,0.97,15,3,3,0.2,0.188,0.95
100,0.1,2,0.97,15,6,5,0.4,0.312,0.95
100,0.1,1,0.97,15,6,5,0.4,0.312,0.95
100,0.1,5,0.97,11,2,2,0.182,0.167,0.925
100,0.1,4,0.97,11,3,3,0.273,0.25,0.925
100,0.1,3,0.97,11,3,3,0.273,0.25,0.925
100,0.1,2,0.97,11,6,6,0.545,0.5,0.925
100,0.1,1,0.97,11,5,5,0.455,0.417,0.925
100,0.1,5,0.97,12,4,4,0.333,0.308,0.9
100,0.1,4,0.97,12,5,5,0.417,0.385,0.9
100,0.1,3,0.97,12,6,6,0.5,0.462,0.9
100,0.1,2,0.97,12,7,7,0.583,0.538,0.9
100,0.1,1,0.97,12,10,9,0.833,0.692,0.9
100,0.1,5,0.97,12,2,2,0.167,0.154,0.875
100,0.1,4,0.97,12,3,3,0.25,0.231,0.875
100,0.1,3,0.97,12,3,3,0.25,0.231,0.875
100,0.1,2,0.97,12,4,3,0.333,0.231,0.875
100,0.1,1,0.97,12,10,5,0.833,0.385,0.875
100,0.1,5,0.97,11,3,3,0.273,0.25,0.85
100,0.1,4,0.97,11,4,4,0.364,0.333,0.85
100,0.1,3,0.97,11,4,4,0.364,0.333,0.85
100,0.1,2,0.97,11,5,5,0.455,0.417,0.85
100,0.1,1,0.97,11,7,5,0.636,0.417,0.85
100,0.1,5,0.97,7,1,1,0.143,0.125,0.825
100,0.1,4,0.97,7,1,1,0.143,0.125,0.825
100,0.1,3,0.97,7,1,1,0.143,0.125,0.825
100,0.1,2,0.97,7,3,3,0.429,0.375,0.825
100,0.1,1,0.97,7,4,3,0.571,0.375,0.825
100,0.1,5,0.97,10,2,2,0.2,0.182,0.8
100,0.1,4,0.97,10,3,3,0.3,0.273,0.8
100,0.1,3,0.97,10,6,6,0.6,0.545,0.8
100,0.1,2,0.97,10,6,6,0.6,0.545,0.8
100,0.1,1,0.97,10,6,5,0.6,0.455,0.8
100,0.1,5,0.97,9,1,1,0.111,0.1,0.775
100,0.1,4,0.97,9,1,1,0.111,0.1,0.775
100,0.1,3,0.97,9,3,3,0.333,0.3,0.775
100,0.1,2,0.97,9,5,5,0.556,0.5,0.775
100,0.1,1,0.97,9,7,5,0.778,0.5,0.775
100,0.1,5,0.97,10,0,0,0.0,0.0,0.75
100,0.1,4,0.97,10,4,4,0.4,0.364,0.75
100,0.1,3,0.97,10,4,4,0.4,0.364,0.75
100,0.1,2,0.97,10,5,4,0.5,0.364,0.75
100,0.1,1,0.97,10,5,4,0.5,0.364,0.75
100,0.1,5,0.97,12,0,0,0.0,0.0,0.725
100,0.1,4,0.97,12,0,0,0.0,0.0,0.725
100,0.1,3,0.97,12,3,3,0.25,0.231,0.725
100,0.1,2,0.97,12,4,4,0.333,0.308,0.725
100,0.1,1,0.97,12,6,3,0.5,0.231,0.725
100,0.1,5,0.97,7,2,2,0.286,0.25,0.7
100,0.1,4,0.97,7,2,2,0.286,0.25,0.7
100,0.1,3,0.97,7,3,3,0.429,0.375,0.7
100,0.1,2,0.97,7,4,4,0.571,0.5,0.7
100,0.1,1,0.97,7,7,5,1.0,0.625,0.7
100,0.1,5,0.97,4,2,2,0.5,0.4,0.675
100,0.1,4,0.97,4,2,2,0.5,0.4,0.675
100,0.1,3,0.97,4,3,3,0.75,0.6,0.675
100,0.1,2,0.97,4,4,4,1.0,0.8,0.675
100,0.1,1,0.97,4,4,1,1.0,0.2,0.675
