InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
100000,0.01,11,0.97,1040,819,795,0.787,0.764,1.0000000000000004
100000,0.01,10,0.97,1040,849,823,0.816,0.791,1.0000000000000004
100000,0.01,9,0.97,1040,891,865,0.857,0.831,1.0000000000000004
100000,0.01,8,0.97,1040,919,888,0.884,0.853,1.0000000000000004
100000,0.01,7,0.97,1040,945,913,0.909,0.877,1.0000000000000004
100000,0.01,6,0.97,1040,960,927,0.923,0.89,1.0000000000000004
100000,0.01,5,0.97,1040,974,943,0.937,0.906,1.0000000000000004
100000,0.01,4,0.97,1040,948,921,0.912,0.885,1.0000000000000004
100000,0.01,3,0.97,1040,856,837,0.823,0.804,1.0000000000000004
100000,0.01,2,0.97,1040,930,908,0.894,0.872,1.0000000000000004
100000,0.01,1,0.97,1040,0,0,0.0,0.0,1.0000000000000004
100000,0.01,11,0.97,993,751,734,0.756,0.738,0.97500000000000053
100000,0.01,10,0.97,993,767,750,0.772,0.755,0.97500000000000053
100000,0.01,9,0.97,993,790,773,0.796,0.778,0.97500000000000053
100000,0.01,8,0.97,993,820,800,0.826,0.805,0.97500000000000053
100000,0.01,7,0.97,993,845,824,0.851,0.829,0.97500000000000053
100000,0.01,6,0.97,993,869,843,0.875,0.848,0.97500000000000053
100000,0.01,5,0.97,993,883,858,0.889,0.863,0.97500000000000053
100000,0.01,4,0.97,993,882,859,0.888,0.864,0.97500000000000053
100000,0.01,3,0.97,993,794,774,0.8,0.779,0.97500000000000053
100000,0.01,2,0.97,993,880,836,0.886,0.841,0.97500000000000053
100000,0.01,1,0.97,993,0,0,0.0,0.0,0.97500000000000053
100000,0.01,11,0.97,994,732,711,0.736,0.715,0.95000000000000051
100000,0.01,10,0.97,994,761,740,0.766,0.744,0.95000000000000051
100000,0.01,9,0.97,994,780,757,0.785,0.761,0.95000000000000051
100000,0.01,8,0.97,994,810,785,0.815,0.789,0.95000000000000051
100000,0.01,7,0.97,994,822,796,0.827,0.8,0.95000000000000051
100000,0.01,6,0.97,994,836,810,0.841,0.814,0.95000000000000051
100000,0.01,5,0.97,994,864,838,0.869,0.842,0.95000000000000051
100000,0.01,4,0.97,994,862,832,0.867,0.836,0.95000000000000051
100000,0.01,3,0.97,994,791,769,0.796,0.773,0.95000000000000051
100000,0.01,2,0.97,994,906,819,0.911,0.823,0.95000000000000051
100000,0.01,1,0.97,994,0,0,0.0,0.0,0.95000000000000051
100000,0.01,11,0.97,945,673,661,0.712,0.699,0.92500000000000049
100000,0.01,10,0.97,945,706,693,0.747,0.733,0.92500000000000049
100000,0.01,9,0.97,945,737,722,0.78,0.763,0.92500000000000049
100000,0.01,8,0.97,945,753,738,0.797,0.78,0.92500000000000049
100000,0.01,7,0.97,945,771,755,0.816,0.798,0.92500000000000049
100000,0.01,6,0.97,945,789,771,0.835,0.815,0.92500000000000049
100000,0.01,5,0.97,945,791,773,0.837,0.817,0.92500000000000049
100000,0.01,4,0.97,945,785,758,0.831,0.801,0.92500000000000049
100000,0.01,3,0.97,945,727,704,0.769,0.744,0.92500000000000049
100000,0.01,2,0.97,945,852,748,0.902,0.791,0.92500000000000049
100000,0.01,1,0.97,945,0,0,0.0,0.0,0.92500000000000049
100000,0.01,11,0.97,920,628,608,0.683,0.66,0.90000000000000047
100000,0.01,10,0.97,920,643,624,0.699,0.678,0.90000000000000047
100000,0.01,9,0.97,920,666,647,0.724,0.702,0.90000000000000047
100000,0.01,8,0.97,920,704,682,0.765,0.74,0.90000000000000047
100000,0.01,7,0.97,920,718,698,0.78,0.758,0.90000000000000047
100000,0.01,6,0.97,920,734,713,0.798,0.774,0.90000000000000047
100000,0.01,5,0.97,920,755,732,0.821,0.795,0.90000000000000047
