InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
100000,0.1,11,0.97,10066,3302,3265,0.328,0.324,1.0000000000000004
100000,0.1,10,0.97,10066,4054,4000,0.403,0.397,1.0000000000000004
100000,0.1,9,0.97,10066,4976,4897,0.494,0.486,1.0000000000000004
100000,0.1,8,0.97,10066,5992,5870,0.595,0.583,1.0000000000000004
100000,0.1,7,0.97,10066,6860,6717,0.682,0.667,1.0000000000000004
100000,0.1,6,0.97,10066,7785,7611,0.773,0.756,1.0000000000000004
100000,0.1,5,0.97,10066,8532,8338,0.848,0.828,1.0000000000000004
100000,0.1,4,0.97,10066,8899,8670,0.884,0.861,1.0000000000000004
100000,0.1,3,0.97,10066,8255,8125,0.82,0.807,1.0000000000000004
100000,0.1,2,0.97,10066,6016,6001,0.598,0.596,1.0000000000000004
100000,0.1,1,0.97,10066,8322,7833,0.827,0.778,1.0000000000000004
100000,0.1,11,0.97,9963,3266,3225,0.328,0.324,0.97500000000000053
100000,0.1,10,0.97,9963,4019,3961,0.403,0.398,0.97500000000000053
100000,0.1,9,0.97,9963,4879,4798,0.49,0.482,0.97500000000000053
100000,0.1,8,0.97,9963,5776,5666,0.58,0.569,0.97500000000000053
100000,0.1,7,0.97,9963,6701,6552,0.673,0.658,0.97500000000000053
100000,0.1,6,0.97,9963,7519,7333,0.755,0.736,0.97500000000000053
100000,0.1,5,0.97,9963,8289,8070,0.832,0.81,0.97500000000000053
100000,0.1,4,0.97,9963,8608,8360,0.864,0.839,0.97500000000000053
100000,0.1,3,0.97,9963,8062,7878,0.809,0.791,0.97500000000000053
100000,0.1,2,0.97,9963,5889,5842,0.591,0.586,0.97500000000000053
100000,0.1,1,0.97,9963,2091,1895,0.21,0.19,0.97500000000000053
100000,0.1,11,0.97,9961,3147,3115,0.316,0.313,0.95000000000000051
100000,0.1,10,0.97,9961,3917,3864,0.393,0.388,0.95000000000000051
100000,0.1,9,0.97,9961,4764,4687,0.478,0.47,0.95000000000000051
100000,0.1,8,0.97,9961,5681,5591,0.57,0.561,0.95000000000000051
100000,0.1,7,0.97,9961,6509,6398,0.653,0.642,0.95000000000000051
100000,0.1,6,0.97,9961,7399,7245,0.743,0.727,0.95000000000000051
100000,0.1,5,0.97,9961,8130,7904,0.816,0.793,0.95000000000000051
100000,0.1,4,0.97,9961,8485,8207,0.852,0.824,0.95000000000000051
100000,0.1,3,0.97,9961,7927,7738,0.796,0.777,0.95000000000000051
100000,0.1,2,0.97,9961,5715,5646,0.574,0.567,0.95000000000000051
100000,0.1,1,0.97,9961,0,0,0.0,0.0,0.95000000000000051
100000,0.1,11,0.97,10022,3002,2963,0.3,0.296,0.92500000000000049
100000,0.1,10,0.97,10022,3769,3721,0.376,0.371,0.92500000000000049
100000,0.1,9,0.97,10022,4560,4486,0.455,0.448,0.92500000000000049
100000,0.1,8,0.97,10022,5452,5359,0.544,0.535,0.92500000000000049
100000,0.1,7,0.97,10022,6341,6209,0.633,0.619,0.92500000000000049
100000,0.1,6,0.97,10022,7148,6974,0.713,0.696,0.92500000000000049
100000,0.1,5,0.97,10022,7892,7668,0.787,0.765,0.92500000000000049
100000,0.1,4,0.97,10022,8248,7943,0.823,0.792,0.92500000000000049
100000,0.1,3,0.97,10022,7796,7547,0.778,0.753,0.92500000000000049
100000,0.1,2,0.97,10022,5602,5491,0.559,0.548,0.92500000000000049
100000,0.1,1,0.97,10022,0,0,0.0,0.0,0.92500000000000049
100000,0.1,11,0.97,9984,2845,2821,0.285,0.283,0.90000000000000047
100000,0.1,10,0.97,9984,3544,3501,0.355,0.351,0.90000000000000047
100000,0.1,9,0.97,9984,4375,4314,0.438,0.432,0.90000000000000047
100000,0.1,8,0.97,9984,5248,5161,0.526,0.517,0.90000000000000047
100000,0.1,7,0.97,9984,6129,6013,0.614,0.602,0.90000000000000047
100000,0.1,6,0.97,9984,6893,6742,0.69,0.675,0.90000000000000047
100000,0.1,5,0.97,9984,7635,7426,0.765,0.744,0.90000000000000047
100000,0.1,4,0.97,9984,8045,7704,0.806,0.772,0.90000000000000047
100000,0.1,3,0.97,9984,7672,7397,0.768,0.741,0.90000000000000047
100000,0.1,2,0.97,9984,5401,5284,0.541,0.529,0.90000000000000047
100000,0.1,1,0.97,9984,0,0,0.0,0.0,0.90000000000000047
100000,0.1,11,0.97,9924,2806,2762,0.283,0.278,0.87500000000000044
100000,0.1,10,0.97,9924,3444,3385,0.347,0.341,0.87500000000000044
100000,0.1,9,0.97,9924,4162,4085,0.419,0.412,0.87500000000000044
100000,0.1,8,0.97,9924,4987,4894,0.503,0.493,0.87500000000000044
100000,0.1,7,0.97,9924,5810,5702,0.585,0.575,0.87500000000000044
100000,0.1,6,0.97,9924,6619,6468,0.667,0.652,0.87500000000000044
100000,0.1,5,0.97,9924,7309,7108,0.736,0.716,0.87500000000000044
100000,0.1,4,0.97,9924,7660,7334,0.772,0.739,0.87500000000000044
100000,0.1,3,0.97,9924,7328,7019,0.738,0.707,0.87500000000000044
100000,0.1,2,0.97,9924,5236,5076,0.528,0.511,0.87500000000000044
100000,0.1,1,0.97,9924,0,0,0.0,0.0,0.87500000000000044
100000,0.1,11,0.97,10072,2641,2616,0.262,0.26,0.85000000000000042
100000,0.1,10,0.97,10072,3357,3317,0.333,0.329,0.85000000000000042
100000,0.1,9,0.97,10072,4075,4016,0.405,0.399,0.85000000000000042
100000,0.1,8,0.97,10072,4936,4844,0.49,0.481,0.85000000000000042
100000,0.1,7,0.97,10072,5716,5593,0.568,0.555,0.85000000000000042
100000,0.1,6,0.97,10072,6528,6371,0.648,0.632,0.85000000000000042
100000,0.1,5,0.97,10072,7225,7001,0.717,0.695,0.85000000000000042
100000,0.1,4,0.97,10072,7622,7248,0.757,0.72,0.85000000000000042
100000,0.1,3,0.97,10072,7310,6963,0.726,0.691,0.85000000000000042
100000,0.1,2,0.97,10072,5355,5185,0.532,0.515,0.85000000000000042
100000,0.1,1,0.97,10072,0,0,0.0,0.0,0.85000000000000042
100000,0.1,11,0.97,9843,2584,2559,0.263,0.26,0.8250000000000004
100000,0.1,10,0.97,9843,3152,3118,0.32,0.317,0.8250000000000004
100000,0.1,9,0.97,9843,3823,3773,0.388,0.383,0.8250000000000004
100000,0.1,8,0.97,9843,4609,4532,0.468,0.46,0.8250000000000004
100000,0.1,7,0.97,9843,5422,5310,0.551,0.539,0.8250000000000004
100000,0.1,6,0.97,9843,6170,6016,0.627,0.611,0.8250000000000004
100000,0.1,5,0.97,9843,6833,6608,0.694,0.671,0.8250000000000004
100000,0.1,4,0.97,9843,7278,6833,0.739,0.694,0.8250000000000004
100000,0.1,3,0.97,9843,6918,6522,0.703,0.663,0.8250000000000004
100000,0.1,2,0.97,9843,5094,4863,0.518,0.494,0.8250000000000004
100000,0.1,1,0.97,9843,0,0,0.0,0.0,0.8250000000000004
100000,0.1,11,0.97,9896,2516,2497,0.254,0.252,0.80000000000000038
100000,0.1,10,0.97,9896,3045,3020,0.308,0.305,0.80000000000000038
100000,0.1,9,0.97,9896,3703,3671,0.374,0.371,0.80000000000000038
100000,0.1,8,0.97,9896,4422,4367,0.447,0.441,0.80000000000000038
100000,0.1,7,0.97,9896,5182,5099,0.524,0.515,0.80000000000000038
100000,0.1,6,0.97,9896,5957,5850,0.602,0.591,0.80000000000000038
100000,0.1,5,0.97,9896,6571,6390,0.664,0.646,0.80000000000000038
100000,0.1,4,0.97,9896,7054,6662,0.713,0.673,0.80000000000000038
