InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Coverage Depth,Ratio
100000,0.01,7,-1,983,182,122,0.185,0.124,1,0.39
100000,0.01,6,-1,983,228,159,0.232,0.162,1,0.39
100000,0.01,5,-1,983,266,179,0.271,0.182,1,0.39
100000,0.01,4,-1,983,258,168,0.262,0.171,1,0.39
100000,0.01,3,-1,983,274,158,0.279,0.161,1,0.39
100000,0.01,2,-1,983,0,0,0,0,1,0.39
100000,0.01,1,-1,983,0,0,0,0,1,0.39
100000,0.01,0,-1,983,0,0,0,0,1,0.39
100000,0.01,7,-1,1035,208,154,0.201,0.149,1,0.38
100000,0.01,6,-1,1035,254,186,0.245,0.18,1,0.38
100000,0.01,5,-1,1035,289,214,0.279,0.207,1,0.38
100000,0.01,4,-1,1035,276,193,0.267,0.186,1,0.38
100000,0.01,3,-1,1035,306,196,0.296,0.189,1,0.38
100000,0.01,2,-1,1035,0,0,0,0,1,0.38
100000,0.01,1,-1,1035,0,0,0,0,1,0.38
100000,0.01,0,-1,1035,0,0,0,0,1,0.38
100000,0.01,7,-1,992,197,137,0.199,0.138,1,0.37
100000,0.01,6,-1,992,244,172,0.246,0.173,1,0.37
100000,0.01,5,-1,992,286,197,0.288,0.198,1,0.37
100000,0.01,4,-1,992,290,190,0.292,0.191,1,0.37
100000,0.01,3,-1,992,325,192,0.328,0.193,1,0.37
100000,0.01,2,-1,992,0,0,0,0,1,0.37
100000,0.01,1,-1,992,0,0,0,0,1,0.37
100000,0.01,0,-1,992,0,0,0,0,1,0.37
100000,0.01,7,-1,1009,179,132,0.177,0.131,1,0.36
100000,0.01,6,-1,1009,239,180,0.237,0.178,1,0.36
100000,0.01,5,-1,1009,277,203,0.275,0.201,1,0.36
100000,0.01,4,-1,1009,271,187,0.269,0.185,1,0.36
100000,0.01,3,-1,1009,307,197,0.304,0.195,1,0.36
100000,0.01,2,-1,1009,0,0,0,0,1,0.36
100000,0.01,1,-1,1009,0,0,0,0,1,0.36
100000,0.01,0,-1,1009,0,0,0,0,1,0.36
100000,0.01,7,-1,990,188,129,0.19,0.13,1,0.35
100000,0.01,6,-1,990,222,152,0.224,0.153,1,0.35
100000,0.01,5,-1,990,259,175,0.262,0.177,1,0.35
100000,0.01,4,-1,990,259,169,0.262,0.171,1,0.35
100000,0.01,3,-1,990,310,167,0.313,0.169,1,0.35
100000,0.01,2,-1,990,0,0,0,0,1,0.35
100000,0.01,1,-1,990,0,0,0,0,1,0.35
100000,0.01,0,-1,990,0,0,0,0,1,0.35
100000,0.01,7,-1,985,167,123,0.17,0.125,1,0.34
100000,0.01,6,-1,985,183,133,0.186,0.135,1,0.34
100000,0.01,5,-1,985,228,162,0.231,0.164,1,0.34
100000,0.01,4,-1,985,226,149,0.229,0.151,1,0.34
100000,0.01,3,-1,985,258,153,0.262,0.155,1,0.34
100000,0.01,2,-1,985,0,0,0,0,1,0.34
100000,0.01,1,-1,985,0,0,0,0,1,0.34
100000,0.01,0,-1,985,0,0,0,0,1,0.34
100000,0.01,7,-1,967,171,118,0.177,0.122,1,0.33
100000,0.01,6,-1,967,207,144,0.214,0.149,1,0.33
100000,0.01,5,-1,967,249,178,0.257,0.184,1,0.33
100000,0.01,4,-1,967,221,154,0.229,0.159,1,0.33
100000,0.01,3,-1,967,263,169,0.272,0.175,1,0.33
100000,0.01,2,-1,967,0,0,0,0,1,0.33
100000,0.01,1,-1,967,0,0,0,0,1,0.33
100000,0.01,0,-1,967,0,0,0,0,1,0.33
100000,0.01,7,-1,994,178,121,0.179,0.122,1,0.32
100000,0.01,6,-1,994,225,154,0.226,0.155,1,0.32
100000,0.01,5,-1,994,258,169,0.26,0.17,1,0.32
100000,0.01,4,-1,994,242,154,0.243,0.155,1,0.32
100000,0.01,3,-1,994,239,132,0.24,0.133,1,0.32
100000,0.01,2,-1,994,0,0,0,0,1,0.32
100000,0.01,1,-1,994,0,0,0,0,1,0.32
100000,0.01,0,-1,994,0,0,0,0,1,0.32
100000,0.01,7,-1,973,163,118,0.168,0.121,1,0.31
100000,0.01,6,-1,973,196,139,0.201,0.143,1,0.31
100000,0.01,5,-1,973,222,148,0.228,0.152,1,0.31
100000,0.01,4,-1,973,224,141,0.23,0.145,1,0.31
100000,0.01,3,-1,973,240,137,0.247,0.141,1,0.31
100000,0.01,2,-1,973,0,0,0,0,1,0.31
100000,0.01,1,-1,973,0,0,0,0,1,0.31
100000,0.01,0,-1,973,0,0,0,0,1,0.31
100000,0.01,7,-1,1062,163,122,0.153,0.115,1,0.3
100000,0.01,6,-1,1062,192,143,0.181,0.135,1,0.3
100000,0.01,5,-1,1062,224,166,0.211,0.156,1,0.3
100000,0.01,4,-1,1062,230,162,0.217,0.152,1,0.3
100000,0.01,3,-1,1062,247,151,0.233,0.142,1,0.3
100000,0.01,2,-1,1062,0,0,0,0,1,0.3
100000,0.01,1,-1,1062,0,0,0,0,1,0.3
100000,0.01,0,-1,1062,0,0,0,0,1,0.3
100000,0.01,7,-1,953,162,102,0.17,0.107,1,0.29
100000,0.01,6,-1,953,185,115,0.194,0.121,1,0.29
100000,0.01,5,-1,953,207,130,0.217,0.136,1,0.29
100000,0.01,4,-1,953,211,128,0.221,0.134,1,0.29
100000,0.01,3,-1,953,236,113,0.248,0.118,1,0.29
100000,0.01,2,-1,953,0,0,0,0,1,0.29
100000,0.01,1,-1,953,0,0,0,0,1,0.29
100000,0.01,0,-1,953,0,0,0,0,1,0.29
100000,0.01,7,-1,1027,120,86,0.117,0.084,1,0.28
100000,0.01,6,-1,1027,154,111,0.15,0.108,1,0.28
100000,0.01,5,-1,1027,179,130,0.174,0.126,1,0.28
100000,0.01,4,-1,1027,175,114,0.17,0.111,1,0.28
100000,0.01,3,-1,1027,213,125,0.207,0.122,1,0.28
100000,0.01,2,-1,1027,0,0,0,0,1,0.28
100000,0.01,1,-1,1027,0,0,0,0,1,0.28
100000,0.01,0,-1,1027,0,0,0,0,1,0.28
100000,0.01,7,-1,940,120,76,0.128,0.081,1,0.27
100000,0.01,6,-1,940,147,96,0.156,0.102,1,0.27
100000,0.01,5,-1,940,161,103,0.171,0.109,1,0.27
100000,0.01,4,-1,940,159,97,0.169,0.103,1,0.27
100000,0.01,3,-1,940,183,96,0.195,0.102,1,0.27
100000,0.01,2,-1,940,0,0,0,0,1,0.27
100000,0.01,1,-1,940,0,0,0,0,1,0.27
100000,0.01,0,-1,940,0,0,0,0,1,0.27
100000,0.01,7,-1,1041,131,93,0.126,0.089,1,0.26
100000,0.01,6,-1,1041,161,117,0.155,0.112,1,0.26
100000,0.01,5,-1,1041,186,128,0.179,0.123,1,0.26
100000,0.01,4,-1,1041,201,133,0.193,0.128,1,0.26
100000,0.01,3,-1,1041,163,95,0.157,0.091,1,0.26
100000,0.01,2,-1,1041,0,0,0,0,1,0.26
100000,0.01,1,-1,1041,0,0,0,0,1,0.26
100000,0.01,0,-1,1041,0,0,0,0,1,0.26
100000,0.01,7,-1,1001,109,69,0.109,0.069,1,0.25
100000,0.01,6,-1,1001,153,99,0.153,0.099,1,0.25
100000,0.01,5,-1,1001,164,103,0.164,0.103,1,0.25
100000,0.01,4,-1,1001,195,115,0.195,0.115,1,0.25
100000,0.01,3,-1,1001,156,81,0.156,0.081,1,0.25
100000,0.01,2,-1,1001,0,0,0,0,1,0.25
100000,0.01,1,-1,1001,0,0,0,0,1,0.25
100000,0.01,0,-1,1001,0,0,0,0,1,0.25
100000,0.01,7,-1,995,105,72,0.106,0.072,1,0.24
100000,0.01,6,-1,995,123,86,0.124,0.086,1,0.24
100000,0.01,5,-1,995,160,105,0.161,0.105,1,0.24
100000,0.01,4,-1,995,161,104,0.162,0.104,1,0.24
100000,0.01,3,-1,995,115,65,0.116,0.065,1,0.24
100000,0.01,2,-1,995,0,0,0,0,1,0.24
100000,0.01,1,-1,995,0,0,0,0,1,0.24
100000,0.01,0,-1,995,0,0,0,0,1,0.24
100000,0.01,7,-1,998,86,69,0.086,0.069,1,0.23
100000,0.01,6,-1,998,102,79,0.102,0.079,1,0.23
100000,0.01,5,-1,998,110,88,0.11,0.088,1,0.23
100000,0.01,4,-1,998,153,108,0.153,0.108,1,0.23
100000,0.01,3,-1,998,147,84,0.147,0.084,1,0.23
