InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio,Alpha
0,0.05,9,-1.0,5798,3948,3948,0.681,0.681,0.681,125,-1,11
0,0.05,3,-1.0,1631,2353,975,1.442,0.597,-0.248,35,-1,11
0,0.05,11,-1.0,3800,2088,2088,0.549,0.549,0.549,80,-1,10
0,0.05,11,-1.0,953,495,495,0.519,0.519,0.519,20,-1,11
0,0.05,8,-1.0,5798,4209,4209,0.726,0.726,0.726,125,-1,11
0,0.05,7,-1.0,5798,4448,4443,0.767,0.766,0.765,125,-1,11
0,0.05,10,-1.0,953,538,538,0.564,0.564,0.564,20,-1,11
0,0.05,10,-1.0,3800,2263,2263,0.595,0.595,0.595,80,-1,10
0,0.05,6,-1.0,5798,4783,4734,0.825,0.816,0.8069999999999999,125,-1,11
0,0.05,9,-1.0,953,592,591,0.621,0.619,0.617,20,-1,11
0,0.05,5,-1.0,5798,5376,4981,0.927,0.859,0.7909999999999999,125,-1,11
0,0.05,9,-1.0,3800,2450,2450,0.645,0.645,0.645,80,-1,10
0,0.05,8,-1.0,953,652,651,0.683,0.682,0.681,20,-1,11
0,0.05,4,-1.0,5798,6782,4784,1.17,0.825,0.48,125,-1,11
0,0.05,7,-1.0,953,706,704,0.74,0.738,0.736,20,-1,11
0,0.05,8,-1.0,3800,2641,2641,0.695,0.695,0.695,80,-1,10
0,0.05,3,-1.0,5798,8387,3584,1.446,0.618,-0.20999999999999996,125,-1,11
0,0.05,6,-1.0,953,755,747,0.791,0.783,0.775,20,-1,11
0,0.05,11,-1.0,5094,2936,2936,0.576,0.576,0.576,110,-1,11
0,0.05,5,-1.0,953,852,790,0.893,0.828,0.7629999999999999,20,-1,11
0,0.05,7,-1.0,3800,2831,2829,0.745,0.744,0.743,80,-1,10
0,0.05,10,-1.0,5094,3151,3151,0.618,0.618,0.618,110,-1,11
0,0.05,4,-1.0,953,1123,749,1.177,0.785,0.393,20,-1,11
0,0.05,9,-1.0,5094,3397,3397,0.667,0.667,0.667,110,-1,11
0,0.05,6,-1.0,3800,3022,2991,0.795,0.787,0.779,80,-1,10
0,0.05,3,-1.0,953,1316,557,1.379,0.584,-0.21100000000000008,20,-1,11
0,0.05,8,-1.0,5094,3656,3656,0.718,0.718,0.718,110,-1,11
0,0.05,11,-1.0,8749,4817,4817,0.551,0.551,0.551,185,-1,10
0,0.05,5,-1.0,3800,3439,3166,0.905,0.833,0.7609999999999999,80,-1,10
0,0.05,7,-1.0,5094,3897,3892,0.765,0.764,0.763,110,-1,11
0,0.05,10,-1.0,8749,5206,5205,0.595,0.595,0.595,185,-1,10
0,0.05,6,-1.0,5094,4163,4131,0.817,0.811,0.8050000000000002,110,-1,11
0,0.05,4,-1.0,3800,4603,3078,1.211,0.81,0.40900000000000003,80,-1,10
0,0.05,9,-1.0,8749,5630,5628,0.643,0.643,0.643,185,-1,10
0,0.05,5,-1.0,5094,4632,4331,0.909,0.85,0.7909999999999999,110,-1,11
0,0.05,8,-1.0,8749,6092,6088,0.696,0.696,0.696,185,-1,10
0,0.05,4,-1.0,5094,6052,4234,1.188,0.831,0.474,110,-1,11
0,0.05,3,-1.0,3800,5791,2344,1.524,0.617,-0.29000000000000004,80,-1,10
0,0.05,7,-1.0,8749,6556,6545,0.749,0.748,0.747,185,-1,10
0,0.05,3,-1.0,5094,7436,3154,1.459,0.619,-0.22100000000000009,110,-1,11
0,0.05,11,-1.0,3114,1703,1703,0.547,0.547,0.547,65,-1,10
0,0.05,6,-1.0,8749,7048,6983,0.805,0.798,0.791,185,-1,10
