InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Coverage Depth,Ratio
100000,0.01,7,-1.0,983,182,122,0.185,0.124,1,0.39000000000000018
100000,0.01,6,-1.0,983,228,159,0.232,0.162,1,0.39000000000000018
100000,0.01,5,-1.0,983,266,179,0.271,0.182,1,0.39000000000000018
100000,0.01,4,-1.0,983,258,168,0.262,0.171,1,0.39000000000000018
100000,0.01,3,-1.0,983,274,158,0.279,0.161,1,0.39000000000000018
100000,0.01,2,-1.0,983,0,0,0.0,0.0,1,0.39000000000000018
100000,0.01,1,-1.0,983,0,0,0.0,0.0,1,0.39000000000000018
100000,0.01,0,-1.0,983,0,0,0.0,0.0,1,0.39000000000000018
100000,0.01,7,-1.0,1035,208,154,0.201,0.149,1,0.38000000000000017
100000,0.01,6,-1.0,1035,254,186,0.245,0.18,1,0.38000000000000017
100000,0.01,5,-1.0,1035,289,214,0.279,0.207,1,0.38000000000000017
100000,0.01,4,-1.0,1035,276,193,0.267,0.186,1,0.38000000000000017
100000,0.01,3,-1.0,1035,306,196,0.296,0.189,1,0.38000000000000017
100000,0.01,2,-1.0,1035,0,0,0.0,0.0,1,0.38000000000000017
100000,0.01,1,-1.0,1035,0,0,0.0,0.0,1,0.38000000000000017
100000,0.01,0,-1.0,1035,0,0,0.0,0.0,1,0.38000000000000017
100000,0.01,7,-1.0,992,197,137,0.199,0.138,1,0.37000000000000016
100000,0.01,6,-1.0,992,244,172,0.246,0.173,1,0.37000000000000016
100000,0.01,5,-1.0,992,286,197,0.288,0.198,1,0.37000000000000016
100000,0.01,4,-1.0,992,290,190,0.292,0.191,1,0.37000000000000016
100000,0.01,3,-1.0,992,325,192,0.328,0.193,1,0.37000000000000016
100000,0.01,2,-1.0,992,0,0,0.0,0.0,1,0.37000000000000016
100000,0.01,1,-1.0,992,0,0,0.0,0.0,1,0.37000000000000016
100000,0.01,0,-1.0,992,0,0,0.0,0.0,1,0.37000000000000016
100000,0.01,7,-1.0,1009,179,132,0.177,0.131,1,0.36000000000000015
100000,0.01,6,-1.0,1009,239,180,0.237,0.178,1,0.36000000000000015
100000,0.01,5,-1.0,1009,277,203,0.275,0.201,1,0.36000000000000015
100000,0.01,4,-1.0,1009,271,187,0.269,0.185,1,0.36000000000000015
100000,0.01,3,-1.0,1009,307,197,0.304,0.195,1,0.36000000000000015
100000,0.01,2,-1.0,1009,0,0,0.0,0.0,1,0.36000000000000015
100000,0.01,1,-1.0,1009,0,0,0.0,0.0,1,0.36000000000000015
100000,0.01,0,-1.0,1009,0,0,0.0,0.0,1,0.36000000000000015
100000,0.01,7,-1.0,990,188,129,0.19,0.13,1,0.35000000000000014
100000,0.01,6,-1.0,990,222,152,0.224,0.153,1,0.35000000000000014
100000,0.01,5,-1.0,990,259,175,0.262,0.177,1,0.35000000000000014
100000,0.01,4,-1.0,990,259,169,0.262,0.171,1,0.35000000000000014
100000,0.01,3,-1.0,990,310,167,0.313,0.169,1,0.35000000000000014
100000,0.01,2,-1.0,990,0,0,0.0,0.0,1,0.35000000000000014
100000,0.01,1,-1.0,990,0,0,0.0,0.0,1,0.35000000000000014
100000,0.01,0,-1.0,990,0,0,0.0,0.0,1,0.35000000000000014
100000,0.01,7,-1.0,985,167,123,0.17,0.125,1,0.34000000000000014
100000,0.01,6,-1.0,985,183,133,0.186,0.135,1,0.34000000000000014
100000,0.01,5,-1.0,985,228,162,0.231,0.164,1,0.34000000000000014
100000,0.01,4,-1.0,985,226,149,0.229,0.151,1,0.34000000000000014
100000,0.01,3,-1.0,985,258,153,0.262,0.155,1,0.34000000000000014
100000,0.01,2,-1.0,985,0,0,0.0,0.0,1,0.34000000000000014
100000,0.01,1,-1.0,985,0,0,0.0,0.0,1,0.34000000000000014
100000,0.01,0,-1.0,985,0,0,0.0,0.0,1,0.34000000000000014
100000,0.01,7,-1.0,967,171,118,0.177,0.122,1,0.33000000000000013
100000,0.01,6,-1.0,967,207,144,0.214,0.149,1,0.33000000000000013
100000,0.01,5,-1.0,967,249,178,0.257,0.184,1,0.33000000000000013
100000,0.01,4,-1.0,967,221,154,0.229,0.159,1,0.33000000000000013
100000,0.01,3,-1.0,967,263,169,0.272,0.175,1,0.33000000000000013
100000,0.01,2,-1.0,967,0,0,0.0,0.0,1,0.33000000000000013
100000,0.01,1,-1.0,967,0,0,0.0,0.0,1,0.33000000000000013
100000,0.01,0,-1.0,967,0,0,0.0,0.0,1,0.33000000000000013
100000,0.01,7,-1.0,994,178,121,0.179,0.122,1,0.32000000000000012
100000,0.01,6,-1.0,994,225,154,0.226,0.155,1,0.32000000000000012
100000,0.01,5,-1.0,994,258,169,0.26,0.17,1,0.32000000000000012
100000,0.01,4,-1.0,994,242,154,0.243,0.155,1,0.32000000000000012
100000,0.01,3,-1.0,994,239,132,0.24,0.133,1,0.32000000000000012
100000,0.01,2,-1.0,994,0,0,0.0,0.0,1,0.32000000000000012
100000,0.01,1,-1.0,994,0,0,0.0,0.0,1,0.32000000000000012
100000,0.01,0,-1.0,994,0,0,0.0,0.0,1,0.32000000000000012
100000,0.01,7,-1.0,973,163,118,0.168,0.121,1,0.31000000000000011
100000,0.01,6,-1.0,973,196,139,0.201,0.143,1,0.31000000000000011
100000,0.01,5,-1.0,973,222,148,0.228,0.152,1,0.31000000000000011
100000,0.01,4,-1.0,973,224,141,0.23,0.145,1,0.31000000000000011
100000,0.01,3,-1.0,973,240,137,0.247,0.141,1,0.31000000000000011
100000,0.01,2,-1.0,973,0,0,0.0,0.0,1,0.31000000000000011
100000,0.01,1,-1.0,973,0,0,0.0,0.0,1,0.31000000000000011
100000,0.01,0,-1.0,973,0,0,0.0,0.0,1,0.31000000000000011
100000,0.01,7,-1.0,1062,163,122,0.153,0.115,1,0.3000000000000001
100000,0.01,6,-1.0,1062,192,143,0.181,0.135,1,0.3000000000000001
100000,0.01,5,-1.0,1062,224,166,0.211,0.156,1,0.3000000000000001
100000,0.01,4,-1.0,1062,230,162,0.217,0.152,1,0.3000000000000001
100000,0.01,3,-1.0,1062,247,151,0.233,0.142,1,0.3000000000000001
100000,0.01,2,-1.0,1062,0,0,0.0,0.0,1,0.3000000000000001
100000,0.01,1,-1.0,1062,0,0,0.0,0.0,1,0.3000000000000001
100000,0.01,0,-1.0,1062,0,0,0.0,0.0,1,0.3000000000000001
100000,0.01,7,-1.0,953,162,102,0.17,0.107,1,0.29000000000000009
100000,0.01,6,-1.0,953,185,115,0.194,0.121,1,0.29000000000000009
100000,0.01,5,-1.0,953,207,130,0.217,0.136,1,0.29000000000000009
100000,0.01,4,-1.0,953,211,128,0.221,0.134,1,0.29000000000000009
100000,0.01,3,-1.0,953,236,113,0.248,0.118,1,0.29000000000000009
100000,0.01,2,-1.0,953,0,0,0.0,0.0,1,0.29000000000000009
100000,0.01,1,-1.0,953,0,0,0.0,0.0,1,0.29000000000000009
100000,0.01,0,-1.0,953,0,0,0.0,0.0,1,0.29000000000000009
100000,0.01,7,-1.0,1027,120,86,0.117,0.084,1,0.28000000000000008
100000,0.01,6,-1.0,1027,154,111,0.15,0.108,1,0.28000000000000008
100000,0.01,5,-1.0,1027,179,130,0.174,0.126,1,0.28000000000000008
100000,0.01,4,-1.0,1027,175,114,0.17,0.111,1,0.28000000000000008
100000,0.01,3,-1.0,1027,213,125,0.207,0.122,1,0.28000000000000008
100000,0.01,2,-1.0,1027,0,0,0.0,0.0,1,0.28000000000000008
100000,0.01,1,-1.0,1027,0,0,0.0,0.0,1,0.28000000000000008
100000,0.01,0,-1.0,1027,0,0,0.0,0.0,1,0.28000000000000008
100000,0.01,7,-1.0,940,120,76,0.128,0.081,1,0.27000000000000007
100000,0.01,6,-1.0,940,147,96,0.156,0.102,1,0.27000000000000007
100000,0.01,5,-1.0,940,161,103,0.171,0.109,1,0.27000000000000007
100000,0.01,4,-1.0,940,159,97,0.169,0.103,1,0.27000000000000007
